Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 4.62, 4.76, 4.51, 4.71, 4.71, 963302
2022-02-07T05:00:00Z, 4.73, 4.83, 4.59, 4.61, 4.61, 1276884
2022-02-04T05:00:00Z, 4.61, 4.78, 4.55, 4.74, 4.74, 490941
2022-02-03T05:00:00Z, 4.58, 4.71, 4.54, 4.61, 4.61, 509592
2022-02-02T05:00:00Z, 4.9, 4.95, 4.69, 4.73, 4.73, 609154
2022-02-01T05:00:00Z, 4.785, 4.9, 4.59, 4.9, 4.9, 632760
2022-01-31T05:00:00Z, 4.4, 4.757, 4.23, 4.73, 4.73, 673459
2022-01-28T05:00:00Z, 4.15, 4.31, 3.97, 4.3, 4.3, 1126713
2022-01-27T05:00:00Z, 4.55, 4.565, 4.21, 4.23, 4.23, 661533
2022-01-26T05:00:00Z, 4.77, 4.86, 4.45, 4.48, 4.48, 854909
2022-01-25T05:00:00Z, 4.5, 4.75, 4.435, 4.74, 4.74, 1187446
2022-01-24T05:00:00Z, 4.74, 4.79, 4.01, 4.66, 4.66, 2817316
2022-01-21T05:00:00Z, 4.68, 4.99, 4.65, 4.91, 4.91, 3974933
2022-01-20T05:00:00Z, 4.85, 5.07, 4.73, 4.86, 4.86, 764215
2022-01-19T05:00:00Z, 4.66, 4.88, 4.56, 4.72, 4.72, 898636
2022-01-18T05:00:00Z, 4.79, 4.935, 4.66, 4.76, 4.76, 777311
2022-01-14T05:00:00Z, 5.07, 5.1, 4.74, 4.9, 4.9, 986753
2022-01-13T05:00:00Z, 5.29, 5.405, 5.12, 5.17, 5.17, 1075109
2022-01-12T05:00:00Z, 5.4, 5.45, 5.23, 5.35, 5.35, 913976
2022-01-11T05:00:00Z, 5.06, 5.435, 5, 5.32, 5.32, 574183
2022-01-10T05:00:00Z, 5.26, 5.355, 5.045, 5.14, 5.14, 427401
2022-01-07T05:00:00Z, 5.62, 5.81, 5.36, 5.41, 5.41, 593179
2022-01-06T05:00:00Z, 5.56, 5.7274, 5.4, 5.69, 5.69, 466664
2022-01-05T05:00:00Z, 5.67, 5.83, 5.59, 5.64, 5.64, 655176
2022-01-04T05:00:00Z, 5.6, 5.73, 5.505, 5.68, 5.68, 447324
2022-01-03T05:00:00Z, 5.41, 5.69, 5.22, 5.67, 5.67, 441989
2021-12-31T05:00:00Z, 5.55, 5.6, 5.31, 5.37, 5.37, 460224
2021-12-30T05:00:00Z, 5.4, 5.75, 5.31, 5.63, 5.63, 734553
2021-12-29T05:00:00Z, 5.5, 5.51, 5.22, 5.34, 5.34, 406895
2021-12-28T05:00:00Z, 5.45, 5.56, 5.34, 5.5, 5.5, 471840
2021-12-27T05:00:00Z, 5.47, 5.65, 5.39, 5.45, 5.45, 515128
2021-12-23T05:00:00Z, 5.2, 5.54, 5.2, 5.45, 5.45, 493198
2021-12-22T05:00:00Z, 5.1, 5.34, 5.08, 5.2, 5.2, 533770
2021-12-21T05:00:00Z, 4.91, 5.235, 4.9, 5.18, 5.18, 491081
2021-12-20T05:00:00Z, 4.9, 4.985, 4.72, 4.79, 4.79, 447315
2021-12-17T05:00:00Z, 4.93, 5.17, 4.85, 5.07, 5.07, 1089415
2021-12-16T05:00:00Z, 5.21, 5.33, 4.96, 5.03, 5.03, 489611
2021-12-15T05:00:00Z, 5.1, 5.18, 4.7701, 5.12, 5.12, 714775
2021-12-14T05:00:00Z, 5.3, 5.55, 5.13, 5.19, 5.19, 730118
2021-12-13T05:00:00Z, 5.32, 5.4693, 5.165, 5.18, 5.18, 605113
2021-12-10T05:00:00Z, 5.38, 5.47, 5.25, 5.25, 5.25, 495751
2021-12-09T05:00:00Z, 5.67, 5.75, 5.37, 5.4, 5.4, 474629
2021-12-08T05:00:00Z, 5.65, 5.79, 5.46, 5.68, 5.68, 706322
2021-12-07T05:00:00Z, 5.55, 5.79, 5.51, 5.65, 5.65, 627985
2021-12-06T05:00:00Z, 5.85, 5.87, 5.3, 5.43, 5.43, 1186097
2021-12-03T05:00:00Z, 6.505, 6.55, 5.81, 5.9, 5.9, 1014714
2021-12-02T05:00:00Z, 6.65, 6.788, 6.425, 6.56, 6.56, 609264
2021-12-01T05:00:00Z, 6.945, 7.165, 6.7001, 6.74, 6.74, 720070
2021-11-30T05:00:00Z, 6.91, 7.05, 6.64, 6.91, 6.91, 1398779
2021-11-29T05:00:00Z, 7.02, 7.0799, 6.835, 6.96, 6.96, 472033
2021-11-26T05:00:00Z, 6.89, 7.059, 6.81, 6.96, 6.96, 305478
2021-11-24T05:00:00Z, 6.86, 7.14, 6.77, 7.07, 7.07, 395279
2021-11-23T05:00:00Z, 7.08, 7.27, 6.96, 7, 7, 832267
2021-11-22T05:00:00Z, 7.28, 7.5, 7.17, 7.29, 7.29, 655228
2021-11-19T05:00:00Z, 7.16, 7.34, 7.06, 7.25, 7.25, 371942
2021-11-18T05:00:00Z, 7.36, 7.43, 7.04, 7.09, 7.09, 621698
2021-11-17T05:00:00Z, 7.34, 7.56, 7.31, 7.35, 7.35, 427619
2021-11-16T05:00:00Z, 7.29, 7.54, 7.19, 7.39, 7.39, 613656
2021-11-15T05:00:00Z, 7.35, 7.365, 7.104, 7.21, 7.21, 429797
2021-11-12T05:00:00Z, 7.3, 7.43, 7.2131, 7.32, 7.32, 859788
2021-11-11T05:00:00Z, 7.29, 7.29, 6.8017, 7.28, 7.28, 531090
2021-11-10T05:00:00Z, 7, 7.23, 6.9, 7.03, 7.03, 536670
2021-11-09T05:00:00Z, 7.17, 7.2497, 6.78, 7.09, 7.09, 630239
2021-11-08T05:00:00Z, 7.33, 7.33, 7.1238, 7.15, 7.15, 533637
2021-11-05T04:00:00Z, 7.23, 7.27, 7.1101, 7.21, 7.21, 294335
2021-11-04T04:00:00Z, 7.37, 7.5899, 7.23, 7.28, 7.28, 541854
2021-11-03T04:00:00Z, 7.2, 7.685, 7.16, 7.3, 7.3, 864856
2021-11-02T04:00:00Z, 7, 7.24, 6.92, 7.19, 7.19, 487249
2021-11-01T04:00:00Z, 6.73, 7.17, 6.64, 7.17, 7.17, 1407829
2021-10-29T04:00:00Z, 6.71, 6.84, 6.515, 6.59, 6.59, 560269
2021-10-28T04:00:00Z, 6.69, 6.89, 6.62, 6.74, 6.74, 1071603
2021-10-27T04:00:00Z, 6.53, 6.83, 6.5, 6.71, 6.71, 448582
2021-10-26T04:00:00Z, 6.28, 6.6799, 6.2601, 6.55, 6.55, 1081124
2021-10-25T04:00:00Z, 6.41, 6.43, 6.14, 6.19, 6.19, 1253117
2021-10-22T04:00:00Z, 6.76, 6.85, 6.43, 6.47, 6.47, 513340
2021-10-21T04:00:00Z, 6.7, 6.73, 6.62, 6.73, 6.73, 443092
2021-10-20T04:00:00Z, 6.75, 6.86, 6.67, 6.82, 6.82, 314082
2021-10-19T04:00:00Z, 6.85, 6.9399, 6.66, 6.86, 6.86, 396350
2021-10-18T04:00:00Z, 6.75, 6.95, 6.71, 6.91, 6.91, 385774
2021-10-15T04:00:00Z, 6.76, 6.81, 6.57, 6.79, 6.79, 348649
2021-10-14T04:00:00Z, 6.74, 6.88, 6.72, 6.76, 6.76, 551517
2021-10-13T04:00:00Z, 6.57, 6.67, 6.41, 6.6, 6.6, 709200
2021-10-12T04:00:00Z, 6.41, 6.5, 6.31, 6.4, 6.4, 337454
2021-10-11T04:00:00Z, 6.44, 6.5425, 6.31, 6.31, 6.31, 454609
2021-10-08T04:00:00Z, 6.43, 6.5599, 6.3, 6.35, 6.35, 430954
2021-10-07T04:00:00Z, 6.25, 6.525, 6.19, 6.34, 6.34, 254251
2021-10-06T04:00:00Z, 6.05, 6.19, 5.9, 6.16, 6.16, 428938
2021-10-05T04:00:00Z, 6.01, 6.27, 5.96, 6.1, 6.1, 487369
2021-10-04T04:00:00Z, 6.2, 6.238, 5.92, 6.08, 6.08, 452718
2021-10-01T04:00:00Z, 6.59, 6.61, 6.19, 6.21, 6.21, 969637
2021-09-30T04:00:00Z, 7.03, 7.05, 6.56, 6.56, 6.56, 826699
2021-09-29T04:00:00Z, 7.28, 7.3, 7, 7.01, 7.01, 397905
2021-09-28T04:00:00Z, 7.6, 7.65, 7.23, 7.24, 7.24, 560644
2021-09-27T04:00:00Z, 7.47, 7.6, 7.35, 7.58, 7.58, 417381
2021-09-24T04:00:00Z, 7.62, 7.69, 7.44, 7.48, 7.48, 561341
2021-09-23T04:00:00Z, 7.69, 7.74, 7.52, 7.68, 7.68, 654730
2021-09-22T04:00:00Z, 7.615, 7.68, 7.51, 7.62, 7.62, 477301
2021-09-21T04:00:00Z, 7.83, 7.8902, 7.53, 7.54, 7.54, 751587
2021-09-20T04:00:00Z, 7.55, 7.8443, 7.53, 7.77, 7.77, 683304
2021-09-17T04:00:00Z, 7.75, 7.98, 7.651, 7.79, 7.79, 4412779
2021-09-16T04:00:00Z, 8, 8.04, 7.61, 7.68, 7.68, 818435
2021-09-15T04:00:00Z, 7.59, 8.06, 7.5, 7.94, 7.94, 1156131
2021-09-14T04:00:00Z, 7.69, 7.7407, 7.47, 7.56, 7.56, 758039
2021-09-13T04:00:00Z, 8.13, 8.21, 7.5, 7.64, 7.64, 1711114
2021-09-10T04:00:00Z, 8.15, 8.28, 8.02, 8.05, 8.05, 962612
2021-09-09T04:00:00Z, 8, 8.29, 7.88, 8.15, 8.15, 1709715
2021-09-08T04:00:00Z, 8.19, 8.22, 7.98, 8, 8, 1901095
2021-09-07T04:00:00Z, 9.15, 9.24, 8.01, 8.03, 8.03, 2883094
2021-09-03T04:00:00Z, 9.05, 9.28, 8.96, 9.22, 9.22, 1095730
2021-09-02T04:00:00Z, 8.78, 9.12, 8.63, 9.05, 9.05, 1159209
2021-09-01T04:00:00Z, 8.58, 8.8, 8.5, 8.65, 8.65, 899084
2021-08-31T04:00:00Z, 8.3, 8.67, 8.13, 8.58, 8.58, 1079029
2021-08-30T04:00:00Z, 8.35, 8.57, 8.12, 8.25, 8.25, 1218621
2021-08-27T04:00:00Z, 8.3, 8.52, 8.22, 8.3, 8.3, 784968
2021-08-26T04:00:00Z, 8.47, 8.58, 8.2, 8.31, 8.31, 2283989
2021-08-25T04:00:00Z, 8.78, 9.22, 8.38, 8.43, 8.43, 4125515
2021-08-24T04:00:00Z, 8.43, 8.98, 8.21, 8.71, 8.71, 4853982
2021-08-23T04:00:00Z, 8.02, 8.49, 7.82, 8.36, 8.36, 636903
2021-08-20T04:00:00Z, 8.49, 8.6, 7.62, 7.97, 7.97, 1191475
2021-08-19T04:00:00Z, 8.76, 8.87, 8.44, 8.49, 8.49, 634247
2021-08-18T04:00:00Z, 9.01, 9.1, 8.7, 8.85, 8.85, 534850
2021-08-17T04:00:00Z, 9.21, 9.3, 8.821, 9.03, 9.03, 1208997
2021-08-16T04:00:00Z, 9.5, 9.52, 8.92, 9.3, 9.3, 529338
2021-08-13T04:00:00Z, 9.48, 9.64, 9.16, 9.43, 9.43, 594087
2021-08-12T04:00:00Z, 10.27, 10.27, 9.604, 9.83, 9.83, 677383
2021-08-11T04:00:00Z, 10.4, 10.42, 9.97, 10.07, 10.07, 650371
2021-08-10T04:00:00Z, 10.2, 10.53, 10.07, 10.42, 10.42, 2138913
2021-08-09T04:00:00Z, 10.26, 10.4, 10.16, 10.18, 10.18, 436614
2021-08-06T04:00:00Z, 10.44, 10.49, 10.12, 10.25, 10.25, 381493
2021-08-05T04:00:00Z, 10.5, 10.59, 10.25, 10.4, 10.4, 846863
2021-08-04T04:00:00Z, 10.43, 10.46, 10.1, 10.22, 10.22, 1001430
2021-08-03T04:00:00Z, 10.68, 10.72, 10.195, 10.31, 10.31, 1049479
2021-08-02T04:00:00Z, 10.69, 10.88, 10.485, 10.68, 10.68, 341259
2021-07-30T04:00:00Z, 10.04, 11, 9.9373, 10.62, 10.62, 833124
2021-07-29T04:00:00Z, 10.305, 10.48, 9.9, 10.06, 10.06, 564638
2021-07-28T04:00:00Z, 10.265, 10.33, 10.08, 10.27, 10.27, 601719
2021-07-27T04:00:00Z, 9.75, 10.2, 9.72, 10.2, 10.2, 576406
2021-07-26T04:00:00Z, 10.53, 10.555, 9.55, 9.84, 9.84, 545977
2021-07-23T04:00:00Z, 9.77, 10.52, 9.78, 10.52, 10.52, 477627
2021-07-22T04:00:00Z, 8.97, 9.83, 8.86, 9.76, 9.76, 677411
2021-07-21T04:00:00Z, 8.7, 9.025, 8.3, 8.96, 8.96, 974515
2021-07-20T04:00:00Z, 9.19, 9.465, 8.57, 8.6, 8.6, 716842
2021-07-19T04:00:00Z, 8.5, 9.11, 8.24, 8.93, 8.93, 919384
2021-07-16T04:00:00Z, 8.09, 8.5199, 7.925, 8.28, 8.28, 1017736
2021-07-15T04:00:00Z, 8.8, 8.8901, 7.6, 7.76, 7.76, 586738
