Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 10.51, 10.81, 10.38, 10.63, 10.63, 2479309
2022-02-07T05:00:00Z, 10.53, 10.68, 10.14, 10.44, 10.44, 2732858
2022-02-04T05:00:00Z, 10.03, 10.42, 9.82, 10.37, 10.37, 2544155
2022-02-03T05:00:00Z, 10.26, 10.54, 10.045, 10.07, 10.07, 2390316
2022-02-02T05:00:00Z, 10.9, 10.91, 10.4201, 10.45, 10.45, 2057968
2022-02-01T05:00:00Z, 10.68, 10.93, 10.305, 10.85, 10.85, 2980596
2022-01-31T05:00:00Z, 9.98, 10.57, 9.9901, 10.56, 10.56, 3578155
2022-01-28T05:00:00Z, 9.74, 10.01, 9.485, 9.96, 9.96, 3696353
2022-01-27T05:00:00Z, 10.51, 10.52, 9.655, 9.74, 9.74, 5632836
2022-01-26T05:00:00Z, 11.07, 11.13, 10.36, 10.46, 10.46, 3532874
2022-01-25T05:00:00Z, 10.81, 11.0099, 10.475, 10.84, 10.84, 2814169
2022-01-24T05:00:00Z, 10.77, 11.05, 10.24, 11.03, 11.03, 5186287
2022-01-21T05:00:00Z, 11.21, 11.44, 10.85, 11.16, 11.16, 5745469
2022-01-20T05:00:00Z, 11.5, 11.81, 11.29, 11.3, 11.3, 4611492
2022-01-19T05:00:00Z, 11, 11.33, 10.85, 11.08, 11.08, 4829545
2022-01-18T05:00:00Z, 10.9, 11.21, 10.8, 10.88, 10.88, 7955177
2022-01-14T05:00:00Z, 10.52, 11.18, 10.3, 11.1, 11.1, 17029944
2022-01-13T05:00:00Z, 9.85, 10.055, 9.485, 9.52, 9.52, 3164293
2022-01-12T05:00:00Z, 9.75, 10.105, 9.47, 9.92, 9.92, 3612377
2022-01-11T05:00:00Z, 9.05, 9.75, 8.99, 9.56, 9.56, 5506128
2022-01-10T05:00:00Z, 9.66, 9.805, 9.07, 9.08, 9.08, 4680061
2022-01-07T05:00:00Z, 9.75, 10.05, 9.7, 9.71, 9.71, 2339125
2022-01-06T05:00:00Z, 9.81, 10.09, 9.59, 9.76, 9.76, 2778959
2022-01-05T05:00:00Z, 10.39, 10.5, 9.655, 9.73, 9.73, 2823942
2022-01-04T05:00:00Z, 10.82, 10.86, 10.36, 10.45, 10.45, 3738804
2022-01-03T05:00:00Z, 10.45, 10.82, 10.28, 10.73, 10.73, 3510085
2021-12-31T05:00:00Z, 10.2, 10.4, 10.02, 10.18, 10.18, 3027268
2021-12-30T05:00:00Z, 9.8, 10.465, 9.73, 10.19, 10.19, 2619645
2021-12-29T05:00:00Z, 10.07, 10.1, 9.795, 9.86, 9.86, 2310639
2021-12-28T05:00:00Z, 10.36, 10.6, 10.15, 10.24, 10.24, 2120074
2021-12-27T05:00:00Z, 10.31, 10.5, 10.13, 10.45, 10.45, 2388682
2021-12-23T05:00:00Z, 10.51, 10.66, 10.31, 10.44, 10.44, 4071767
2021-12-22T05:00:00Z, 9.78, 9.9701, 9.585, 9.79, 9.79, 2246778
2021-12-21T05:00:00Z, 9.35, 9.93, 9.22, 9.91, 9.91, 3281979
2021-12-20T05:00:00Z, 9, 9.245, 8.88, 9.01, 9.01, 2432069
2021-12-17T05:00:00Z, 9.1, 9.38, 8.87, 9.34, 9.34, 3650450
2021-12-16T05:00:00Z, 9.73, 9.99, 9.22, 9.24, 9.24, 3199805
2021-12-15T05:00:00Z, 9.5, 9.625, 8.925, 9.58, 9.58, 4726390
2021-12-14T05:00:00Z, 9.76, 9.905, 9.57, 9.59, 9.59, 2353401
2021-12-13T05:00:00Z, 10.06, 10.11, 9.65, 9.77, 9.77, 2393843
2021-12-10T05:00:00Z, 10.43, 10.45, 10.175, 10.22, 10.22, 1746757
2021-12-09T05:00:00Z, 10.55, 10.65, 10.375, 10.43, 10.43, 3708789
2021-12-08T05:00:00Z, 10.17, 10.955, 10.03, 10.74, 10.74, 3717187
2021-12-07T05:00:00Z, 10.07, 10.36, 9.88, 10.17, 10.17, 3476439
2021-12-06T05:00:00Z, 9.38, 10.235, 9.19, 9.94, 9.94, 3151479
2021-12-03T05:00:00Z, 9.65, 9.65, 9.12, 9.29, 9.29, 4045446
2021-12-02T05:00:00Z, 9.28, 9.685, 9.18, 9.57, 9.57, 3685774
2021-12-01T05:00:00Z, 9.9, 10.065, 9.09, 9.16, 9.16, 3639503
2021-11-30T05:00:00Z, 10.03, 10, 9.41, 9.76, 9.76, 6043555
2021-11-29T05:00:00Z, 10.55, 10.65, 10.1, 10.12, 10.12, 3378678
2021-11-26T05:00:00Z, 10.77, 10.98, 9.9502, 10.4, 10.4, 6018114
2021-11-24T05:00:00Z, 10.95, 11.69, 10.9, 11.6, 11.6, 2537928
2021-11-23T05:00:00Z, 11.34, 11.39, 10.835, 11.04, 11.04, 3172584
2021-11-22T05:00:00Z, 11.31, 11.69, 11.03, 11.52, 11.52, 3170483
2021-11-19T05:00:00Z, 10.865, 11.195, 10.8, 10.94, 10.94, 2271512
2021-11-18T05:00:00Z, 11.54, 11.555, 10.91, 10.94, 10.94, 2420551
2021-11-17T05:00:00Z, 11.98, 12.15, 11.31, 11.51, 11.51, 1962430
2021-11-16T05:00:00Z, 12.31, 12.4, 12.03, 12.05, 12.05, 4669033
2021-11-15T05:00:00Z, 11.54, 12.19, 11.5, 12.14, 12.14, 3357572
2021-11-12T05:00:00Z, 11.64, 11.75, 11.5, 11.6, 11.6, 2517074
2021-11-11T05:00:00Z, 11.23, 11.75, 11.16, 11.68, 11.68, 2740839
2021-11-10T05:00:00Z, 11.38, 11.75, 10.895, 11.13, 11.13, 3341140
2021-11-09T05:00:00Z, 11.64, 11.85, 11.16, 11.45, 11.45, 2642644
2021-11-08T05:00:00Z, 11.81, 11.88, 11.52, 11.59, 11.59, 3446330
2021-11-05T04:00:00Z, 11.05, 11.57, 11, 11.47, 11.47, 4293115
2021-11-04T04:00:00Z, 11.13, 11.18, 10.59, 10.61, 10.61, 3115003
2021-11-03T04:00:00Z, 10.91, 11.19, 10.7, 11.06, 11.06, 1567187
2021-11-02T04:00:00Z, 11.3, 11.35, 10.835, 10.98, 10.98, 2928609
2021-11-01T04:00:00Z, 10.84, 11.45, 10.8, 11.42, 11.42, 3682700
2021-10-29T04:00:00Z, 11, 11.15, 10.6, 10.83, 10.83, 3348036
2021-10-28T04:00:00Z, 11.11, 11.26, 10.56, 11.13, 11.13, 2951495
2021-10-27T04:00:00Z, 11.13, 11.35, 11.09, 11.16, 11.16, 2454051
2021-10-26T04:00:00Z, 11.41, 11.59, 11.15, 11.16, 11.16, 2130048
2021-10-25T04:00:00Z, 11.22, 11.31, 10.99, 11.21, 11.21, 2577014
2021-10-22T04:00:00Z, 11.3, 11.47, 11.05, 11.17, 11.17, 2712369
2021-10-21T04:00:00Z, 11.34, 11.57, 11.28, 11.4, 11.4, 2041050
2021-10-20T04:00:00Z, 11.63, 11.69, 11.34, 11.45, 11.45, 1826587
2021-10-19T04:00:00Z, 11.17, 11.675, 11.11, 11.64, 11.64, 3181021
2021-10-18T04:00:00Z, 11.1, 11.32, 10.985, 11.09, 11.09, 2566009
2021-10-15T04:00:00Z, 11, 11.45, 11, 11.12, 11.12, 2609097
2021-10-14T04:00:00Z, 11.19, 11.2116, 10.83, 10.97, 10.97, 3122869
2021-10-13T04:00:00Z, 10.92, 11.135, 10.75, 11.12, 11.12, 2261528
2021-10-12T04:00:00Z, 11.08, 11.5499, 10.95, 11.05, 11.05, 4419561
2021-10-11T04:00:00Z, 10.86, 11.44, 10.82, 11.1, 11.1, 4898920
2021-10-08T04:00:00Z, 10.47, 10.86, 10.36, 10.81, 10.81, 3648382
