Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 3.72, 3.86, 3.7, 3.84, 3.84, 2464052
2022-02-07T05:00:00Z, 3.61, 3.81, 3.58, 3.77, 3.77, 3781322
2022-02-04T05:00:00Z, 3.55, 3.63, 3.48, 3.59, 3.59, 2243367
2022-02-03T05:00:00Z, 3.65, 3.6901, 3.52, 3.54, 3.54, 2616120
2022-02-02T05:00:00Z, 3.75, 3.765, 3.6, 3.61, 3.61, 2422130
2022-02-01T05:00:00Z, 3.775, 3.825, 3.625, 3.78, 3.78, 1850550
2022-01-31T05:00:00Z, 3.55, 3.73, 3.27, 3.73, 3.73, 2718268
2022-01-28T05:00:00Z, 3.41, 3.56, 3.34, 3.55, 3.55, 2732531
2022-01-27T05:00:00Z, 3.68, 3.685, 3.38, 3.39, 3.39, 3091187
2022-01-26T05:00:00Z, 3.71, 3.8872, 3.62, 3.64, 3.64, 3080970
2022-01-25T05:00:00Z, 3.6, 3.755, 3.53, 3.68, 3.68, 2655082
2022-01-24T05:00:00Z, 3.67, 3.75, 3.44, 3.71, 3.71, 4732415
2022-01-21T05:00:00Z, 3.89, 4.0107, 3.79, 3.79, 3.79, 3978650
2022-01-20T05:00:00Z, 4.05, 4.148, 3.93, 3.93, 3.93, 2605477
2022-01-19T05:00:00Z, 4, 4.19, 3.97, 4.02, 4.02, 2778316
2022-01-18T05:00:00Z, 3.95, 4.175, 3.88, 3.97, 3.97, 4497498
2022-01-14T05:00:00Z, 3.73, 3.945, 3.673, 3.92, 3.92, 2911876
2022-01-13T05:00:00Z, 3.86, 3.945, 3.7516, 3.76, 3.76, 3026992
2022-01-12T05:00:00Z, 4.1, 4.13, 3.84, 3.85, 3.85, 4017304
2022-01-11T05:00:00Z, 4.16, 4.18, 4.075, 4.1, 4.1, 1374258
2022-01-10T05:00:00Z, 4.03, 4.17, 4.005, 4.14, 4.14, 2941012
2022-01-07T05:00:00Z, 4.13, 4.25, 4.06, 4.07, 4.07, 1714324
2022-01-06T05:00:00Z, 4.08, 4.21, 4.025, 4.14, 4.14, 1586173
2022-01-05T05:00:00Z, 4.25, 4.3, 4.05, 4.06, 4.06, 2485797
2022-01-04T05:00:00Z, 4.45, 4.45, 4.18, 4.22, 4.22, 2005128
2022-01-03T05:00:00Z, 4.35, 4.46, 4.275, 4.45, 4.45, 2183865
2021-12-31T05:00:00Z, 4.38, 4.45, 4.33, 4.37, 4.37, 1520305
2021-12-30T05:00:00Z, 4.38, 4.45, 4.295, 4.38, 4.38, 1990591
2021-12-29T05:00:00Z, 4.4, 4.43, 4.3301, 4.38, 4.38, 1145807
2021-12-28T05:00:00Z, 4.51, 4.65, 4.42, 4.42, 4.42, 1806647
2021-12-27T05:00:00Z, 4.47, 4.6, 4.39, 4.47, 4.47, 1978465
2021-12-23T05:00:00Z, 4.43, 4.51, 4.39, 4.46, 4.46, 1561091
2021-12-22T05:00:00Z, 4.33, 4.47, 4.29, 4.41, 4.41, 1363891
2021-12-21T05:00:00Z, 4.44, 4.48, 4.325, 4.39, 4.39, 1564141
2021-12-20T05:00:00Z, 4.27, 4.45, 4.1582, 4.39, 4.39, 2054574
2021-12-17T05:00:00Z, 4.09, 4.4, 4.075, 4.28, 4.28, 6464050
2021-12-16T05:00:00Z, 4.3, 4.339, 4.06, 4.13, 4.13, 2554896
2021-12-15T05:00:00Z, 4.12, 4.32, 3.995, 4.31, 4.31, 2882022
2021-12-14T05:00:00Z, 4.08, 4.15, 4.015, 4.07, 4.07, 2088611
2021-12-13T05:00:00Z, 4.08, 4.16, 3.99, 4.14, 4.14, 2342787
2021-12-10T05:00:00Z, 4.16, 4.2, 4.04, 4.05, 4.05, 1966788
2021-12-09T05:00:00Z, 4.4, 4.42, 4.15, 4.15, 4.15, 4214426
2021-12-08T05:00:00Z, 4.4, 4.5, 4.375, 4.48, 4.48, 2787496
2021-12-07T05:00:00Z, 4.38, 4.5, 4.34, 4.4, 4.4, 2463021
2021-12-06T05:00:00Z, 4.18, 4.34, 4.08, 4.29, 4.29, 1796932
2021-12-03T05:00:00Z, 4.39, 4.41, 4.16, 4.17, 4.17, 2842679
2021-12-02T05:00:00Z, 4.41, 4.51, 4.27, 4.42, 4.42, 2298165
2021-12-01T05:00:00Z, 4.72, 4.75, 4.32, 4.32, 4.32, 2254593
2021-11-30T05:00:00Z, 4.65, 4.72, 4.475, 4.63, 4.63, 9398060
2021-11-29T05:00:00Z, 4.7, 4.82, 4.62, 4.64, 4.64, 1736307
2021-11-26T05:00:00Z, 4.76, 4.84, 4.59, 4.63, 4.63, 1474331
2021-11-24T05:00:00Z, 4.7, 4.88, 4.653, 4.85, 4.85, 1481360
2021-11-23T05:00:00Z, 4.63, 4.79, 4.5226, 4.76, 4.76, 2301971
2021-11-22T05:00:00Z, 4.73, 4.82, 4.61, 4.61, 4.61, 1967736
2021-11-19T05:00:00Z, 4.69, 4.85, 4.68, 4.75, 4.75, 1438426
2021-11-18T05:00:00Z, 4.8, 4.81, 4.635, 4.71, 4.71, 1792275
2021-11-17T05:00:00Z, 4.82, 4.89, 4.75, 4.76, 4.76, 1293721
2021-11-16T05:00:00Z, 4.76, 4.88, 4.73, 4.88, 4.88, 1810510
2021-11-15T05:00:00Z, 4.96, 4.99, 4.75, 4.79, 4.79, 1740503
2021-11-12T05:00:00Z, 4.94, 5, 4.89, 4.99, 4.99, 1023297
2021-11-11T05:00:00Z, 4.85, 5.07, 4.83, 4.96, 4.96, 2380862
2021-11-10T05:00:00Z, 4.945, 5.24, 4.74, 4.81, 4.81, 3174326
2021-11-09T05:00:00Z, 4.84, 4.88, 4.685, 4.8, 4.8, 2164204
2021-11-08T05:00:00Z, 4.84, 4.94, 4.79, 4.84, 4.84, 1373103
2021-11-05T04:00:00Z, 4.89, 4.96, 4.78, 4.81, 4.81, 2031109
2021-11-04T04:00:00Z, 4.96, 5, 4.805, 4.88, 4.88, 1824916
2021-11-03T04:00:00Z, 4.95, 5.05, 4.855, 5.01, 5.01, 2054099
2021-11-02T04:00:00Z, 4.83, 4.99, 4.8, 4.98, 4.98, 1835108
2021-11-01T04:00:00Z, 4.7, 4.94, 4.66, 4.88, 4.88, 2271910
2021-10-29T04:00:00Z, 4.78, 4.845, 4.64, 4.71, 4.71, 1807280
2021-10-28T04:00:00Z, 4.58, 4.815, 4.53, 4.8, 4.8, 1929657
2021-10-27T04:00:00Z, 4.58, 4.65, 4.51, 4.51, 4.51, 1434965
2021-10-26T04:00:00Z, 4.55, 4.61, 4.49, 4.58, 4.58, 1482509
2021-10-25T04:00:00Z, 4.6, 4.7, 4.53, 4.55, 4.55, 2142448
2021-10-22T04:00:00Z, 4.49, 4.66, 4.395, 4.64, 4.64, 3078878
2021-10-21T04:00:00Z, 4.33, 4.42, 4.3, 4.41, 4.41, 2482346
2021-10-20T04:00:00Z, 4.11, 4.405, 4.035, 4.3, 4.3, 3889055
2021-10-19T04:00:00Z, 4.29, 4.305, 4.07, 4.15, 4.15, 4836619
2021-10-18T04:00:00Z, 4.33, 4.38, 4, 4.16, 4.16, 16760034
2021-10-15T04:00:00Z, 5.3, 5.35, 5.06, 5.09, 5.09, 4806771
2021-10-14T04:00:00Z, 5.4, 5.43, 5.24, 5.3, 5.3, 2792855
2021-10-13T04:00:00Z, 5.3, 5.4, 5.225, 5.37, 5.37, 2535507
2021-10-12T04:00:00Z, 5.25, 5.3799, 5.19, 5.21, 5.21, 2253364
2021-10-11T04:00:00Z, 5.24, 5.35, 5.1, 5.24, 5.24, 2266962
2021-10-08T04:00:00Z, 5.25, 5.35, 5.12, 5.12, 5.12, 2690748
2021-10-07T04:00:00Z, 5.16, 5.44, 5.12, 5.25, 5.25, 4527171
2021-10-06T04:00:00Z, 4.66, 5.14, 4.63, 5.1, 5.1, 5363029
2021-10-05T04:00:00Z, 4.51, 4.76, 4.505, 4.73, 4.73, 2563065
2021-10-04T04:00:00Z, 4.45, 4.58, 4.43, 4.5, 4.5, 2051876
2021-10-01T04:00:00Z, 4.36, 4.55, 4.21, 4.52, 4.52, 2883669
2021-09-30T04:00:00Z, 4.52, 4.54, 4.33, 4.35, 4.35, 2606204
2021-09-29T04:00:00Z, 4.63, 4.69, 4.42, 4.48, 4.48, 1963498
2021-09-28T04:00:00Z, 4.75, 4.79, 4.59, 4.61, 4.61, 2372098
2021-09-27T04:00:00Z, 4.68, 4.84, 4.66, 4.8, 4.8, 1836136
2021-09-24T04:00:00Z, 4.78, 4.85, 4.64, 4.68, 4.68, 1235304
2021-09-23T04:00:00Z, 4.65, 4.76, 4.62, 4.75, 4.75, 1582882
2021-09-22T04:00:00Z, 4.59, 4.69, 4.565, 4.66, 4.66, 1558951
2021-09-21T04:00:00Z, 4.54, 4.618, 4.505, 4.58, 4.58, 1277091
2021-09-20T04:00:00Z, 4.37, 4.5778, 4.32, 4.48, 4.48, 2405728
2021-09-17T04:00:00Z, 4.61, 4.61, 4.455, 4.53, 4.53, 6673801
2021-09-16T04:00:00Z, 4.67, 4.7, 4.465, 4.56, 4.56, 3024597
2021-09-15T04:00:00Z, 4.76, 4.77, 4.6, 4.67, 4.67, 2472098
2021-09-14T04:00:00Z, 4.75, 5.02, 4.68, 4.76, 4.76, 4088227
2021-09-13T04:00:00Z, 4.66, 4.85, 4.58, 4.73, 4.73, 2315324
2021-09-10T04:00:00Z, 4.73, 4.85, 4.69, 4.7, 4.7, 2101180
2021-09-09T04:00:00Z, 4.645, 4.82, 4.6298, 4.7, 4.7, 1661933
2021-09-08T04:00:00Z, 4.72, 4.76, 4.54, 4.61, 4.61, 1853589
2021-09-07T04:00:00Z, 4.72, 4.83, 4.59, 4.71, 4.71, 2022704
2021-09-03T04:00:00Z, 4.83, 4.85, 4.64, 4.72, 4.72, 2004211
2021-09-02T04:00:00Z, 4.85, 4.895, 4.73, 4.81, 4.81, 1512536
2021-09-01T04:00:00Z, 4.82, 4.84, 4.74, 4.8, 4.8, 1569977
2021-08-31T04:00:00Z, 4.73, 4.84, 4.69, 4.8, 4.8, 3726539
2021-08-30T04:00:00Z, 4.94, 4.97, 4.68, 4.71, 4.71, 2426842
2021-08-27T04:00:00Z, 4.63, 4.925, 4.627, 4.91, 4.91, 4477279
2021-08-26T04:00:00Z, 4.6, 4.72, 4.5515, 4.63, 4.63, 2397880
2021-08-25T04:00:00Z, 4.48, 4.635, 4.42, 4.6, 4.6, 2118014
2021-08-24T04:00:00Z, 4.56, 4.57, 4.335, 4.44, 4.44, 5015973
2021-08-23T04:00:00Z, 4.25, 4.5, 4.24, 4.48, 4.48, 5728082
2021-08-20T04:00:00Z, 4.02, 4.22, 3.97, 4.22, 4.22, 2060942
2021-08-19T04:00:00Z, 4.05, 4.14, 3.97, 3.97, 3.97, 2255452
2021-08-18T04:00:00Z, 4.179, 4.23, 4.055, 4.08, 4.08, 2175756
2021-08-17T04:00:00Z, 4.05, 4.31, 4.02, 4.15, 4.15, 2635909
2021-08-16T04:00:00Z, 4.03, 4.17, 3.93, 4.1, 4.1, 3215561
2021-08-13T04:00:00Z, 4.09, 4.285, 4.015, 4.02, 4.02, 2917151
2021-08-12T04:00:00Z, 3.97, 4.118, 3.78, 4.09, 4.09, 2998625
2021-08-11T04:00:00Z, 3.91, 4.03, 3.83, 3.99, 3.99, 2507209
2021-08-10T04:00:00Z, 3.96, 3.985, 3.87, 3.89, 3.89, 1802532
2021-08-09T04:00:00Z, 4.04, 4.05, 3.95, 3.98, 3.98, 1747082
2021-08-06T04:00:00Z, 4.2, 4.21, 3.985, 4.04, 4.04, 2368803
2021-08-05T04:00:00Z, 4.01, 4.2, 3.98, 4.2, 4.2, 2018870
2021-08-04T04:00:00Z, 4.018, 4.31, 3.985, 4.03, 4.03, 3807171
2021-08-03T04:00:00Z, 4.03, 4.08, 3.94, 3.99, 3.99, 2403247
2021-08-02T04:00:00Z, 4.14, 4.18, 4.01, 4.03, 4.03, 2142005
2021-07-30T04:00:00Z, 4.22, 4.25, 4.09, 4.1, 4.1, 1861362
2021-07-29T04:00:00Z, 4.41, 4.45, 4.21, 4.21, 4.21, 1849223
2021-07-28T04:00:00Z, 4.29, 4.43, 4.27, 4.42, 4.42, 3712752
2021-07-27T04:00:00Z, 4.4, 4.405, 4.2, 4.25, 4.25, 1709030
2021-07-26T04:00:00Z, 4.4, 4.48, 4.34, 4.38, 4.38, 1477974
2021-07-23T04:00:00Z, 4.52, 4.57, 4.36, 4.37, 4.37, 1417466
2021-07-22T04:00:00Z, 4.58, 4.64, 4.45, 4.48, 4.48, 1790735
2021-07-21T04:00:00Z, 4.72, 4.74, 4.59, 4.62, 4.62, 1815076
2021-07-20T04:00:00Z, 4.38, 4.68, 4.32, 4.66, 4.66, 3108075
2021-07-19T04:00:00Z, 4.33, 4.4, 4.1733, 4.36, 4.36, 3160971
2021-07-16T04:00:00Z, 4.52, 4.59, 4.39, 4.42, 4.42, 1591070
2021-07-15T04:00:00Z, 4.5, 4.57, 4.39, 4.46, 4.46, 1559519
2021-07-14T04:00:00Z, 4.55, 4.6745, 4.44, 4.48, 4.48, 2321090
2021-07-13T04:00:00Z, 4.68, 4.73, 4.56, 4.57, 4.57, 2149304
2021-07-12T04:00:00Z, 4.87, 4.89, 4.67, 4.68, 4.68, 2250767
2021-07-09T04:00:00Z, 4.94, 4.98, 4.8, 4.83, 4.83, 1457516
2021-07-08T04:00:00Z, 4.76, 4.94, 4.71, 4.89, 4.89, 2703371
2021-07-07T04:00:00Z, 5.21, 5.23, 4.91, 4.99, 4.99, 3185974
2021-07-06T04:00:00Z, 5.38, 5.42, 5.22, 5.22, 5.22, 1610331
2021-07-02T04:00:00Z, 5.49, 5.5, 5.26, 5.4, 5.4, 2205047
2021-07-01T04:00:00Z, 5.46, 5.5, 5.24, 5.48, 5.48, 2778134
2021-06-30T04:00:00Z, 5.19, 5.53, 5.1049, 5.45, 5.45, 4663374
2021-06-29T04:00:00Z, 5.29, 5.34, 5.12, 5.23, 5.23, 4262222
2021-06-28T04:00:00Z, 5, 5.3874, 4.94, 5.29, 5.29, 10274867
2021-06-25T04:00:00Z, 4.76, 4.83, 4.465, 4.74, 4.74, 17299049
2021-06-24T04:00:00Z, 4.57, 4.72, 4.49, 4.71, 4.71, 2418526
2021-06-23T04:00:00Z, 4.46, 4.58, 4.44, 4.52, 4.52, 1949169
2021-06-22T04:00:00Z, 4.49, 4.52, 4.38, 4.46, 4.46, 1677836
2021-06-21T04:00:00Z, 4.31, 4.53, 4.295, 4.52, 4.52, 3184507
2021-06-18T04:00:00Z, 4.4, 4.4599, 4.23, 4.26, 4.26, 4526517
2021-06-17T04:00:00Z, 4.34, 4.54, 4.3, 4.44, 4.44, 2541625
2021-06-16T04:00:00Z, 4.24, 4.58, 4.195, 4.33, 4.33, 7817481
2021-06-15T04:00:00Z, 4.12, 4.18, 4.08, 4.1, 4.1, 2440267
2021-06-14T04:00:00Z, 4.06, 4.195, 4.06, 4.13, 4.13, 3065599
2021-06-11T04:00:00Z, 4.01, 4.09, 3.98, 4.05, 4.05, 1721190
2021-06-10T04:00:00Z, 4.12, 4.15, 3.99, 4.03, 4.03, 2183823
2021-06-09T04:00:00Z, 3.9, 4.15, 3.9, 4.08, 4.08, 3098849
2021-06-08T04:00:00Z, 3.91, 3.94, 3.76, 3.87, 3.87, 2232618
2021-06-07T04:00:00Z, 3.62, 3.99, 3.6, 3.93, 3.93, 5515601
2021-06-04T04:00:00Z, 3.8, 3.8, 3.56, 3.61, 3.61, 3643064
2021-06-03T04:00:00Z, 3.75, 3.84, 3.71, 3.8, 3.8, 2682902
2021-06-02T04:00:00Z, 4.04, 4.045, 3.63, 3.71, 3.71, 9207081
2021-06-01T04:00:00Z, 4.48, 4.48, 4.02, 4.04, 4.04, 7400594
2021-05-28T04:00:00Z, 4.4, 4.55, 4.365, 4.42, 4.42, 4783079
2021-05-27T04:00:00Z, 4.19, 4.42, 4.18, 4.42, 4.42, 5781684
2021-05-26T04:00:00Z, 4.17, 4.21, 4.07, 4.16, 4.16, 6956687
2021-05-25T04:00:00Z, 4.26, 4.38, 4.1, 4.1, 4.1, 2309900
2021-05-24T04:00:00Z, 4.23, 4.38, 4.16, 4.24, 4.24, 1909762
2021-05-21T04:00:00Z, 4.32, 4.39, 4.23, 4.24, 4.24, 2085787
2021-05-20T04:00:00Z, 4.25, 4.35, 4.185, 4.31, 4.31, 2040253
2021-05-19T04:00:00Z, 4.17, 4.28, 4.1417, 4.23, 4.23, 2217796
2021-05-18T04:00:00Z, 4.27, 4.39, 4.215, 4.26, 4.26, 2352786
2021-05-17T04:00:00Z, 4.24, 4.28, 4.14, 4.23, 4.23, 2016992
2021-05-14T04:00:00Z, 4.12, 4.39, 4.08, 4.29, 4.29, 3372043
2021-05-13T04:00:00Z, 3.97, 4.22, 3.91, 4.035, 4.035, 2974144
2021-05-12T04:00:00Z, 4.28, 4.35, 4.04, 4.05, 4.05, 3306117
2021-05-11T04:00:00Z, 3.87, 4.48, 3.75, 4.4, 4.4, 4606633
2021-05-10T04:00:00Z, 4.25, 4.25, 4.01, 4.07, 4.07, 2915034
2021-05-07T04:00:00Z, 4.08, 4.415, 4.03, 4.29, 4.29, 3121360
2021-05-06T04:00:00Z, 4.12, 4.15, 3.95, 4.1, 4.1, 3210784
2021-05-05T04:00:00Z, 4.37, 4.3906, 4.12, 4.16, 4.16, 2413672
2021-05-04T04:00:00Z, 4.35, 4.37, 4.195, 4.32, 4.32, 2797336
2021-05-03T04:00:00Z, 4.62, 4.69, 4.4, 4.42, 4.42, 2296247
2021-04-30T04:00:00Z, 4.78, 4.874, 4.535, 4.57, 4.57, 3184675
2021-04-29T04:00:00Z, 4.84, 4.9, 4.7, 4.82, 4.82, 2752552
2021-04-28T04:00:00Z, 4.84, 4.9, 4.75, 4.8, 4.8, 2528060
2021-04-27T04:00:00Z, 4.88, 4.98, 4.735, 4.82, 4.82, 3017999
2021-04-26T04:00:00Z, 4.75, 4.835, 4.6297, 4.83, 4.83, 3330560
2021-04-23T04:00:00Z, 4.76, 4.8, 4.585, 4.68, 4.68, 3837473
2021-04-22T04:00:00Z, 4.57, 4.85, 4.4, 4.81, 4.81, 7493845
2021-04-21T04:00:00Z, 4.27, 4.63, 4.19, 4.62, 4.62, 4518295
2021-04-20T04:00:00Z, 4.18, 4.3, 4.13, 4.235, 4.235, 3075518
2021-04-19T04:00:00Z, 4.16, 4.24, 4.05, 4.17, 4.17, 2205244
2021-04-16T04:00:00Z, 4.28, 4.31, 4.12, 4.185, 4.185, 2417010
2021-04-15T04:00:00Z, 4.64, 4.66, 4.26, 4.3, 4.3, 4930560
2021-04-14T04:00:00Z, 4.21, 4.56, 4.19, 4.554, 4.554, 4928901
2021-04-13T04:00:00Z, 4.23, 4.31, 4.09, 4.2, 4.2, 1861844
2021-04-12T04:00:00Z, 4.2, 4.37, 4.145, 4.19, 4.19, 2784669
2021-04-09T04:00:00Z, 4.3, 4.34, 4.16, 4.24, 4.24, 2860895
2021-04-08T04:00:00Z, 4.11, 4.32, 4.02, 4.32, 4.32, 2916829
2021-04-07T04:00:00Z, 4.17, 4.26, 4.045, 4.08, 4.08, 2605166
2021-04-06T04:00:00Z, 4.13, 4.46, 4.13, 4.16, 4.16, 4405379
2021-04-05T04:00:00Z, 4.23, 4.255, 4.04, 4.18, 4.18, 4778965
2021-04-01T04:00:00Z, 3.95, 4.3278, 3.93, 4.155, 4.155, 9504259
2021-03-31T04:00:00Z, 3.67, 3.94, 3.66, 3.92, 3.92, 6940812
2021-03-30T04:00:00Z, 3.66, 3.78, 3.5799, 3.65, 3.65, 2607390
2021-03-29T04:00:00Z, 3.62, 3.825, 3.5746, 3.64, 3.64, 4063001
2021-03-26T04:00:00Z, 3.72, 3.73, 3.47, 3.59, 3.59, 3789679
2021-03-25T04:00:00Z, 3.16, 3.75, 3.12, 3.735, 3.735, 6485969
2021-03-24T04:00:00Z, 3.4, 3.45, 3.2, 3.21, 3.21, 5061996
2021-03-23T04:00:00Z, 3.63, 3.64, 3.33, 3.335, 3.335, 4834081
2021-03-22T04:00:00Z, 3.76, 3.8, 3.67, 3.67, 3.67, 2235335
2021-03-19T04:00:00Z, 3.64, 3.73, 3.51, 3.72, 3.72, 14313167
2021-03-18T04:00:00Z, 3.93, 3.93, 3.62, 3.63, 3.63, 3742849
2021-03-17T04:00:00Z, 3.8, 3.96, 3.72, 3.9, 3.9, 3148242
2021-03-16T04:00:00Z, 4.06, 4.07, 3.7, 3.87, 3.87, 4779292
2021-03-15T04:00:00Z, 4, 4.065, 3.935, 4, 4, 4767544
2021-03-12T05:00:00Z, 3.9, 4, 3.82, 3.95, 3.95, 2664698
2021-03-11T05:00:00Z, 3.95, 3.98, 3.8506, 3.95, 3.95, 5686213
2021-03-10T05:00:00Z, 3.86, 3.92, 3.805, 3.85, 3.85, 3972408
2021-03-09T05:00:00Z, 3.75, 3.88, 3.67, 3.8, 3.8, 6759098
2021-03-08T05:00:00Z, 3.67, 3.79, 3.54, 3.63, 3.63, 5679413
2021-03-05T05:00:00Z, 3.49, 3.675, 3.14, 3.67, 3.67, 8920859
2021-03-04T05:00:00Z, 3.61, 3.67, 3.27, 3.38, 3.38, 8086134
2021-03-03T05:00:00Z, 3.8, 3.85, 3.61, 3.62, 3.62, 10450873
2021-03-02T05:00:00Z, 3.95, 3.99, 3.67, 3.78, 3.78, 23275145
2021-03-01T05:00:00Z, 5.25, 5.3, 3.91, 4.01, 4.01, 29156442
2021-02-26T05:00:00Z, 5.52, 5.9711, 5.36, 5.71, 5.71, 4719558
2021-02-25T05:00:00Z, 6.01, 6.1816, 5.59, 5.61, 5.61, 5281962
2021-02-24T05:00:00Z, 5.53, 6.25, 5.47, 5.98, 5.98, 6669076
2021-02-23T05:00:00Z, 5.41, 5.53, 5.15, 5.28, 5.28, 5166232
2021-02-22T05:00:00Z, 5.99, 6.09, 5.6, 5.62, 5.62, 5358559
2021-02-19T05:00:00Z, 5.37, 6.19, 5.34, 6.135, 6.135, 8532264
2021-02-18T05:00:00Z, 5.38, 5.499, 5.19, 5.31, 5.31, 3019144
2021-02-17T05:00:00Z, 5.47, 5.69, 5.12, 5.505, 5.505, 4257599
2021-02-16T05:00:00Z, 5.46, 5.51, 5.19, 5.48, 5.48, 3565775
