Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 7.67, 7.745, 7.51, 7.67, 7.67, 1166918
2022-02-07T05:00:00Z, 7.5, 7.68, 7.44, 7.63, 7.63, 1948344
2022-02-04T05:00:00Z, 7.77, 7.91, 7.53, 7.54, 7.54, 568960
2022-02-03T05:00:00Z, 7.66, 7.735, 7.54, 7.65, 7.65, 1529757
2022-02-02T05:00:00Z, 7.62, 7.73, 7.521, 7.67, 7.67, 641984
2022-02-01T05:00:00Z, 7.38, 7.649, 7.34, 7.6, 7.6, 449259
2022-01-31T05:00:00Z, 7.23, 7.59, 7.21, 7.41, 7.41, 955637
2022-01-28T05:00:00Z, 7.37, 7.49, 7.14, 7.37, 7.37, 479752
2022-01-27T05:00:00Z, 7.81, 7.975, 7.375, 7.41, 7.41, 397255
2022-01-26T05:00:00Z, 8.04, 8.15, 7.54, 7.7, 7.7, 392533
2022-01-25T05:00:00Z, 7.7, 7.9, 7.48, 7.88, 7.88, 549220
2022-01-24T05:00:00Z, 7.35, 7.74, 7.19, 7.7, 7.7, 581690
2022-01-21T05:00:00Z, 7.64, 7.8, 7.49, 7.52, 7.52, 567310
2022-01-20T05:00:00Z, 7.92, 8.12, 7.72, 7.74, 7.74, 969476
2022-01-19T05:00:00Z, 8.19, 8.225, 7.9793, 8.05, 8.05, 630272
2022-01-18T05:00:00Z, 8.17, 8.26, 8.01, 8.14, 8.14, 524324
2022-01-14T05:00:00Z, 7.88, 8.215, 7.87, 8.2, 8.2, 473228
2022-01-13T05:00:00Z, 7.92, 8.12, 7.855, 8.06, 8.06, 835610
2022-01-12T05:00:00Z, 7.75, 7.92, 7.68, 7.83, 7.83, 659496
2022-01-11T05:00:00Z, 7.63, 7.715, 7.47, 7.66, 7.66, 834960
2022-01-10T05:00:00Z, 7.5, 7.66, 7.45, 7.59, 7.59, 443369
2022-01-07T05:00:00Z, 7.54, 7.68, 7.51, 7.64, 7.64, 320319
2022-01-06T05:00:00Z, 7.57, 7.68, 7.395, 7.59, 7.59, 421969
2022-01-05T05:00:00Z, 7.38, 7.6, 7.3799, 7.46, 7.46, 455284
2022-01-04T05:00:00Z, 7.2, 7.34, 7.05, 7.32, 7.32, 697502
2022-01-03T05:00:00Z, 7.03, 7.25, 6.94, 7.07, 7.07, 317781
2021-12-31T05:00:00Z, 6.81, 6.9, 6.78, 6.88, 6.88, 325074
2021-12-30T05:00:00Z, 7.02, 7.04, 6.845, 6.86, 6.86, 403799
2021-12-29T05:00:00Z, 7.16, 7.23, 6.925, 6.93, 6.93, 404586
2021-12-28T05:00:00Z, 7.3, 7.41, 7.145, 7.22, 7.22, 390944
2021-12-27T05:00:00Z, 7.15, 7.305, 7.1, 7.26, 7.26, 978613
2021-12-23T05:00:00Z, 6.94, 7.25, 6.68, 7.15, 7.15, 1082317
2021-12-22T05:00:00Z, 6.85, 7.01, 6.64, 6.67, 6.67, 3872468
2021-12-21T05:00:00Z, 6.87, 6.97, 6.7, 6.83, 6.83, 1441814
2021-12-20T05:00:00Z, 6.51, 6.62, 6.38, 6.62, 6.62, 694062
2021-12-17T05:00:00Z, 6.63, 6.8, 6.56, 6.6, 6.6, 1225376
2021-12-16T05:00:00Z, 6.95, 7.055, 6.73, 6.78, 6.78, 627590
2021-12-15T05:00:00Z, 6.87, 7.01, 6.65, 6.87, 6.87, 844596
2021-12-14T05:00:00Z, 7.06, 7.13, 6.915, 6.94, 6.94, 451470
2021-12-13T05:00:00Z, 7.23, 7.25, 6.93, 6.99, 6.99, 494298
2021-12-10T05:00:00Z, 7.32, 7.39, 7.16, 7.31, 7.31, 362425
2021-12-09T05:00:00Z, 7.3, 7.36, 7.22, 7.28, 7.28, 290121
2021-12-08T05:00:00Z, 7.38, 7.46, 7.32, 7.35, 7.35, 294437
2021-12-07T05:00:00Z, 7.47, 7.66, 7.33, 7.35, 7.35, 616851
2021-12-06T05:00:00Z, 7.14, 7.39, 7.07, 7.27, 7.27, 483820
2021-12-03T05:00:00Z, 7.2, 7.32, 6.985, 7.09, 7.09, 477124
2021-12-02T05:00:00Z, 6.92, 7.245, 6.76, 7.2, 7.2, 814069
2021-12-01T05:00:00Z, 7.01, 7.12, 6.78, 6.79, 6.79, 994372
2021-11-30T05:00:00Z, 7.38, 7.41, 6.86, 6.88, 6.88, 830538
2021-11-29T05:00:00Z, 7.87, 7.95, 7.38, 7.52, 7.52, 1229771
2021-11-26T05:00:00Z, 7.63, 7.83, 7.33, 7.71, 7.71, 902345
2021-11-24T05:00:00Z, 8.13, 8.29, 8.02, 8.09, 8.09, 831969
2021-11-23T05:00:00Z, 8.19, 8.295, 8.1, 8.16, 8.16, 484765
2021-11-22T05:00:00Z, 8.19, 8.27, 7.98, 8.11, 8.11, 1188534
