Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 4.51, 4.64, 4.17, 4.33, 4.33, 1776431
2022-02-07T05:00:00Z, 4.39, 4.735, 4.24, 4.5, 4.5, 4290591
2022-02-04T05:00:00Z, 4.35, 4.46, 4.205, 4.27, 4.27, 4390227
2022-02-03T05:00:00Z, 4.4, 4.67, 4.26, 4.29, 4.29, 2363364
2022-02-02T05:00:00Z, 4.65, 4.7768, 4.23, 4.28, 4.28, 1626307
2022-02-01T05:00:00Z, 4.83, 4.93, 4.595, 4.69, 4.69, 2648766
2022-01-31T05:00:00Z, 4.38, 4.94, 4.32, 4.77, 4.77, 3079761
2022-01-28T05:00:00Z, 4.34, 4.45, 4.11, 4.32, 4.32, 1357165
2022-01-27T05:00:00Z, 4.69, 4.73, 4.26, 4.3, 4.3, 1486528
2022-01-26T05:00:00Z, 5.23, 5.25, 4.6, 4.65, 4.65, 2443863
2022-01-25T05:00:00Z, 5.04, 5.26, 4.83, 5.13, 5.13, 691230
2022-01-24T05:00:00Z, 4.87, 5.12, 4.645, 5.1, 5.1, 1749214
2022-01-21T05:00:00Z, 5.29, 5.44, 5.11, 5.11, 5.11, 944046
2022-01-20T05:00:00Z, 5.78, 5.85, 5.31, 5.33, 5.33, 828777
2022-01-19T05:00:00Z, 5.74, 5.91, 5.62, 5.66, 5.66, 599131
2022-01-18T05:00:00Z, 6.01, 6.19, 5.6549, 5.67, 5.67, 822071
2022-01-14T05:00:00Z, 5.93, 6.29, 5.755, 6.28, 6.28, 831690
2022-01-13T05:00:00Z, 6.14, 6.28, 6.01, 6.02, 6.02, 877107
2022-01-12T05:00:00Z, 6.5, 6.5, 6.14, 6.15, 6.15, 1877164
2022-01-11T05:00:00Z, 6.26, 6.56, 6.13, 6.43, 6.43, 557501
2022-01-10T05:00:00Z, 6.27, 6.28, 5.96, 6.19, 6.19, 4125742
2022-01-07T05:00:00Z, 6.66, 6.805, 6.19, 6.27, 6.27, 926882
2022-01-06T05:00:00Z, 6.92, 7, 6.27, 6.52, 6.52, 3448781
2022-01-05T05:00:00Z, 6.61, 6.98, 6.55, 6.63, 6.63, 2798773
2022-01-04T05:00:00Z, 6.97, 7.2, 6.445, 6.49, 6.49, 845030
2022-01-03T05:00:00Z, 6.22, 6.51, 6.18, 6.44, 6.44, 529404
2021-12-31T05:00:00Z, 6.43, 6.5, 6.17, 6.22, 6.22, 574864
2021-12-30T05:00:00Z, 5.74, 6.55, 5.6, 6.4, 6.4, 1589372
2021-12-29T05:00:00Z, 5.83, 6.08, 5.65, 5.76, 5.76, 1439827
2021-12-28T05:00:00Z, 5.94, 6.2744, 5.81, 5.81, 5.81, 507062
2021-12-27T05:00:00Z, 6.12, 6.42, 5.91, 5.96, 5.96, 369974
2021-12-23T05:00:00Z, 6.1, 6.37, 5.97, 6.28, 6.28, 467529
2021-12-22T05:00:00Z, 5.82, 6.25, 5.78, 6.12, 6.12, 556606
2021-12-21T05:00:00Z, 6.02, 6.1, 5.79, 5.88, 5.88, 685703
2021-12-20T05:00:00Z, 5.65, 6.09, 5.43, 5.95, 5.95, 912312
2021-12-17T05:00:00Z, 5.6, 5.86, 5.485, 5.73, 5.73, 2075304
2021-12-16T05:00:00Z, 5.89, 5.95, 5.46, 5.62, 5.62, 993646
2021-12-15T05:00:00Z, 5.6, 5.8, 4.84, 5.75, 5.75, 2504903
2021-12-14T05:00:00Z, 5.57, 5.61, 5.3, 5.48, 5.48, 1448861
2021-12-13T05:00:00Z, 5.83, 5.93, 5.56, 5.65, 5.65, 1082901
2021-12-10T05:00:00Z, 6.42, 6.46, 5.87, 5.88, 5.88, 618546
2021-12-09T05:00:00Z, 6.45, 6.795, 6.17, 6.29, 6.29, 857276
2021-12-08T05:00:00Z, 6.25, 6.57, 6.18, 6.54, 6.54, 914789
2021-12-07T05:00:00Z, 6.13, 6.37, 6.015, 6.19, 6.19, 1301708
2021-12-06T05:00:00Z, 6.1, 6.3077, 6.02, 6.07, 6.07, 741962
2021-12-03T05:00:00Z, 6.53, 6.61, 6.07, 6.17, 6.17, 1416864
2021-12-02T05:00:00Z, 6.41, 6.72, 6.32, 6.64, 6.64, 698530
2021-12-01T05:00:00Z, 6.81, 7.01, 6.42, 6.43, 6.43, 681933
2021-11-30T05:00:00Z, 6.59, 6.825, 6.34, 6.74, 6.74, 1053880
2021-11-29T05:00:00Z, 7.05, 7.15, 6.64, 6.64, 6.64, 759914
2021-11-26T05:00:00Z, 7.74, 7.75, 6.86, 6.95, 6.95, 510023
2021-11-24T05:00:00Z, 7.7, 7.91, 7.41, 7.77, 7.77, 888301
2021-11-23T05:00:00Z, 7.63, 7.76, 7.26, 7.72, 7.72, 1261273
2021-11-22T05:00:00Z, 8.2, 8.26, 7.57, 7.6, 7.6, 1676002
2021-11-19T05:00:00Z, 8.21, 8.28, 8.01, 8.05, 8.05, 842492
2021-11-18T05:00:00Z, 8.46, 8.5133, 8.115, 8.21, 8.21, 596058
2021-11-17T05:00:00Z, 8.92, 8.94, 8.38, 8.41, 8.41, 372354
2021-11-16T05:00:00Z, 8.95, 9.1299, 8.77, 8.88, 8.88, 823109
2021-11-15T05:00:00Z, 9.29, 9.43, 8.91, 8.95, 8.95, 1083151
2021-11-12T05:00:00Z, 9.5, 9.66, 9, 9.14, 9.14, 317659
2021-11-11T05:00:00Z, 9.55, 9.67, 9.3503, 9.39, 9.39, 261947
2021-11-10T05:00:00Z, 9.49, 9.78, 9.31, 9.5, 9.5, 334069
2021-11-09T05:00:00Z, 9.1, 9.75, 9.02, 9.52, 9.52, 457852
2021-11-08T05:00:00Z, 9.7, 10.01, 9.53, 9.61, 9.61, 361488
2021-11-05T04:00:00Z, 9.83, 10, 9.52, 9.8, 9.8, 428672
2021-11-04T04:00:00Z, 9.77, 9.91, 9.47, 9.71, 9.71, 377652
2021-11-03T04:00:00Z, 9.28, 9.91, 9.16, 9.86, 9.86, 453994
2021-11-02T04:00:00Z, 9.04, 9.41, 8.97, 9.4, 9.4, 403073
2021-11-01T04:00:00Z, 8.65, 9.18, 8.51, 9.16, 9.16, 718325
