Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 18.24, 18.58, 18.11, 18.57, 18.57, 3925562
2022-02-07T05:00:00Z, 18.48, 18.65, 18.12, 18.17, 18.17, 9557476
2022-02-04T05:00:00Z, 18.47, 18.52, 18.18, 18.39, 18.39, 4781604
2022-02-03T05:00:00Z, 18.88, 18.94, 18.525, 18.55, 18.55, 4425050
2022-02-02T05:00:00Z, 19.13, 19.2, 18.93, 19.05, 19.05, 2387640
2022-02-01T05:00:00Z, 18.87, 19.14, 18.65, 19.1, 19.1, 3035475
2022-01-31T05:00:00Z, 18.2, 18.88, 18.15, 18.86, 18.86, 5242428
2022-01-28T05:00:00Z, 17.91, 18.315, 17.82, 18.3, 18.3, 5782653
2022-01-27T05:00:00Z, 18.67, 18.85, 17.87, 18.04, 18.04, 5090128
2022-01-26T05:00:00Z, 18.28, 19.13, 18.14, 18.53, 18.53, 5662181
2022-01-25T05:00:00Z, 18.69, 19.505, 18.495, 19.39, 19.39, 5247601
2022-01-24T05:00:00Z, 18.48, 19.165, 18.32, 19.14, 19.14, 3640174
2022-01-21T05:00:00Z, 19.005, 19.25, 18.75, 18.86, 18.86, 3140782
2022-01-20T05:00:00Z, 19.65, 19.87, 19.15, 19.17, 19.17, 2161441
2022-01-19T05:00:00Z, 19.99, 20.04, 19.59, 19.62, 19.62, 2513019
2022-01-18T05:00:00Z, 20.38, 20.56, 19.87, 19.92, 19.92, 4117888
2022-01-14T05:00:00Z, 20.61, 20.64, 20.21, 20.51, 20.51, 2552684
2022-01-13T05:00:00Z, 20.62, 20.86, 20.415, 20.68, 20.68, 1995620
2022-01-12T05:00:00Z, 21.12, 21.16, 20.45, 20.58, 20.58, 3556484
2022-01-11T05:00:00Z, 20.27, 20.895, 20.12, 20.89, 20.89, 3343342
2022-01-10T05:00:00Z, 21.01, 21.07, 20.05, 20.25, 20.25, 6934002
2022-01-07T05:00:00Z, 20.46, 21.01, 20.38, 21, 21, 4804472
2022-01-06T05:00:00Z, 20.71, 20.8, 20.15, 20.36, 20.36, 2639587
2022-01-05T05:00:00Z, 20.12, 20.78, 19.89, 20.48, 20.48, 5234930
2022-01-04T05:00:00Z, 21.45, 21.665, 21.23, 21.39, 21.39, 2325904
2022-01-03T05:00:00Z, 20.68, 21.155, 20.64, 21.11, 21.11, 3501919
2021-12-31T05:00:00Z, 20.64, 20.71, 20.38, 20.51, 20.51, 2728262
