Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 4.83, 4.87, 4.8, 4.87, 4.87, 879017
2022-02-07T05:00:00Z, 4.74, 4.78, 4.705, 4.75, 4.75, 1532970
2022-02-04T05:00:00Z, 4.7, 4.74, 4.68, 4.72, 4.72, 1381256
2022-02-03T05:00:00Z, 4.69, 4.735, 4.6631, 4.67, 4.67, 1691706
2022-02-02T05:00:00Z, 4.64, 4.76, 4.64, 4.76, 4.76, 1210982
2022-02-01T05:00:00Z, 4.42, 4.55, 4.38, 4.55, 4.55, 1111567
2022-01-31T05:00:00Z, 4.35, 4.44, 4.34, 4.44, 4.44, 979698
2022-01-28T05:00:00Z, 4.365, 4.4, 4.335, 4.4, 4.4, 1069157
2022-01-27T05:00:00Z, 4.46, 4.48, 4.39, 4.41, 4.41, 979884
2022-01-26T05:00:00Z, 4.47, 4.51, 4.4, 4.42, 4.42, 1003032
2022-01-25T05:00:00Z, 4.43, 4.53, 4.38, 4.52, 4.52, 1953041
2022-01-24T05:00:00Z, 4.43, 4.47, 4.375, 4.45, 4.45, 1006466
2022-01-21T05:00:00Z, 4.53, 4.54, 4.46, 4.5, 4.5, 1335386
2022-01-20T05:00:00Z, 4.46, 4.5, 4.41, 4.42, 4.42, 835816
2022-01-19T05:00:00Z, 4.51, 4.53, 4.43, 4.44, 4.44, 628220
2022-01-18T05:00:00Z, 4.62, 4.64, 4.56, 4.58, 4.58, 864373
2022-01-14T05:00:00Z, 4.7, 4.73, 4.68, 4.69, 4.69, 559413
2022-01-13T05:00:00Z, 4.7, 4.75, 4.68, 4.7, 4.7, 1050422
2022-01-12T05:00:00Z, 4.64, 4.69, 4.635, 4.68, 4.68, 480210
2022-01-11T05:00:00Z, 4.56, 4.66, 4.57, 4.65, 4.65, 793076
2022-01-10T05:00:00Z, 4.53, 4.56, 4.5, 4.54, 4.54, 1330951
2022-01-07T05:00:00Z, 4.53, 4.56, 4.5025, 4.55, 4.55, 690034
2022-01-06T05:00:00Z, 4.52, 4.55, 4.49, 4.53, 4.53, 607914
2022-01-05T05:00:00Z, 4.55, 4.57, 4.47, 4.52, 4.52, 635969
2022-01-04T05:00:00Z, 4.44, 4.51, 4.43, 4.5, 4.5, 1447485
2022-01-03T05:00:00Z, 4.36, 4.43, 4.325, 4.43, 4.43, 1149188
2021-12-31T05:00:00Z, 4.36, 4.36, 4.32, 4.33, 4.33, 716299
2021-12-30T05:00:00Z, 4.35, 4.37, 4.33, 4.33, 4.33, 503793
2021-12-29T05:00:00Z, 4.35, 4.41, 4.34, 4.37, 4.37, 290925
2021-12-28T05:00:00Z, 4.35, 4.38, 4.34, 4.37, 4.37, 522629
2021-12-27T05:00:00Z, 4.37, 4.41, 4.37, 4.38, 4.38, 1054610
2021-12-23T05:00:00Z, 4.4, 4.43, 4.379, 4.43, 4.43, 594953
2021-12-22T05:00:00Z, 4.39, 4.43, 4.35, 4.43, 4.43, 607452
2021-12-21T05:00:00Z, 4.38, 4.455, 4.35, 4.4, 4.4, 1266997
2021-12-20T05:00:00Z, 4.36, 4.38, 4.26, 4.34, 4.34, 822876
2021-12-17T05:00:00Z, 4.52, 4.56, 4.505, 4.53, 4.53, 1356658
2021-12-16T05:00:00Z, 4.525, 4.55, 4.51, 4.55, 4.55, 973392
2021-12-15T05:00:00Z, 4.49, 4.54, 4.46, 4.53, 4.53, 958562
2021-12-14T05:00:00Z, 4.39, 4.44, 4.37, 4.43, 4.43, 1238597
2021-12-13T05:00:00Z, 4.44, 4.45, 4.385, 4.41, 4.41, 857196
2021-12-10T05:00:00Z, 4.45, 4.48, 4.425, 4.48, 4.48, 849928
2021-12-09T05:00:00Z, 4.415, 4.46, 4.41, 4.43, 4.43, 781245
2021-12-08T05:00:00Z, 4.41, 4.43, 4.38, 4.42, 4.42, 627831
2021-12-07T05:00:00Z, 4.39, 4.45, 4.38, 4.45, 4.45, 1466777
2021-12-06T05:00:00Z, 4.3, 4.34, 4.28, 4.34, 4.34, 933804
2021-12-03T05:00:00Z, 4.27, 4.3, 4.22, 4.25, 4.25, 973614
2021-12-02T05:00:00Z, 4.155, 4.27, 4.14, 4.27, 4.27, 1214293
2021-12-01T05:00:00Z, 4.22, 4.23, 4.1326, 4.15, 4.15, 1512755
2021-11-30T05:00:00Z, 4.155, 4.18, 4.1, 4.17, 4.17, 2333953
2021-11-29T05:00:00Z, 4.18, 4.21, 4.13, 4.15, 4.15, 1490394
2021-11-26T05:00:00Z, 4.23, 4.24, 4.17, 4.22, 4.22, 1206304
2021-11-24T05:00:00Z, 4.29, 4.32, 4.2502, 4.26, 4.26, 1199099
2021-11-23T05:00:00Z, 4.28, 4.34, 4.2797, 4.33, 4.33, 1195718
2021-11-22T05:00:00Z, 4.29, 4.32, 4.265, 4.29, 4.29, 977168
2021-11-19T05:00:00Z, 4.25, 4.26, 4.21, 4.25, 4.25, 1337191
2021-11-18T05:00:00Z, 4.26, 4.3, 4.24, 4.3, 4.3, 1230981
2021-11-17T05:00:00Z, 4.31, 4.32, 4.23, 4.25, 4.25, 1816350
2021-11-16T05:00:00Z, 4.4, 4.43, 4.36, 4.38, 4.38, 1689264
2021-11-15T05:00:00Z, 4.41, 4.44, 4.38, 4.42, 4.42, 1263932
2021-11-12T05:00:00Z, 4.37, 4.41, 4.36, 4.38, 4.38, 1804996
2021-11-11T05:00:00Z, 4.38, 4.4, 4.36, 4.39, 4.39, 2151962
2021-11-10T05:00:00Z, 4.41, 4.43, 4.38, 4.4, 4.4, 1354615
2021-11-09T05:00:00Z, 4.48, 4.5, 4.4, 4.41, 4.41, 1326740
2021-11-08T05:00:00Z, 4.49, 4.51, 4.46, 4.51, 4.51, 882339
2021-11-05T04:00:00Z, 4.5, 4.53, 4.48, 4.49, 4.49, 750418
2021-11-04T04:00:00Z, 4.495, 4.5, 4.44, 4.49, 4.49, 759886
2021-11-03T04:00:00Z, 4.42, 4.45, 4.38, 4.45, 4.45, 698529
2021-11-02T04:00:00Z, 4.48, 4.49, 4.4, 4.4, 4.4, 612081
2021-11-01T04:00:00Z, 4.565, 4.62, 4.45, 4.48, 4.48, 989240
2021-10-29T04:00:00Z, 4.64, 4.69, 4.46, 4.61, 4.61, 1112975
2021-10-28T04:00:00Z, 4.83, 4.89, 4.82, 4.89, 4.89, 453132
2021-10-27T04:00:00Z, 4.81, 4.83, 4.77, 4.78, 4.78, 270203
2021-10-26T04:00:00Z, 4.84, 4.85, 4.81, 4.81, 4.81, 338675
2021-10-25T04:00:00Z, 4.86, 4.9, 4.81, 4.81, 4.81, 235082
2021-10-22T04:00:00Z, 4.85, 4.89, 4.82, 4.84, 4.84, 296608
2021-10-21T04:00:00Z, 4.91, 4.92, 4.86, 4.89, 4.89, 507975
2021-10-20T04:00:00Z, 4.94, 4.95, 4.92, 4.94, 4.94, 279290
2021-10-19T04:00:00Z, 4.83, 4.88, 4.82, 4.88, 4.88, 324039
2021-10-18T04:00:00Z, 4.88, 4.89, 4.85, 4.85, 4.85, 238144
2021-10-15T04:00:00Z, 4.88, 4.91, 4.86, 4.9, 4.9, 315445
2021-10-14T04:00:00Z, 4.83, 4.86, 4.75, 4.82, 4.82, 390502
2021-10-13T04:00:00Z, 4.85, 4.86, 4.81, 4.82, 4.82, 344380
2021-10-12T04:00:00Z, 4.88, 4.91, 4.85, 4.86, 4.86, 185794
2021-10-11T04:00:00Z, 4.93, 4.9583, 4.88, 4.88, 4.88, 209997
2021-10-08T04:00:00Z, 4.915, 4.96, 4.87, 4.89, 4.89, 200900
2021-10-07T04:00:00Z, 4.97, 4.99, 4.92, 4.95, 4.95, 222267
2021-10-06T04:00:00Z, 4.91, 4.96, 4.87, 4.95, 4.95, 335033
2021-10-05T04:00:00Z, 4.89, 4.96, 4.86, 4.94, 4.94, 371636
2021-10-04T04:00:00Z, 4.89, 4.94, 4.805, 4.83, 4.83, 613516
2021-10-01T04:00:00Z, 4.905, 4.96, 4.89, 4.95, 4.95, 345414
2021-09-30T04:00:00Z, 4.95, 5.03, 4.92, 4.94, 4.94, 444635
2021-09-29T04:00:00Z, 5.04, 5.09, 5.015, 5.08, 5.08, 253273
2021-09-28T04:00:00Z, 5.255, 5.28, 5.13, 5.14, 5.14, 421998
2021-09-27T04:00:00Z, 5.19, 5.255, 5.1739, 5.24, 5.24, 292741
2021-09-24T04:00:00Z, 5.14, 5.15, 5.12, 5.14, 5.14, 176592
2021-09-23T04:00:00Z, 5.11, 5.15, 5.11, 5.13, 5.13, 192346
2021-09-22T04:00:00Z, 5.05, 5.16, 4.91, 5.13, 5.13, 385324
2021-09-21T04:00:00Z, 5.04, 5.05, 5.02, 5.04, 5.04, 187570
2021-09-20T04:00:00Z, 5.05, 5.07, 4.97, 5.03, 5.03, 310634
2021-09-17T04:00:00Z, 5.15, 5.18, 5.1, 5.13, 5.13, 249063
2021-09-16T04:00:00Z, 5.17, 5.18, 5.145, 5.18, 5.18, 192962
2021-09-15T04:00:00Z, 5.19, 5.21, 5.16, 5.21, 5.21, 297835
2021-09-14T04:00:00Z, 5.25, 5.26, 5.2, 5.24, 5.24, 375864
2021-09-13T04:00:00Z, 5.22, 5.245, 5.21, 5.24, 5.24, 217724
2021-09-10T04:00:00Z, 5.21, 5.23, 5.19, 5.21, 5.21, 255023
2021-09-09T04:00:00Z, 5.15, 5.19, 5.15, 5.18, 5.18, 123501
2021-09-08T04:00:00Z, 5.2, 5.2, 5.15, 5.15, 5.15, 299654
2021-09-07T04:00:00Z, 5.18, 5.21, 5.1527, 5.19, 5.19, 266416
2021-09-03T04:00:00Z, 5.035, 5.13, 5.01, 5.13, 5.13, 614281
2021-09-02T04:00:00Z, 4.87, 4.89, 4.83, 4.83, 4.83, 501461
2021-09-01T04:00:00Z, 4.855, 4.9, 4.85, 4.89, 4.89, 270807
2021-08-31T04:00:00Z, 4.8, 4.81, 4.77, 4.78, 4.78, 396698
2021-08-30T04:00:00Z, 4.83, 4.84, 4.8, 4.81, 4.81, 304581
2021-08-27T04:00:00Z, 4.795, 4.84, 4.78, 4.83, 4.83, 202645
2021-08-26T04:00:00Z, 4.81, 4.82, 4.76, 4.78, 4.78, 300266
