Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 3.4, 3.63, 3.36, 3.55, 3.55, 5104273
2022-02-07T05:00:00Z, 3.54, 3.61, 3.25, 3.35, 3.35, 4416754
2022-02-04T05:00:00Z, 3.54, 3.55, 3.26, 3.49, 3.49, 4493929
2022-02-03T05:00:00Z, 3.65, 3.8, 3.5835, 3.68, 3.68, 3683750
2022-02-02T05:00:00Z, 3.69, 3.84, 3.55, 3.59, 3.59, 3066661
2022-02-01T05:00:00Z, 4.17, 4.21, 3.64, 3.66, 3.66, 6280907
2022-01-31T05:00:00Z, 4.24, 4.41, 4, 4.1, 4.1, 2299410
2022-01-28T05:00:00Z, 4.2, 4.42, 3.9899, 4.18, 4.18, 3345473
2022-01-27T05:00:00Z, 4.05, 4.39, 3.92, 4.14, 4.14, 6071020
2022-01-26T05:00:00Z, 4.1, 4.45, 4.0101, 4.32, 4.32, 3970609
2022-01-25T05:00:00Z, 4.89, 5.165, 4.195, 4.24, 4.24, 3305771
2022-01-24T05:00:00Z, 5.27, 5.56, 4.76, 4.84, 4.84, 5569848
2022-01-21T05:00:00Z, 4.66, 5.03, 4.66, 4.89, 4.89, 4945642
2022-01-20T05:00:00Z, 4.44, 4.56, 4.125, 4.52, 4.52, 2580652
2022-01-19T05:00:00Z, 4.11, 4.44, 4.09, 4.3, 4.3, 1626035
2022-01-18T05:00:00Z, 4.1, 4.45, 4.065, 4.23, 4.23, 3539119
2022-01-14T05:00:00Z, 4.64, 4.67, 4.29, 4.3, 4.3, 2815695
2022-01-13T05:00:00Z, 4.63, 4.73, 4.5, 4.68, 4.68, 2739643
2022-01-12T05:00:00Z, 4.59, 4.75, 4.53, 4.63, 4.63, 2154680
2022-01-11T05:00:00Z, 5.12, 5.26, 4.65, 4.69, 4.69, 2476705
2022-01-10T05:00:00Z, 5.26, 5.52, 5.19, 5.31, 5.31, 1813292
2022-01-07T05:00:00Z, 5.43, 5.53, 5.23, 5.26, 5.26, 1272781
2022-01-06T05:00:00Z, 5.54, 5.78, 5.41, 5.53, 5.53, 1873883
2022-01-05T05:00:00Z, 5.75, 6.03, 5.57, 6.02, 6.02, 1736760
2022-01-04T05:00:00Z, 6.49, 6.49, 5.82, 5.91, 5.91, 3020825
2022-01-03T05:00:00Z, 7.38, 7.43, 6.67, 6.7, 6.7, 1317929
