Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 7.61, 8.92, 7.55, 8.9, 8.9, 17253261
2022-02-07T05:00:00Z, 7.22, 7.9, 7.16, 7.77, 7.77, 9043864
2022-02-04T05:00:00Z, 6.7, 7.42, 6.65, 7.36, 7.36, 6176656
2022-02-03T05:00:00Z, 6.82, 6.94, 6.68, 6.79, 6.79, 4780842
2022-02-02T05:00:00Z, 7.5, 7.6, 6.96, 6.99, 6.99, 6668938
2022-02-01T05:00:00Z, 7.54, 7.63, 7.285, 7.56, 7.56, 4989042
2022-01-31T05:00:00Z, 6.72, 7.43, 6.7, 7.42, 7.42, 7852057
2022-01-28T05:00:00Z, 6.78, 6.88, 6.4, 6.75, 6.75, 5673633
2022-01-27T05:00:00Z, 7.22, 7.29, 6.89, 6.89, 6.89, 10467253
2022-01-26T05:00:00Z, 7.53, 7.96, 6.95, 7.07, 7.07, 9113058
2022-01-25T05:00:00Z, 7.12, 7.42, 6.96, 7.42, 7.42, 8139249
2022-01-24T05:00:00Z, 7.1, 7.37, 6.75, 7.26, 7.26, 11492944
2022-01-21T05:00:00Z, 7.87, 7.92, 7.32, 7.54, 7.54, 7827950
2022-01-20T05:00:00Z, 7.94, 8.55, 7.81, 7.95, 7.95, 12444348
2022-01-19T05:00:00Z, 7.78, 7.92, 7.54, 7.83, 7.83, 10588310
2022-01-18T05:00:00Z, 7.99, 8, 7.42, 7.69, 7.69, 9853992
2022-01-14T05:00:00Z, 8.67, 8.7, 8.11, 8.12, 8.12, 7739315
2022-01-13T05:00:00Z, 9.01, 9.0399, 8.67, 8.67, 8.67, 7173724
2022-01-12T05:00:00Z, 9.34, 9.38, 8.73, 9, 9, 13578101
2022-01-11T05:00:00Z, 8.98, 9.45, 8.8, 9.34, 9.34, 7733439
2022-01-10T05:00:00Z, 9.01, 9.1, 8.67, 9, 9, 7856338
2022-01-07T05:00:00Z, 9.5, 9.68, 9.14, 9.36, 9.36, 4784598
2022-01-06T05:00:00Z, 9.05, 9.53, 8.46, 9.52, 9.52, 11163147
2022-01-05T05:00:00Z, 9.65, 9.71, 8.92, 9.04, 9.04, 13772100
2022-01-04T05:00:00Z, 10.15, 10.22, 9.48, 9.74, 9.74, 8551827
2022-01-03T05:00:00Z, 9.63, 10, 9.55, 9.98, 9.98, 6901698
2021-12-31T05:00:00Z, 9.39, 9.47, 9.28, 9.38, 9.38, 1619840
2021-12-30T05:00:00Z, 9.39, 9.63, 9.37, 9.4, 9.4, 2375196
2021-12-29T05:00:00Z, 9.43, 9.46, 9.25, 9.32, 9.32, 2965637
2021-12-28T05:00:00Z, 9.71, 9.7, 9.36, 9.4, 9.4, 2217737
2021-12-27T05:00:00Z, 9.75, 9.89, 9.46, 9.74, 9.74, 2501410
2021-12-23T05:00:00Z, 9.16, 10, 9.11, 9.83, 9.83, 5787331
2021-12-22T05:00:00Z, 9.13, 9.18, 8.99, 9.12, 9.12, 7094954
2021-12-21T05:00:00Z, 9.02, 9.24, 8.84, 9.23, 9.23, 8402568
2021-12-20T05:00:00Z, 9.2, 9.35, 8.75, 8.94, 8.94, 15769788
2021-12-17T05:00:00Z, 10, 10.17, 9.14, 9.8, 9.8, 21554305
2021-12-16T05:00:00Z, 10.48, 10.49, 9.56, 10, 10, 13975555
2021-12-15T05:00:00Z, 9.69, 10.29, 9.42, 10.01, 10.01, 12663647
2021-12-14T05:00:00Z, 10.53, 10.58, 9.27, 9.92, 9.92, 22719707
2021-12-13T05:00:00Z, 11.03, 11.29, 10.31, 10.81, 10.81, 19652997
2021-12-10T05:00:00Z, 11.49, 11.85, 9.8, 11.85, 11.85, 50041985
2021-12-09T05:00:00Z, 11.25, 12.24, 10.01, 10.33, 10.33, 90160871
