Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 10.02, 10.95, 9.98, 10.85, 10.85, 1305607
2022-02-07T05:00:00Z, 10, 10.52, 9.81, 10.07, 10.07, 1115080
2022-02-04T05:00:00Z, 9.09, 9.9, 8.98, 9.83, 9.83, 1439941
2022-02-03T05:00:00Z, 9.39, 9.55, 8.91, 8.96, 8.96, 865801
2022-02-02T05:00:00Z, 10.41, 10.525, 9.61, 9.79, 9.79, 640462
2022-02-01T05:00:00Z, 10.11, 10.3, 9.61, 10.29, 10.29, 683149
2022-01-31T05:00:00Z, 9.14, 9.98, 9.1, 9.97, 9.97, 634426
2022-01-28T05:00:00Z, 8.67, 9.15, 8.5601, 9.07, 9.07, 1150178
2022-01-27T05:00:00Z, 9.8, 9.855, 8.6, 8.65, 8.65, 1401349
2022-01-26T05:00:00Z, 10.02, 10.41, 9.61, 9.7, 9.7, 1201140
2022-01-25T05:00:00Z, 9.61, 9.9, 9.2038, 9.54, 9.54, 893662
2022-01-24T05:00:00Z, 9.89, 9.96, 9, 9.94, 9.94, 2117159
2022-01-21T05:00:00Z, 10.63, 10.99, 10.13, 10.16, 10.16, 1335672
2022-01-20T05:00:00Z, 10.75, 11.68, 10.63, 10.79, 10.79, 1828211
2022-01-19T05:00:00Z, 11.26, 11.77, 10.27, 10.39, 10.39, 1835275
2022-01-18T05:00:00Z, 11.12, 11.91, 10.9, 11.07, 11.07, 1395312
2022-01-14T05:00:00Z, 11.4, 11.63, 10.89, 11.19, 11.19, 1117506
2022-01-13T05:00:00Z, 12.49, 12.5, 11.52, 11.63, 11.63, 1299739
2022-01-12T05:00:00Z, 12.79, 12.8908, 11.93, 12.41, 12.41, 1306325
2022-01-11T05:00:00Z, 13.11, 13.2, 12.52, 12.6, 12.6, 1188051
2022-01-10T05:00:00Z, 12.99, 13.57, 12.75, 13.03, 13.03, 858501
2022-01-07T05:00:00Z, 13.7, 13.95, 13.04, 13.13, 13.13, 1107746
2022-01-06T05:00:00Z, 14.45, 14.62, 13.48, 13.5, 13.5, 1758406
2022-01-05T05:00:00Z, 15.66, 15.67, 14.45, 14.45, 14.45, 1252832
2022-01-04T05:00:00Z, 16.45, 16.99, 15.61, 15.61, 15.61, 807731
2022-01-03T05:00:00Z, 17.15, 17.338, 16.2, 16.26, 16.26, 921166
2021-12-31T05:00:00Z, 16.52, 17.24, 16.3, 17.01, 17.01, 812347
2021-12-30T05:00:00Z, 15.42, 16.95, 15.2119, 16.52, 16.52, 1255018
2021-12-29T05:00:00Z, 15.6, 15.91, 15, 15.51, 15.51, 703814
2021-12-28T05:00:00Z, 16.18, 16.68, 14.96, 15.41, 15.41, 1108811
2021-12-27T05:00:00Z, 15, 16.2, 14.92, 16.01, 16.01, 797465
2021-12-23T05:00:00Z, 15, 15.6, 14.75, 15.03, 15.03, 1345216
2021-12-22T05:00:00Z, 15.11, 15.56, 14.52, 14.75, 14.75, 1069531
2021-12-21T05:00:00Z, 14.26, 15.34, 14.25, 15.05, 15.05, 889517
2021-12-20T05:00:00Z, 14.57, 14.8, 13.51, 13.93, 13.93, 1641919
2021-12-17T05:00:00Z, 14.82, 15.49, 13.92, 15.02, 15.02, 6555279
2021-12-16T05:00:00Z, 16.34, 16.44, 14.65, 14.88, 14.88, 1465748
2021-12-15T05:00:00Z, 16.03, 16.22, 14.24, 16.12, 16.12, 2474415
2021-12-14T05:00:00Z, 16.74, 17, 15.4, 15.94, 15.94, 2138345
2021-12-13T05:00:00Z, 17.34, 17.9, 16.9, 17.1, 17.1, 909879
2021-12-10T05:00:00Z, 17.21, 17.56, 16.83, 17.34, 17.34, 946360
2021-12-09T05:00:00Z, 17.74, 18.22, 16.8, 16.98, 16.98, 1498934
2021-12-08T05:00:00Z, 19.11, 19.215, 17.16, 17.73, 17.73, 3426510
2021-12-07T05:00:00Z, 17.58, 18.99, 17.3, 18.88, 18.88, 2476594
2021-12-06T05:00:00Z, 17.3, 17.9, 16.5, 17.45, 17.45, 1857536
2021-12-03T05:00:00Z, 18.85, 19.18, 16.52, 17.88, 17.88, 2193516
2021-12-02T05:00:00Z, 19.2, 19.24, 18, 18.52, 18.52, 1546383
2021-12-01T05:00:00Z, 20, 20.1, 18.9, 19, 19, 1795508
2021-11-30T05:00:00Z, 18.38, 19.75, 18.3071, 19.61, 19.61, 4481347
2021-11-29T05:00:00Z, 18.9, 19.39, 18.22, 18.28, 18.28, 1837738
2021-11-26T05:00:00Z, 17.25, 18.55, 17.2, 18.1, 18.1, 1080968
2021-11-24T05:00:00Z, 17.97, 18.65, 17.6801, 17.83, 17.83, 1247267
2021-11-23T05:00:00Z, 19.3, 19.5, 16.88, 17.96, 17.96, 2119455
2021-11-22T05:00:00Z, 16.99, 19.56, 16.86, 18.04, 18.04, 3522380
2021-11-19T05:00:00Z, 16.91, 17.51, 15.58, 16.01, 16.01, 2262056
2021-11-18T05:00:00Z, 18.7, 19.18, 16.91, 17.03, 17.03, 2224126
2021-11-17T05:00:00Z, 19.69, 20.07, 18.05, 18.7, 18.7, 2125306
2021-11-16T05:00:00Z, 20.15, 20.35, 18.1, 19.76, 19.76, 2915695
2021-11-15T05:00:00Z, 19.6, 22.19, 19.14, 20.16, 20.16, 3984488
2021-11-12T05:00:00Z, 18.5, 19.08, 18.17, 18.56, 18.56, 2480263
2021-11-11T05:00:00Z, 17.03, 17.9, 16.2, 17.6, 17.6, 2902384
2021-11-10T05:00:00Z, 15.01, 17.8, 14.1, 16.51, 16.51, 9327408
2021-11-09T05:00:00Z, 15.54, 16.0996, 15.31, 15.71, 15.71, 1672271
2021-11-08T05:00:00Z, 15.05, 15.23, 14.91, 15.05, 15.05, 1101789
2021-11-05T04:00:00Z, 15.1, 15.59, 14.8, 15.01, 15.01, 816997
2021-11-04T04:00:00Z, 14.89, 15.2, 14.7, 15.02, 15.02, 1206506
2021-11-03T04:00:00Z, 14.52, 14.6, 14, 14.53, 14.53, 1123145
2021-11-02T04:00:00Z, 13.45, 16, 13.4, 14, 14, 2709320
2021-11-01T04:00:00Z, 12.15, 13.29, 12.12, 13, 13, 2093746
2021-10-29T04:00:00Z, 12.04, 12.13, 11.9548, 12.08, 12.08, 539874
2021-10-28T04:00:00Z, 12.01, 12.195, 11.9, 12.01, 12.01, 398361
2021-10-27T04:00:00Z, 12, 12.1, 11.9, 12.01, 12.01, 293607
2021-10-26T04:00:00Z, 12.24, 12.3, 11.9, 11.99, 11.99, 530543
2021-10-25T04:00:00Z, 12.59, 12.67, 12.2, 12.23, 12.23, 593738
2021-10-22T04:00:00Z, 12.84, 12.93, 12.1, 12.18, 12.18, 594353
2021-10-21T04:00:00Z, 13.2, 13.2, 12.635, 12.78, 12.78, 714979
2021-10-20T04:00:00Z, 13.98, 14.08, 11.73, 12.8, 12.8, 1220376
