Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 16.61, 16.89, 16.55, 16.78, 16.78, 908761
2022-02-07T05:00:00Z, 16.99, 17.1, 16.55, 16.62, 16.62, 1355557
2022-02-04T05:00:00Z, 17.15, 17.43, 17.05, 17.15, 17.15, 1911329
2022-02-03T05:00:00Z, 17.36, 17.66, 17.24, 17.3, 17.3, 1391601
2022-02-02T05:00:00Z, 17.47, 17.57, 17.22, 17.53, 17.53, 1404727
2022-02-01T05:00:00Z, 17.4, 17.64, 17.24, 17.45, 17.45, 1485891
2022-01-31T05:00:00Z, 17.26, 17.509, 17.13, 17.36, 17.36, 1525394
2022-01-28T05:00:00Z, 16.58, 17.22, 16.34, 17.22, 17.22, 2857349
2022-01-27T05:00:00Z, 17.1, 17.21, 16.4, 16.46, 16.46, 1446234
2022-01-26T05:00:00Z, 17.56, 17.63, 16.92, 17.01, 17.01, 927298
2022-01-25T05:00:00Z, 17.87, 17.92, 17.16, 17.42, 17.42, 1262971
2022-01-24T05:00:00Z, 17.66, 17.95, 17.07, 17.91, 17.91, 1623086
2022-01-21T05:00:00Z, 18.2, 18.34, 17.92, 17.95, 17.95, 1053436
2022-01-20T05:00:00Z, 18.75, 19.07, 18.32, 18.36, 18.36, 1082937
2022-01-19T05:00:00Z, 18.58, 18.96, 18.43, 18.75, 18.75, 1265584
2022-01-18T05:00:00Z, 18.88, 19.02, 18.53, 18.59, 18.59, 1345415
2022-01-14T05:00:00Z, 19.21, 19.5, 18.9, 19.06, 19.06, 1100441
2022-01-13T05:00:00Z, 20, 20.14, 19.19, 19.31, 19.31, 1255473
2022-01-12T05:00:00Z, 20.27, 20.41, 19.985, 20.07, 20.07, 1746712
2022-01-11T05:00:00Z, 20.58, 20.58, 20.25, 20.28, 20.28, 1355088
2022-01-10T05:00:00Z, 19.8, 20.65, 19.73, 20.63, 20.63, 2040481
2022-01-07T05:00:00Z, 20.6, 20.62, 19.8159, 20.01, 20.01, 2188479
2022-01-06T05:00:00Z, 20, 20.51, 19.69, 20.21, 20.21, 1661561
2022-01-05T05:00:00Z, 20.04, 20.545, 20.04, 20.1, 20.1, 3747431
2022-01-04T05:00:00Z, 21.02, 21.15, 20.19, 20.19, 20.19, 1975492
2022-01-03T05:00:00Z, 21.39, 21.4, 20.98, 21.12, 21.12, 1562235
2021-12-31T05:00:00Z, 21.23, 21.52, 21.1, 21.39, 21.39, 1230721
2021-12-30T05:00:00Z, 21, 21.405, 20.84, 21.22, 21.22, 1398359
2021-12-29T05:00:00Z, 20.36, 20.88, 20.06, 20.81, 20.81, 2623479
2021-12-28T05:00:00Z, 20.51, 20.81, 19.98, 20.3, 20.3, 2942830
2021-12-27T05:00:00Z, 21.05, 21.1, 20.455, 20.48, 20.48, 4679442
2021-12-23T05:00:00Z, 21.25, 21.5, 20.64, 21.16, 21.16, 18634448
2021-12-22T05:00:00Z, 19.75, 19.82, 18.95, 19.79, 19.79, 399313
2021-12-21T05:00:00Z, 19.17, 19.595, 18.89, 19.49, 19.49, 435104
2021-12-20T05:00:00Z, 19.45, 19.48, 18.63, 19.18, 19.18, 656646
2021-12-17T05:00:00Z, 18.7, 19.505, 18.52, 19.45, 19.45, 2222002
2021-12-16T05:00:00Z, 19.01, 19.34, 18.69, 18.75, 18.75, 691215
2021-12-15T05:00:00Z, 18.14, 18.92, 17.91, 18.88, 18.88, 813062
2021-12-14T05:00:00Z, 18.22, 18.83, 18.05, 18.18, 18.18, 563825
2021-12-13T05:00:00Z, 18.37, 18.57, 18.1, 18.43, 18.43, 573760
2021-12-10T05:00:00Z, 18.66, 18.85, 18.14, 18.5, 18.5, 480463
2021-12-09T05:00:00Z, 18.91, 19.24, 18.56, 18.585, 18.585, 511585
2021-12-08T05:00:00Z, 19.21, 19.45, 18.99, 19.08, 19.08, 580291
2021-12-07T05:00:00Z, 19.44, 19.57, 19.13, 19.24, 19.24, 870100
2021-12-06T05:00:00Z, 18.54, 19.24, 18.32, 19.08, 19.08, 754539
2021-12-03T05:00:00Z, 19.35, 19.35, 18.42, 18.59, 18.59, 533392
2021-12-02T05:00:00Z, 19.26, 19.71, 18.78, 19.2, 19.2, 437882
2021-12-01T05:00:00Z, 19.52, 20.03, 19.13, 19.14, 19.14, 778195
2021-11-30T05:00:00Z, 19.56, 19.8, 18.95, 19.14, 19.14, 1604807
2021-11-29T05:00:00Z, 20.05, 20.43, 19.73, 19.78, 19.78, 605196
2021-11-26T05:00:00Z, 20.46, 20.53, 19.73, 19.96, 19.96, 302896
2021-11-24T05:00:00Z, 20.155, 20.51, 20.02, 20.48, 20.48, 303566
2021-11-23T05:00:00Z, 20.62, 20.65, 20.1, 20.32, 20.32, 813890
2021-11-22T05:00:00Z, 20.41, 20.89, 20.24, 20.63, 20.63, 1153645
2021-11-19T05:00:00Z, 20.65, 21.03, 19.9792, 20.27, 20.27, 648423
2021-11-18T05:00:00Z, 20.46, 20.8, 20.47, 20.61, 20.61, 604339
2021-11-17T05:00:00Z, 20.5, 20.69, 20.43, 20.47, 20.47, 255846
2021-11-16T05:00:00Z, 20.48, 20.98, 20.37, 20.63, 20.63, 407731
2021-11-15T05:00:00Z, 20.64, 20.93, 20.4, 20.5, 20.5, 461892
2021-11-12T05:00:00Z, 20.7, 20.97, 20.56, 20.74, 20.74, 568573
2021-11-11T05:00:00Z, 20.03, 20.62, 19.925, 20.53, 20.53, 728845
2021-11-10T05:00:00Z, 19.96, 20.25, 19.86, 19.97, 19.97, 409521
2021-11-09T05:00:00Z, 20.2, 20.41, 19.88, 19.94, 19.94, 569609
2021-11-08T05:00:00Z, 20.23, 20.645, 20.03, 20.21, 20.21, 598080
2021-11-05T04:00:00Z, 19.71, 19.96, 19.21, 19.81, 19.81, 823718
2021-11-04T04:00:00Z, 20.66, 21, 19.06, 19.49, 19.49, 1154122
2021-11-03T04:00:00Z, 18.54, 18.82, 17.94, 18.59, 18.59, 1135676
2021-11-02T04:00:00Z, 19.47, 19.47, 18.78, 18.8, 18.8, 588181
2021-11-01T04:00:00Z, 19.77, 19.945, 19.45, 19.47, 19.47, 577459
2021-10-29T04:00:00Z, 19.29, 19.81, 19.27, 19.77, 19.77, 728873
2021-10-28T04:00:00Z, 19.09, 19.7, 18.99, 19.54, 19.54, 557031
2021-10-27T04:00:00Z, 19.27, 19.4, 18.76, 19.07, 19.07, 558701
2021-10-26T04:00:00Z, 19.02, 19.47, 18.93, 19.42, 19.42, 650844
2021-10-25T04:00:00Z, 19.58, 19.66, 19.05, 19.06, 19.06, 428216
2021-10-22T04:00:00Z, 19.79, 19.98, 19.46, 19.62, 19.62, 466364
2021-10-21T04:00:00Z, 20.08, 20.12, 19.83, 19.84, 19.84, 398570
2021-10-20T04:00:00Z, 20.04, 20.34, 19.88, 20.06, 20.06, 559741
2021-10-19T04:00:00Z, 19.94, 20.25, 19.57, 20.1, 20.1, 869108
2021-10-18T04:00:00Z, 19.66, 19.93, 19.32, 19.66, 19.66, 519245
2021-10-15T04:00:00Z, 19.84, 20.01, 19.59, 19.68, 19.68, 424946
2021-10-14T04:00:00Z, 20.27, 20.41, 19.78, 19.8, 19.8, 585113
2021-10-13T04:00:00Z, 19.7, 20.04, 19.57, 19.97, 19.97, 426272
2021-10-12T04:00:00Z, 19.6, 19.8, 19.41, 19.74, 19.74, 772417
2021-10-11T04:00:00Z, 19.98, 20.16, 19.51, 19.53, 19.53, 501158
2021-10-08T04:00:00Z, 19.99, 20.46, 19.77, 19.95, 19.95, 1799647
2021-10-07T04:00:00Z, 19.36, 20.095, 19.36, 20.04, 20.04, 1774173
2021-10-06T04:00:00Z, 19.02, 19.53, 19.02, 19.5, 19.5, 954820
2021-10-05T04:00:00Z, 19.28, 19.61, 18.93, 19.25, 19.25, 1537274
2021-10-04T04:00:00Z, 19.24, 19.25, 18.61, 19.05, 19.05, 745446
2021-10-01T04:00:00Z, 18.43, 19.14, 18.19, 19.06, 19.06, 913312
2021-09-30T04:00:00Z, 18.33, 19.04, 18.07, 18.48, 18.48, 1179346
2021-09-29T04:00:00Z, 18.47, 18.52, 18.19, 18.25, 18.25, 579261
2021-09-28T04:00:00Z, 18.44, 18.57, 18.12, 18.2, 18.2, 2064361
2021-09-27T04:00:00Z, 18.45, 18.73, 18.2305, 18.58, 18.58, 835217
2021-09-24T04:00:00Z, 18.59, 18.65, 18.23, 18.31, 18.31, 1671241
