Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 3.57, 3.61, 3.42, 3.51, 3.51, 3659493
2022-02-07T05:00:00Z, 3.57, 3.77, 3.52, 3.57, 3.57, 5648293
2022-02-04T05:00:00Z, 3.49, 3.65, 3.4771, 3.59, 3.59, 6209807
2022-02-03T05:00:00Z, 3.51, 3.7196, 3.43, 3.48, 3.48, 5504012
2022-02-02T05:00:00Z, 3.95, 3.955, 3.541, 3.63, 3.63, 9254573
2022-02-01T05:00:00Z, 3.55, 3.94, 3.48, 3.87, 3.87, 15528772
2022-01-31T05:00:00Z, 3.22, 3.67, 3.19, 3.55, 3.55, 16122285
2022-01-28T05:00:00Z, 2.96, 3.13, 2.87, 3.12, 3.12, 9719638
2022-01-27T05:00:00Z, 3.29, 3.355, 2.93, 2.95, 2.95, 10595803
2022-01-26T05:00:00Z, 3.44, 3.51, 3.12, 3.15, 3.15, 9622497
2022-01-25T05:00:00Z, 3.19, 3.44, 3.161, 3.38, 3.38, 6328019
2022-01-24T05:00:00Z, 3.15, 3.34, 2.87, 3.32, 3.32, 15702754
2022-01-21T05:00:00Z, 3.41, 3.46, 3.18, 3.28, 3.28, 16573567
2022-01-20T05:00:00Z, 3.69, 3.84, 3.545, 3.56, 3.56, 12866025
2022-01-19T05:00:00Z, 4.04, 4.12, 3.73, 3.73, 3.73, 15328842
2022-01-18T05:00:00Z, 4.07, 4.25, 4, 4, 4, 10133335
2022-01-14T05:00:00Z, 3.98, 4.26, 3.91, 4.25, 4.25, 11894572
2022-01-13T05:00:00Z, 4.19, 4.32, 4.01, 4.02, 4.02, 11042905
2022-01-12T05:00:00Z, 4.6, 4.64, 4.15, 4.17, 4.17, 23326485
2022-01-11T05:00:00Z, 4.12, 4.375, 4.1, 4.16, 4.16, 9365950
2022-01-10T05:00:00Z, 4.25, 4.36, 3.88, 4.32, 4.32, 16914441
2022-01-07T05:00:00Z, 4.06, 4.23, 4.02, 4.06, 4.06, 7705744
2022-01-06T05:00:00Z, 4.18, 4.33, 3.905, 4.13, 4.13, 8945430
2022-01-05T05:00:00Z, 4.38, 4.4525, 4.16, 4.18, 4.18, 10203591
2022-01-04T05:00:00Z, 4.64, 4.6699, 4.35, 4.47, 4.47, 10146037
2022-01-03T05:00:00Z, 4.57, 4.9, 4.4599, 4.72, 4.72, 10817205
2021-12-31T05:00:00Z, 4.85, 4.88, 4.53, 4.55, 4.55, 11271463
2021-12-30T05:00:00Z, 4.16, 5.06, 4.13, 4.83, 4.83, 24138131
2021-12-29T05:00:00Z, 4.65, 4.678, 4.21, 4.38, 4.38, 15179498
2021-12-28T05:00:00Z, 5.09, 5.19, 4.66, 4.72, 4.72, 13532935
