Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 5.03, 5.27, 4.92, 5.25, 5.25, 1271712
2022-02-07T05:00:00Z, 4.95, 5.0679, 4.84, 5.01, 5.01, 1012463
2022-02-04T05:00:00Z, 4.8, 4.9, 4.69, 4.82, 4.82, 997425
2022-02-03T05:00:00Z, 5, 5.05, 4.765, 4.79, 4.79, 1366892
2022-02-02T05:00:00Z, 5.34, 5.348, 5.04, 5.05, 5.05, 896836
2022-02-01T05:00:00Z, 5.27, 5.415, 5.16, 5.3, 5.3, 1090931
2022-01-31T05:00:00Z, 4.85, 5.24, 4.75, 5.24, 5.24, 1484528
2022-01-28T05:00:00Z, 4.88, 4.9, 4.65, 4.83, 4.83, 1509968
2022-01-27T05:00:00Z, 5.13, 5.18, 4.81, 4.87, 4.87, 1490979
2022-01-26T05:00:00Z, 5.2, 5.38, 4.98, 5.06, 5.06, 2214078
2022-01-25T05:00:00Z, 5.15, 5.26, 4.95, 5.16, 5.16, 1705777
2022-01-24T05:00:00Z, 5.19, 5.25, 4.81, 5.24, 5.24, 2266532
2022-01-21T05:00:00Z, 5.54, 5.61, 5.35, 5.42, 5.42, 951269
2022-01-20T05:00:00Z, 5.8, 5.925, 5.52, 5.54, 5.54, 974175
2022-01-19T05:00:00Z, 5.84, 5.89, 5.71, 5.73, 5.73, 866246
2022-01-18T05:00:00Z, 5.96, 6.07, 5.78, 5.78, 5.78, 848663
2022-01-14T05:00:00Z, 5.99, 6.135, 5.92, 6.13, 6.13, 703601
2022-01-13T05:00:00Z, 6.34, 6.373, 5.99, 6, 6, 882424
2022-01-12T05:00:00Z, 6.42, 6.525, 6.3148, 6.34, 6.34, 927822
2022-01-11T05:00:00Z, 6.32, 6.43, 6.22, 6.34, 6.34, 860346
2022-01-10T05:00:00Z, 6.4, 6.44, 6.13, 6.36, 6.36, 832244
2022-01-07T05:00:00Z, 6.56, 6.76, 6.31, 6.41, 6.41, 792761
2022-01-06T05:00:00Z, 6.38, 6.58, 6.2, 6.56, 6.56, 1311048
2022-01-05T05:00:00Z, 6.47, 6.47, 6.09, 6.11, 6.11, 695020
2022-01-04T05:00:00Z, 6.77, 6.825, 6.4, 6.43, 6.43, 834915
2022-01-03T05:00:00Z, 6.58, 6.82, 6.55, 6.75, 6.75, 706773
2021-12-31T05:00:00Z, 6.59, 6.625, 6.45, 6.45, 6.45, 455638
2021-12-30T05:00:00Z, 6.45, 6.64, 6.43, 6.52, 6.52, 530432
2021-12-29T05:00:00Z, 6.5, 6.585, 6.22, 6.45, 6.45, 726894
2021-12-28T05:00:00Z, 6.67, 6.81, 6.47, 6.54, 6.54, 807482
2021-12-27T05:00:00Z, 6.69, 6.77, 6.5701, 6.68, 6.68, 550840
2021-12-23T05:00:00Z, 6.44, 6.85, 6.313, 6.75, 6.75, 826913
2021-12-22T05:00:00Z, 6.48, 6.477, 6.28, 6.36, 6.36, 539074
2021-12-21T05:00:00Z, 6.38, 6.55, 6.32, 6.48, 6.48, 1028590
2021-12-20T05:00:00Z, 6.3, 6.38, 5.96, 6.17, 6.17, 1600175
2021-12-17T05:00:00Z, 5.81, 6.07, 5.67, 5.99, 5.99, 850588
2021-12-16T05:00:00Z, 6.25, 6.27, 5.84, 5.88, 5.88, 735153
2021-12-15T05:00:00Z, 6.01, 6.25, 5.78, 6.19, 6.19, 708087
2021-12-14T05:00:00Z, 6, 6.18, 5.91, 5.99, 5.99, 633874
2021-12-13T05:00:00Z, 6.15, 6.28, 6.045, 6.11, 6.11, 696820
2021-12-10T05:00:00Z, 6.35, 6.45, 6.16, 6.18, 6.18, 631492
2021-12-09T05:00:00Z, 6.56, 6.67, 6.28, 6.29, 6.29, 475493
2021-12-08T05:00:00Z, 6.7, 6.7, 6.46, 6.57, 6.57, 562616
2021-12-07T05:00:00Z, 6.4, 6.69, 6.22, 6.65, 6.65, 772835
2021-12-06T05:00:00Z, 6.17, 6.39, 5.83, 6.28, 6.28, 1390788
2021-12-03T05:00:00Z, 6.56, 6.63, 6.15, 6.27, 6.27, 1408583
2021-12-02T05:00:00Z, 6.605, 6.7, 6.36, 6.53, 6.53, 1361784
2021-12-01T05:00:00Z, 6.92, 7.09, 6.45, 6.5, 6.5, 1057390
2021-11-30T05:00:00Z, 6.89, 6.96, 6.57, 6.79, 6.79, 3380992
2021-11-29T05:00:00Z, 7.14, 7.13, 6.79, 6.93, 6.93, 814472
2021-11-26T05:00:00Z, 6.99, 7.13, 6.8, 7.04, 7.04, 655503
2021-11-24T05:00:00Z, 6.9, 7.17, 6.85, 7.07, 7.07, 757917
2021-11-23T05:00:00Z, 6.9, 7.18, 6.63, 6.97, 6.97, 1807835
2021-11-22T05:00:00Z, 7.32, 7.39, 6.79, 6.86, 6.86, 1103797
2021-11-19T05:00:00Z, 7.23, 7.47, 7.2, 7.28, 7.28, 773919
2021-11-18T05:00:00Z, 7.55, 7.67, 7.11, 7.29, 7.29, 1590538
2021-11-17T05:00:00Z, 7.22, 7.63, 7.1658, 7.47, 7.47, 2005536
2021-11-16T05:00:00Z, 7.33, 7.33, 6.93, 7.06, 7.06, 1626829
2021-11-15T05:00:00Z, 7.71, 7.98, 7.155, 7.31, 7.31, 1833137
2021-11-12T05:00:00Z, 7.89, 8.05, 7.3, 7.63, 7.63, 2657954
2021-11-11T05:00:00Z, 7.38, 7.63, 7.26, 7.53, 7.53, 2033879
2021-11-10T05:00:00Z, 7.5, 7.6296, 7.21, 7.35, 7.35, 993607
2021-11-09T05:00:00Z, 7.65, 7.74, 7.2, 7.45, 7.45, 1099788
2021-11-08T05:00:00Z, 7.19, 7.55, 7.11, 7.48, 7.48, 1173713
2021-11-05T04:00:00Z, 7.15, 7.3, 7.02, 7.03, 7.03, 910335
2021-11-04T04:00:00Z, 7.38, 7.39, 7.16, 7.23, 7.23, 926503
2021-11-03T04:00:00Z, 7.16, 7.415, 7.12, 7.31, 7.31, 1136770
2021-11-02T04:00:00Z, 7.03, 7.25, 6.8507, 7.19, 7.19, 1738237
2021-11-01T04:00:00Z, 6.8, 7.12, 6.7, 6.96, 6.96, 2069098
2021-10-29T04:00:00Z, 6.13, 6.48, 6.1, 6.44, 6.44, 1415845
2021-10-28T04:00:00Z, 5.8, 6.19, 5.68, 6.11, 6.11, 1917522
2021-10-27T04:00:00Z, 5.91, 5.9, 5.725, 5.76, 5.76, 1147307
2021-10-26T04:00:00Z, 6.05, 6.06, 5.775, 5.82, 5.82, 1191421
2021-10-25T04:00:00Z, 5.93, 6.1505, 5.85, 5.99, 5.99, 1080015
2021-10-22T04:00:00Z, 6.1, 6.1, 5.8, 5.88, 5.88, 1092429
2021-10-21T04:00:00Z, 6.08, 6.295, 6.04, 6.08, 6.08, 707142
2021-10-20T04:00:00Z, 6.11, 6.1962, 6.06, 6.12, 6.12, 771124
2021-10-19T04:00:00Z, 6.19, 6.19, 6.01, 6.12, 6.12, 706709
2021-10-18T04:00:00Z, 6.23, 6.33, 6.05, 6.08, 6.08, 967527
2021-10-15T04:00:00Z, 6.43, 6.46, 6.17, 6.23, 6.23, 686886
2021-10-14T04:00:00Z, 6.69, 6.71, 6.325, 6.43, 6.43, 807967
2021-10-13T04:00:00Z, 6.47, 6.66, 6.42, 6.61, 6.61, 682553
2021-10-12T04:00:00Z, 6.29, 6.44, 6.29, 6.38, 6.38, 494800
2021-10-11T04:00:00Z, 6.33, 6.45, 6.24, 6.28, 6.28, 592551
2021-10-08T04:00:00Z, 6.46, 6.491, 6.18, 6.25, 6.25, 543861
2021-10-07T04:00:00Z, 6.39, 6.54, 6.31, 6.44, 6.44, 532702
2021-10-06T04:00:00Z, 6.12, 6.35, 5.96, 6.3, 6.3, 1050581
2021-10-05T04:00:00Z, 6.56, 6.59, 6.2, 6.22, 6.22, 2077871
2021-10-04T04:00:00Z, 6.84, 6.86, 6.52, 6.56, 6.56, 959170
2021-10-01T04:00:00Z, 6.85, 6.94, 6.59, 6.87, 6.87, 971747
2021-09-30T04:00:00Z, 6.9, 6.95, 6.74, 6.81, 6.81, 737949
2021-09-29T04:00:00Z, 7.11, 7.2, 6.78, 6.82, 6.82, 800369
2021-09-28T04:00:00Z, 7.23, 7.3, 7.01, 7.11, 7.11, 850136
2021-09-27T04:00:00Z, 7.19, 7.43, 7.06, 7.3, 7.3, 798074
2021-09-24T04:00:00Z, 7.14, 7.25, 6.9901, 7.14, 7.14, 581022
2021-09-23T04:00:00Z, 7.25, 7.29, 7.11, 7.19, 7.19, 670052
2021-09-22T04:00:00Z, 6.81, 7.2, 6.8, 7.14, 7.14, 945105
2021-09-21T04:00:00Z, 6.96, 6.96, 6.66, 6.72, 6.72, 1816424
2021-09-20T04:00:00Z, 7.15, 7.22, 6.85, 6.88, 6.88, 1569060
2021-09-17T04:00:00Z, 7.23, 7.63, 7.07, 7.41, 7.41, 7440132
2021-09-16T04:00:00Z, 7.37, 7.39, 7.13, 7.15, 7.15, 1830905
2021-09-15T04:00:00Z, 7.39, 7.55, 7.19, 7.21, 7.21, 1609409
2021-09-14T04:00:00Z, 7.4, 7.67, 7.23, 7.32, 7.32, 980684
2021-09-13T04:00:00Z, 7.77, 7.78, 7.33, 7.38, 7.38, 1189125
2021-09-10T04:00:00Z, 7.56, 7.93, 7.53, 7.66, 7.66, 1598760
2021-09-09T04:00:00Z, 7.18, 7.66, 7.11, 7.55, 7.55, 1695182
2021-09-08T04:00:00Z, 7.31, 7.49, 7.16, 7.27, 7.27, 1111639
2021-09-07T04:00:00Z, 7.7, 8.1, 7.33, 7.36, 7.36, 1898213
2021-09-03T04:00:00Z, 7.65, 7.71, 7.43, 7.59, 7.59, 1198719
2021-09-02T04:00:00Z, 7.23, 7.79, 7.1901, 7.66, 7.66, 1996028
2021-09-01T04:00:00Z, 6.92, 7.26, 6.83, 7.22, 7.22, 1348916
2021-08-31T04:00:00Z, 6.65, 6.92, 6.53, 6.87, 6.87, 1478859
2021-08-30T04:00:00Z, 7.05, 7.1, 6.64, 6.67, 6.67, 1465383
2021-08-27T04:00:00Z, 6.8, 7.14, 6.67, 7.04, 7.04, 1975724
2021-08-26T04:00:00Z, 6.74, 7.079, 6.64, 6.7, 6.7, 1263505
2021-08-25T04:00:00Z, 6.7, 6.8758, 6.58, 6.83, 6.83, 1195147
2021-08-24T04:00:00Z, 6.55, 6.76, 6.42, 6.69, 6.69, 2580602
2021-08-23T04:00:00Z, 6.1, 6.48, 5.85, 6.45, 6.45, 2704641
2021-08-20T04:00:00Z, 5.34, 5.83, 5.3, 5.77, 5.77, 2481241
2021-08-19T04:00:00Z, 5.42, 5.62, 5.31, 5.35, 5.35, 1959312
2021-08-18T04:00:00Z, 5.52, 5.55, 5.25, 5.39, 5.39, 1934134
2021-08-17T04:00:00Z, 5.85, 5.94, 5.325, 5.54, 5.54, 2774602
2021-08-16T04:00:00Z, 6.52, 6.59, 5.94, 5.945, 5.945, 2790281
2021-08-13T04:00:00Z, 7.36, 7.47, 6.59, 6.61, 6.61, 4894895
2021-08-12T04:00:00Z, 6.42, 6.77, 6.334, 6.75, 6.75, 2046388
2021-08-11T04:00:00Z, 6.5, 6.53, 6.17, 6.4, 6.4, 2138752
2021-08-10T04:00:00Z, 6.43, 6.71, 6.36, 6.42, 6.42, 3535082
