Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 19.25, 19.57, 18.92, 19.39, 19.39, 3242430
2022-02-07T05:00:00Z, 17.87, 19.61, 17.84, 19.32, 19.32, 2878109
2022-02-04T05:00:00Z, 17.79, 18.62, 17.63, 18.29, 18.29, 2524996
2022-02-03T05:00:00Z, 17.48, 17.97, 17.2, 17.55, 17.55, 2128969
2022-02-02T05:00:00Z, 17.66, 17.815, 17.22, 17.74, 17.74, 2083099
2022-02-01T05:00:00Z, 15.66, 17.53, 15.54, 17.5, 17.5, 3612923
2022-01-31T05:00:00Z, 15.87, 16.165, 15.51, 15.84, 15.84, 2535232
2022-01-28T05:00:00Z, 16.22, 16.62, 15.41, 16.18, 16.18, 2566299
2022-01-27T05:00:00Z, 16.41, 16.71, 15.65, 16.31, 16.31, 4217477
2022-01-26T05:00:00Z, 17.13, 17.45, 15.73, 15.93, 15.93, 4720663
2022-01-25T05:00:00Z, 15.91, 17.01, 15.63, 16.97, 16.97, 3940849
2022-01-24T05:00:00Z, 15.21, 15.93, 14.75, 15.87, 15.87, 4033177
2022-01-21T05:00:00Z, 16.46, 16.46, 15.61, 15.63, 15.63, 5235894
2022-01-20T05:00:00Z, 17.17, 17.71, 16.49, 16.53, 16.53, 3859104
2022-01-19T05:00:00Z, 18.21, 18.6, 17.425, 17.53, 17.53, 3830868
2022-01-18T05:00:00Z, 18.32, 18.6, 17.62, 17.94, 17.94, 3144756
2022-01-14T05:00:00Z, 17.1, 18.15, 17, 18.15, 18.15, 3099176
2022-01-13T05:00:00Z, 17.34, 17.72, 17.01, 17.1, 17.1, 3080629
2022-01-12T05:00:00Z, 17.31, 17.73, 17.06, 17.33, 17.33, 2777180
2022-01-11T05:00:00Z, 16.8, 17.63, 16.47, 17.16, 17.16, 3410159
2022-01-10T05:00:00Z, 16.26, 16.72, 16.03, 16.47, 16.47, 3504022
2022-01-07T05:00:00Z, 15.72, 16.38, 15.515, 16.3, 16.3, 4477325
2022-01-06T05:00:00Z, 14.67, 15.55, 14.42, 15.4, 15.4, 4746131
2022-01-05T05:00:00Z, 14.55, 14.97, 14.04, 14.06, 14.06, 2606035
2022-01-04T05:00:00Z, 14.38, 14.72, 14.23, 14.25, 14.25, 2734758
2022-01-03T05:00:00Z, 13.19, 14.17, 13.095, 14.02, 14.02, 3036690
2021-12-31T05:00:00Z, 13.03, 13.23, 12.81, 12.97, 12.97, 1434525
2021-12-30T05:00:00Z, 13.4, 13.6, 12.98, 12.99, 12.99, 1494585
2021-12-29T05:00:00Z, 12.88, 13.46, 12.74, 13.29, 13.29, 2210294
2021-12-28T05:00:00Z, 12.9, 13.32, 12.8, 12.99, 12.99, 2109132
2021-12-27T05:00:00Z, 12.31, 12.94, 11.99, 12.94, 12.94, 1884376
2021-12-23T05:00:00Z, 12.84, 13, 12.32, 12.33, 12.33, 2188266
2021-12-22T05:00:00Z, 12.51, 12.775, 12.24, 12.44, 12.44, 2340924
2021-12-21T05:00:00Z, 11.97, 12.67, 11.865, 12.51, 12.51, 4596009
2021-12-20T05:00:00Z, 10.85, 11.6, 10.58, 11.58, 11.58, 3246986
2021-12-17T05:00:00Z, 11.07, 11.5, 10.72, 11.47, 11.47, 4984394
2021-12-16T05:00:00Z, 12.05, 12.08, 11.21, 11.28, 11.28, 2324783
2021-12-15T05:00:00Z, 11.66, 11.86, 11.2, 11.75, 11.75, 2946855
2021-12-14T05:00:00Z, 11.93, 12.59, 11.74, 11.85, 11.85, 2253220
2021-12-13T05:00:00Z, 12.52, 12.635, 12.05, 12.16, 12.16, 2114315
2021-12-10T05:00:00Z, 12.79, 12.81, 12.11, 12.79, 12.79, 2219315
2021-12-09T05:00:00Z, 12.66, 12.7415, 12.18, 12.45, 12.45, 2959028
2021-12-08T05:00:00Z, 13.46, 13.76, 12.955, 12.99, 12.99, 3125654
2021-12-07T05:00:00Z, 13.76, 14.645, 13.35, 13.46, 13.46, 6327990
2021-12-06T05:00:00Z, 13.14, 13.715, 12.73, 13.37, 13.37, 2179801
2021-12-03T05:00:00Z, 13.57, 13.7, 12.48, 12.68, 12.68, 4882301
2021-12-02T05:00:00Z, 12.24, 13.38, 11.995, 13.14, 13.14, 3170565
2021-12-01T05:00:00Z, 13.08, 13.32, 12.15, 12.18, 12.18, 4447839
2021-11-30T05:00:00Z, 12.06, 12.71, 11.77, 12.53, 12.53, 3943005
2021-11-29T05:00:00Z, 12.765, 13.1, 12.053, 12.43, 12.43, 2532840
2021-11-26T05:00:00Z, 12.32, 12.4, 11.6, 12.23, 12.23, 3451837
2021-11-24T05:00:00Z, 13.42, 13.84, 13.3, 13.64, 13.64, 1690505
2021-11-23T05:00:00Z, 13.31, 13.93, 13.26, 13.49, 13.49, 3012672
2021-11-22T05:00:00Z, 12.97, 13.45, 12.68, 12.98, 12.98, 3641742
2021-11-19T05:00:00Z, 13.14, 13.39, 12.53, 12.77, 12.77, 4030958
2021-11-18T05:00:00Z, 13.76, 14.46, 13.7, 13.91, 13.91, 3538993
2021-11-17T05:00:00Z, 15.25, 15.46, 13.72, 13.86, 13.86, 3832163
2021-11-16T05:00:00Z, 15.28, 15.81, 14.98, 15.57, 15.57, 3490933
2021-11-15T05:00:00Z, 15.47, 15.83, 15.16, 15.41, 15.41, 2946703
2021-11-12T05:00:00Z, 14.71, 15.725, 14.6, 15.49, 15.49, 3368977
