Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 8.9, 8.925, 8.72, 8.77, 8.77, 1403248
2022-02-07T05:00:00Z, 8.92, 8.94, 8.835, 8.86, 8.86, 1973909
2022-02-04T05:00:00Z, 8.85, 8.985, 8.619, 8.86, 8.86, 2080688
2022-02-03T05:00:00Z, 8.9, 9.06, 8.855, 8.92, 8.92, 2777408
2022-02-02T05:00:00Z, 8.93, 9.15, 8.91, 9.04, 9.04, 2046065
2022-02-01T05:00:00Z, 8.64, 9.01, 8.61, 9, 9, 1984584
2022-01-31T05:00:00Z, 8.54, 8.69, 8.44, 8.69, 8.69, 1978544
2022-01-28T05:00:00Z, 8.33, 8.66, 8.22, 8.66, 8.66, 2547829
2022-01-27T05:00:00Z, 8.65, 8.77, 8.31, 8.37, 8.37, 2629261
2022-01-26T05:00:00Z, 8.7, 9.01, 8.45, 8.56, 8.56, 1749616
2022-01-25T05:00:00Z, 8.44, 8.74, 8.38, 8.65, 8.65, 1853880
2022-01-24T05:00:00Z, 8.53, 8.69, 8.25, 8.65, 8.65, 3325195
2022-01-21T05:00:00Z, 8.8, 8.86, 8.61, 8.72, 8.72, 2160000
2022-01-20T05:00:00Z, 9.03, 9.175, 8.84, 8.84, 8.84, 1678811
2022-01-19T05:00:00Z, 9.195, 9.339, 8.97, 8.97, 8.97, 855658
2022-01-18T05:00:00Z, 9.4, 9.52, 9.12, 9.13, 9.13, 1391479
2022-01-14T05:00:00Z, 9.15, 9.47, 9.11, 9.47, 9.47, 1352009
2022-01-13T05:00:00Z, 9.23, 9.42, 9.15, 9.31, 9.31, 1270485
2022-01-12T05:00:00Z, 9.33, 9.38, 9.13, 9.13, 9.13, 1157708
2022-01-11T05:00:00Z, 9.42, 9.44, 9.16, 9.37, 9.37, 733976
2022-01-10T05:00:00Z, 9.75, 9.86, 9.33, 9.4, 9.4, 1662026
2022-01-07T05:00:00Z, 9.33, 9.745, 9.3, 9.65, 9.65, 2121912
2022-01-06T05:00:00Z, 9.25, 9.38, 9.11, 9.35, 9.35, 1511751
2022-01-05T05:00:00Z, 9.31, 9.42, 9.09, 9.13, 9.13, 2581544
2022-01-04T05:00:00Z, 8.99, 9.41, 8.95, 9.22, 9.22, 3244794
2022-01-03T05:00:00Z, 8.38, 8.91, 8.355, 8.88, 8.88, 3506731
