Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 16.26, 16.82, 16.24, 16.7, 16.7, 1542518
2022-02-07T05:00:00Z, 16.44, 16.91, 16.22, 16.27, 16.27, 1459361
2022-02-04T05:00:00Z, 16.76, 16.79, 15.86, 16.32, 16.32, 1912076
2022-02-03T05:00:00Z, 17.39, 17.41, 16.9, 16.91, 16.91, 1037154
2022-02-02T05:00:00Z, 17.61, 17.71, 17.185, 17.39, 17.39, 854173
2022-02-01T05:00:00Z, 17.83, 17.97, 17.38, 17.62, 17.62, 820791
2022-01-31T05:00:00Z, 17.33, 18.67, 17.26, 17.82, 17.82, 946286
2022-01-28T05:00:00Z, 17.15, 17.36, 16.81, 17.35, 17.35, 947265
2022-01-27T05:00:00Z, 17.52, 17.69, 16.98, 17.18, 17.18, 1164897
2022-01-26T05:00:00Z, 17.74, 17.925, 17.34, 17.46, 17.46, 902384
2022-01-25T05:00:00Z, 17.15, 17.605, 16.96, 17.51, 17.51, 1056184
2022-01-24T05:00:00Z, 16.96, 17.3, 16.57, 17.27, 17.27, 1556810
2022-01-21T05:00:00Z, 17.45, 17.67, 17.1821, 17.2, 17.2, 1170548
2022-01-20T05:00:00Z, 17.77, 17.905, 17.46, 17.47, 17.47, 822445
2022-01-19T05:00:00Z, 18.1, 18.14, 17.79, 17.82, 17.82, 534599
2022-01-18T05:00:00Z, 18.27, 18.415, 18.05, 18.1, 18.1, 656452
2022-01-14T05:00:00Z, 18.08, 18.32, 18.01, 18.31, 18.31, 628496
2022-01-13T05:00:00Z, 18.34, 18.47, 18.22, 18.24, 18.24, 563837
2022-01-12T05:00:00Z, 18.29, 18.36, 18.185, 18.29, 18.29, 720661
2022-01-11T05:00:00Z, 18.07, 18.285, 18.03, 18.23, 18.23, 608630
2022-01-10T05:00:00Z, 17.97, 18.25, 17.87, 18.07, 18.07, 892392
2022-01-07T05:00:00Z, 17.82, 18.12, 17.755, 18.04, 18.04, 1104813
2022-01-06T05:00:00Z, 17.48, 17.705, 17.4, 17.55, 17.55, 531966
2022-01-05T05:00:00Z, 17.75, 17.79, 17.36, 17.38, 17.38, 890473
2022-01-04T05:00:00Z, 17.89, 18.02, 17.71, 17.75, 17.75, 753788
2022-01-03T05:00:00Z, 17.46, 17.85, 17.38, 17.74, 17.74, 795215
2021-12-31T05:00:00Z, 17.51, 17.57, 17.32, 17.33, 17.33, 1024679
2021-12-30T05:00:00Z, 17.4, 17.625, 17.34, 17.51, 17.51, 1484738
2021-12-29T05:00:00Z, 17.92, 17.9699, 17.78, 17.8, 17.8, 775011
2021-12-28T05:00:00Z, 17.99, 18.12, 17.9, 17.93, 17.93, 706904
2021-12-27T05:00:00Z, 17.85, 17.97, 17.6799, 17.95, 17.95, 608417
2021-12-23T05:00:00Z, 17.74, 17.935, 17.66, 17.83, 17.83, 679305
2021-12-22T05:00:00Z, 17.48, 17.7, 17.4, 17.64, 17.64, 938000
2021-12-21T05:00:00Z, 17.14, 17.675, 17.1, 17.54, 17.54, 1111956
2021-12-20T05:00:00Z, 17.39, 17.35, 16.76, 17.01, 17.01, 2044339
2021-12-17T05:00:00Z, 17.56, 17.69, 17.23, 17.43, 17.43, 3344408
