Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 6, 6.15, 5.46, 5.78, 5.78, 932996
2022-02-07T05:00:00Z, 5.39, 5.99, 5.39, 5.94, 5.94, 1425569
2022-02-04T05:00:00Z, 5.21, 5.52, 5.01, 5.42, 5.42, 976989
2022-02-03T05:00:00Z, 5.5, 5.52, 5.15, 5.16, 5.16, 595331
2022-02-02T05:00:00Z, 5.86, 5.96, 5.46, 5.5, 5.5, 873067
2022-02-01T05:00:00Z, 5.82, 5.91, 5.49, 5.83, 5.83, 1480319
2022-01-31T05:00:00Z, 5.29, 5.5669, 5.23, 5.45, 5.45, 564684
2022-01-28T05:00:00Z, 5.01, 5.26, 4.93, 5.2, 5.2, 421678
2022-01-27T05:00:00Z, 5.23, 5.28, 5.01, 5.03, 5.03, 419144
2022-01-26T05:00:00Z, 5.24, 5.52, 5.06, 5.12, 5.12, 468454
2022-01-25T05:00:00Z, 5.3, 5.3294, 4.97, 5.1, 5.1, 508203
2022-01-24T05:00:00Z, 4.8, 5.42, 4.7, 5.27, 5.27, 1111079
2022-01-21T05:00:00Z, 5.51, 5.6597, 5.05, 5.07, 5.07, 918680
2022-01-20T05:00:00Z, 6.25, 6.42, 5.52, 5.52, 5.52, 1351159
2022-01-19T05:00:00Z, 6.41, 6.5, 6.13, 6.25, 6.25, 650651
2022-01-18T05:00:00Z, 6.73, 6.79, 6.36, 6.38, 6.38, 242406
2022-01-14T05:00:00Z, 6.8, 6.81, 6.41, 6.76, 6.76, 247556
2022-01-13T05:00:00Z, 6.98, 7.04, 6.7, 6.75, 6.75, 189100
2022-01-12T05:00:00Z, 7.16, 7.45, 6.95, 6.96, 6.96, 413170
2022-01-11T05:00:00Z, 7, 7.289, 6.95, 7.11, 7.11, 330986
2022-01-10T05:00:00Z, 6.9, 7.02, 6.78, 7.01, 7.01, 189834
2022-01-07T05:00:00Z, 7.21, 7.4, 6.9, 7.03, 7.03, 420364
2022-01-06T05:00:00Z, 7.7, 7.88, 7.13, 7.2, 7.2, 598945
2022-01-05T05:00:00Z, 8.41, 8.465, 7.681, 7.75, 7.75, 490432
2022-01-04T05:00:00Z, 8.14, 8.6, 8.075, 8.39, 8.39, 650039
2022-01-03T05:00:00Z, 8, 8.14, 7.7457, 8.08, 8.08, 461216
2021-12-31T05:00:00Z, 8.21, 8.57, 7.97, 8.01, 8.01, 819090
2021-12-30T05:00:00Z, 7.87, 8.29, 7.87, 8.17, 8.17, 253721
2021-12-29T05:00:00Z, 8, 8.05, 7.72, 7.85, 7.85, 297393
2021-12-28T05:00:00Z, 8.11, 8.2, 7.96, 8.04, 8.04, 208296
2021-12-27T05:00:00Z, 8.21, 8.28, 8.09, 8.18, 8.18, 130316
2021-12-23T05:00:00Z, 8.21, 8.34, 8.07, 8.2, 8.2, 279835
