Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 3.375, 3.51, 3.365, 3.51, 3.51, 2989245
2022-02-07T05:00:00Z, 3.46, 3.525, 3.39, 3.43, 3.43, 3544917
2022-02-04T05:00:00Z, 3.37, 3.46, 3.24, 3.44, 3.44, 5608616
2022-02-03T05:00:00Z, 3.42, 3.54, 3.34, 3.34, 3.34, 5482434
2022-02-02T05:00:00Z, 3.78, 3.8, 3.55, 3.58, 3.58, 6523849
2022-02-01T05:00:00Z, 3.685, 3.88, 3.62, 3.8, 3.8, 7578118
2022-01-31T05:00:00Z, 3.4, 3.67, 3.36, 3.63, 3.63, 9083926
2022-01-28T05:00:00Z, 3.2, 3.42, 3.1616, 3.42, 3.42, 7860868
2022-01-27T05:00:00Z, 3.5, 3.5, 3.21, 3.25, 3.25, 6995705
2022-01-26T05:00:00Z, 3.68, 3.69, 3.425, 3.43, 3.43, 8213662
2022-01-25T05:00:00Z, 3.26, 3.53, 3.25, 3.46, 3.46, 7166309
2022-01-24T05:00:00Z, 3.23, 3.38, 3.03, 3.38, 3.38, 12749723
2022-01-21T05:00:00Z, 3.56, 3.62, 3.4, 3.45, 3.45, 8928301
2022-01-20T05:00:00Z, 3.765, 3.98, 3.59, 3.61, 3.61, 11574843
2022-01-19T05:00:00Z, 3.58, 3.6684, 3.545, 3.56, 3.56, 6787491
2022-01-18T05:00:00Z, 3.67, 3.74, 3.55, 3.55, 3.55, 4401012
2022-01-14T05:00:00Z, 3.785, 3.88, 3.66, 3.76, 3.76, 4476020
2022-01-13T05:00:00Z, 3.94, 4.01, 3.83, 3.86, 3.86, 4328519
2022-01-12T05:00:00Z, 3.99, 4.048, 3.88, 3.93, 3.93, 3384986
2022-01-11T05:00:00Z, 3.79, 3.99, 3.75, 3.94, 3.94, 4648069
2022-01-10T05:00:00Z, 3.83, 3.9, 3.65, 3.8, 3.8, 6228897
2022-01-07T05:00:00Z, 3.9, 4.04, 3.8665, 3.92, 3.92, 5507399
2022-01-06T05:00:00Z, 3.78, 3.91, 3.62, 3.82, 3.82, 8021291
2022-01-05T05:00:00Z, 4, 4.09, 3.76, 3.77, 3.77, 7472338
2022-01-04T05:00:00Z, 4.235, 4.37, 3.96, 3.99, 3.99, 10816630
2022-01-03T05:00:00Z, 3.95, 4.16, 3.88, 4.05, 4.05, 7593253
2021-12-31T05:00:00Z, 3.99, 4.17, 3.9, 3.91, 3.91, 11933994
2021-12-30T05:00:00Z, 3.9, 4.14, 3.89, 3.99, 3.99, 10457210
2021-12-29T05:00:00Z, 3.91, 3.94, 3.83, 3.93, 3.93, 10202541
2021-12-28T05:00:00Z, 3.88, 4.05, 3.87, 3.89, 3.89, 10184381
2021-12-27T05:00:00Z, 3.97, 4.04, 3.85, 3.87, 3.87, 18045346
2021-12-23T05:00:00Z, 3.83, 4.08, 3.8, 4.07, 4.07, 10242468
2021-12-22T05:00:00Z, 3.8, 3.87, 3.765, 3.86, 3.86, 8125304
2021-12-21T05:00:00Z, 3.65, 3.88, 3.61, 3.86, 3.86, 10131615
2021-12-20T05:00:00Z, 3.67, 3.73, 3.55, 3.57, 3.57, 7968956
2021-12-17T05:00:00Z, 3.67, 3.89, 3.58, 3.89, 3.89, 23076692
2021-12-16T05:00:00Z, 3.86, 3.96, 3.73, 3.76, 3.76, 8710615
2021-12-15T05:00:00Z, 3.71, 3.8, 3.49, 3.79, 3.79, 8709951
2021-12-14T05:00:00Z, 3.67, 3.815, 3.63, 3.73, 3.73, 7637222
2021-12-13T05:00:00Z, 3.875, 3.95, 3.66, 3.77, 3.77, 10476238
2021-12-10T05:00:00Z, 4.02, 4.16, 3.92, 3.98, 3.98, 8242605
2021-12-09T05:00:00Z, 4.2, 4.25, 3.98, 4.03, 4.03, 13552135
2021-12-08T05:00:00Z, 3.88, 4.39, 3.82, 4.28, 4.28, 32636453
2021-12-07T05:00:00Z, 3.63, 3.785, 3.625, 3.64, 3.64, 7302127
2021-12-06T05:00:00Z, 3.33, 3.64, 3.18, 3.56, 3.56, 10958919
2021-12-03T05:00:00Z, 3.59, 3.59, 3.345, 3.38, 3.38, 11239040
2021-12-02T05:00:00Z, 3.43, 3.64, 3.37, 3.62, 3.62, 11298412
2021-12-01T05:00:00Z, 3.65, 3.74, 3.4, 3.44, 3.44, 14609883
2021-11-30T05:00:00Z, 3.77, 3.83, 3.485, 3.63, 3.63, 17291788
2021-11-29T05:00:00Z, 3.895, 3.94, 3.7, 3.78, 3.78, 11979866
2021-11-26T05:00:00Z, 3.9, 3.96, 3.8, 3.89, 3.89, 7784467
2021-11-24T05:00:00Z, 3.825, 4.01, 3.7601, 3.94, 3.94, 9831647
2021-11-23T05:00:00Z, 3.94, 3.97, 3.79, 3.88, 3.88, 21517428
2021-11-22T05:00:00Z, 3.92, 4.09, 3.69, 3.98, 3.98, 23595045
2021-11-19T05:00:00Z, 3.965, 4.05, 3.855, 3.9, 3.9, 16725571
2021-11-18T05:00:00Z, 4.24, 4.26, 3.93, 4, 4, 31504473
2021-11-17T05:00:00Z, 4.37, 4.39, 4.17, 4.31, 4.31, 21930098
2021-11-16T05:00:00Z, 4.5, 4.5, 4.27, 4.43, 4.43, 25054028
2021-11-15T05:00:00Z, 4.42, 4.53, 4.28, 4.51, 4.51, 30605377
2021-11-12T05:00:00Z, 4.3, 4.54, 4.16, 4.5, 4.5, 80194816
2021-11-11T05:00:00Z, 5, 5.02, 4.11, 4.24, 4.24, 258167747
2021-11-10T05:00:00Z, 7.63, 7.64, 7.23, 7.27, 7.27, 11945020
2021-11-09T05:00:00Z, 8.01, 8.01, 7.51, 7.64, 7.64, 9034463
2021-11-08T05:00:00Z, 7.59, 8.02, 7.5562, 7.94, 7.94, 10706406
2021-11-05T04:00:00Z, 7.58, 7.74, 7.4, 7.43, 7.43, 9030988
2021-11-04T04:00:00Z, 7.775, 7.84, 7.47, 7.53, 7.53, 8355047
2021-11-03T04:00:00Z, 7.72, 7.95, 7.69, 7.73, 7.73, 5818542
2021-11-02T04:00:00Z, 7.98, 8, 7.69, 7.72, 7.72, 5024326
2021-11-01T04:00:00Z, 7.85, 8.045, 7.82, 7.96, 7.96, 4402828
2021-10-29T04:00:00Z, 7.53, 7.87, 7.49, 7.8, 7.8, 6782465
2021-10-28T04:00:00Z, 7.39, 7.62, 7.36, 7.53, 7.53, 4407130
2021-10-27T04:00:00Z, 7.58, 7.73, 7.36, 7.36, 7.36, 5617870
2021-10-26T04:00:00Z, 7.56, 7.81, 7.55, 7.55, 7.55, 6405883
2021-10-25T04:00:00Z, 7.69, 7.8599, 7.52, 7.54, 7.54, 11640220
2021-10-22T04:00:00Z, 8.21, 8.2469, 7.98, 8.1, 8.1, 5687992
2021-10-21T04:00:00Z, 8.08, 8.46, 8.07, 8.27, 8.27, 6924058
2021-10-20T04:00:00Z, 8.2, 8.35, 8.02, 8.03, 8.03, 5362709
2021-10-19T04:00:00Z, 7.78, 8.25, 7.77, 8.1, 8.1, 6986229
2021-10-18T04:00:00Z, 7.69, 7.97, 7.61, 7.71, 7.71, 4964395
2021-10-15T04:00:00Z, 8.03, 8.07, 7.8, 7.8, 7.8, 5679807
2021-10-14T04:00:00Z, 7.51, 7.99, 7.46, 7.9, 7.9, 16645514
2021-10-13T04:00:00Z, 7.08, 7.37, 6.98, 7.37, 7.37, 9650099
2021-10-12T04:00:00Z, 6.93, 7.14, 6.93, 7.03, 7.03, 4925398
2021-10-11T04:00:00Z, 7.04, 7.25, 6.9, 6.91, 6.91, 5149627
2021-10-08T04:00:00Z, 7.32, 7.33, 7.04, 7.04, 7.04, 5321083
2021-10-07T04:00:00Z, 7.24, 7.5, 7.2, 7.27, 7.27, 6996382
2021-10-06T04:00:00Z, 7.13, 7.22, 7.045, 7.19, 7.19, 7191109
2021-10-05T04:00:00Z, 7.24, 7.34, 7.125, 7.22, 7.22, 5478259
2021-10-04T04:00:00Z, 7.6, 7.63, 7.16, 7.2, 7.2, 8165264
2021-10-01T04:00:00Z, 7.78, 7.79, 7.48, 7.68, 7.68, 6405078
2021-09-30T04:00:00Z, 7.695, 7.7914, 7.59, 7.75, 7.75, 5491672
2021-09-29T04:00:00Z, 7.77, 7.81, 7.56, 7.56, 7.56, 5698252
2021-09-28T04:00:00Z, 7.88, 7.98, 7.75, 7.77, 7.77, 5517241
2021-09-27T04:00:00Z, 8.07, 8.075, 7.895, 7.95, 7.95, 5067624
2021-09-24T04:00:00Z, 8.15, 8.18, 8.045, 8.08, 8.08, 3264873
2021-09-23T04:00:00Z, 8.06, 8.335, 8.03, 8.26, 8.26, 6021800
2021-09-22T04:00:00Z, 7.93, 8.1, 7.8735, 8.02, 8.02, 6512592
2021-09-21T04:00:00Z, 8.02, 8.07, 7.77, 7.84, 7.84, 7288860
2021-09-20T04:00:00Z, 8, 8.17, 7.86, 8, 8, 8177476
2021-09-17T04:00:00Z, 8.33, 8.34, 8.14, 8.18, 8.18, 11732084
2021-09-16T04:00:00Z, 8.29, 8.38, 8.21, 8.25, 8.25, 4181134
2021-09-15T04:00:00Z, 8.24, 8.36, 8.15, 8.32, 8.32, 5221081
2021-09-14T04:00:00Z, 8.45, 8.5, 8.14, 8.23, 8.23, 7084201
2021-09-13T04:00:00Z, 8.68, 8.74, 8.36, 8.46, 8.46, 6633099
2021-09-10T04:00:00Z, 8.95, 8.95, 8.53, 8.54, 8.54, 6128264
2021-09-09T04:00:00Z, 8.89, 9.07, 8.81, 8.86, 8.86, 2853801
2021-09-08T04:00:00Z, 8.91, 9.04, 8.77, 8.94, 8.94, 4613271
2021-09-07T04:00:00Z, 9.34, 9.36, 8.86, 8.87, 8.87, 6913384
