Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 7.98, 8.06, 7.965, 8.05, 8.05, 2177657
2022-02-07T05:00:00Z, 7.92, 8, 7.91, 7.98, 7.98, 2818287
2022-02-04T05:00:00Z, 7.74, 7.835, 7.73, 7.78, 7.78, 2583497
2022-02-03T05:00:00Z, 7.75, 7.7977, 7.6209, 7.75, 7.75, 3375893
2022-02-02T05:00:00Z, 7.87, 7.9, 7.7901, 7.83, 7.83, 1851141
2022-02-01T05:00:00Z, 7.935, 7.9699, 7.82, 7.84, 7.84, 3078973
2022-01-31T05:00:00Z, 7.78, 7.82, 7.75, 7.78, 7.78, 3083027
2022-01-28T05:00:00Z, 7.78, 7.815, 7.67, 7.74, 7.74, 3480353
2022-01-27T05:00:00Z, 7.865, 7.96, 7.81, 7.83, 7.83, 6933588
2022-01-26T05:00:00Z, 8.165, 8.25, 8.08, 8.08, 8.08, 2955535
2022-01-25T05:00:00Z, 8.15, 8.27, 8.13, 8.2, 8.2, 2197632
2022-01-24T05:00:00Z, 8.205, 8.26, 8.095, 8.26, 8.26, 4972947
2022-01-21T05:00:00Z, 8.46, 8.4799, 8.32, 8.35, 8.35, 4031607
2022-01-20T05:00:00Z, 8.475, 8.5383, 8.43, 8.45, 8.45, 3139290
2022-01-19T05:00:00Z, 8.2, 8.38, 8.18, 8.35, 8.35, 6203833
2022-01-18T05:00:00Z, 8.05, 8.13, 8, 8.08, 8.08, 3394524
2022-01-14T05:00:00Z, 7.9, 7.94, 7.845, 7.88, 7.88, 2147141
2022-01-13T05:00:00Z, 7.975, 7.99, 7.9131, 7.93, 7.93, 1969009
2022-01-12T05:00:00Z, 7.88, 7.99, 7.87, 7.97, 7.97, 2203599
2022-01-11T05:00:00Z, 7.75, 7.8399, 7.71, 7.83, 7.83, 1736591
2022-01-10T05:00:00Z, 7.665, 7.73, 7.65, 7.72, 7.72, 2632119
2022-01-07T05:00:00Z, 7.66, 7.7327, 7.6, 7.68, 7.68, 4205380
2022-01-06T05:00:00Z, 7.62, 7.71, 7.6, 7.64, 7.64, 4708550
2022-01-05T05:00:00Z, 7.98, 8.02, 7.84, 7.84, 7.84, 2812041
2022-01-04T05:00:00Z, 7.93, 7.97, 7.9101, 7.96, 7.96, 2209925
2022-01-03T05:00:00Z, 7.86, 7.9401, 7.8301, 7.91, 7.91, 1907681
2021-12-31T05:00:00Z, 8.035, 8.06, 7.97, 8.02, 8.02, 2393636
2021-12-30T05:00:00Z, 7.925, 7.99, 7.92, 7.98, 7.98, 3094270
2021-12-29T05:00:00Z, 7.84, 7.91, 7.83, 7.9, 7.9, 2710352
2021-12-28T05:00:00Z, 8.02, 8.06, 7.96, 7.97, 7.97, 3366673
2021-12-27T05:00:00Z, 7.93, 8.01, 7.92, 7.99, 7.99, 1935709
2021-12-23T05:00:00Z, 7.92, 7.94, 7.86, 7.92, 7.92, 1937035
2021-12-22T05:00:00Z, 7.865, 7.93, 7.82, 7.93, 7.93, 2215223
2021-12-21T05:00:00Z, 7.82, 7.85, 7.79, 7.82, 7.82, 2555497
2021-12-20T05:00:00Z, 7.765, 7.78, 7.71, 7.73, 7.73, 3457265
2021-12-17T05:00:00Z, 7.855, 7.88, 7.79, 7.79, 7.79, 2731312
