Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 6.93, 7.19, 6.87, 7.14, 7.14, 3035282
2022-02-07T05:00:00Z, 6.91, 7.15, 6.885, 6.93, 6.93, 3772475
2022-02-04T05:00:00Z, 6.84, 7.03, 6.64, 6.86, 6.86, 3216616
2022-02-03T05:00:00Z, 6.98, 7.055, 6.77, 6.79, 6.79, 3914607
2022-02-02T05:00:00Z, 7.09, 7.28, 6.87, 7.01, 7.01, 4047367
2022-02-01T05:00:00Z, 7, 7.28, 6.89, 7.15, 7.15, 6584172
2022-01-31T05:00:00Z, 6.47, 7.04, 6.45, 7.03, 7.03, 6942707
2022-01-28T05:00:00Z, 6.25, 6.59, 5.75, 6.58, 6.58, 19115540
2022-01-27T05:00:00Z, 7.79, 7.99, 7.63, 7.7, 7.7, 2941180
2022-01-26T05:00:00Z, 7.93, 8.07, 7.57, 7.65, 7.65, 3862974
2022-01-25T05:00:00Z, 7.61, 7.95, 7.48, 7.81, 7.81, 3447404
2022-01-24T05:00:00Z, 6.96, 7.68, 6.91, 7.66, 7.66, 5362934
2022-01-21T05:00:00Z, 7.34, 7.355, 7.065, 7.11, 7.11, 3136351
2022-01-20T05:00:00Z, 7.75, 7.77, 7.4, 7.42, 7.42, 2992982
2022-01-19T05:00:00Z, 7.81, 7.86, 7.64, 7.68, 7.68, 2725337
2022-01-18T05:00:00Z, 7.92, 7.95, 7.75, 7.76, 7.76, 4171222
2022-01-14T05:00:00Z, 7.9, 8.09, 7.81, 7.96, 7.96, 2561177
2022-01-13T05:00:00Z, 7.96, 8.045, 7.88, 7.92, 7.92, 2339455
2022-01-12T05:00:00Z, 8.13, 8.16, 7.82, 7.89, 7.89, 3207773
2022-01-11T05:00:00Z, 7.86, 8.09, 7.81, 8.02, 8.02, 2170737
2022-01-10T05:00:00Z, 7.97, 8.01, 7.63, 7.86, 7.86, 3636335
2022-01-07T05:00:00Z, 7.97, 8.06, 7.82, 8.04, 8.04, 3868913
2022-01-06T05:00:00Z, 7.71, 7.99, 7.57, 7.95, 7.95, 3860792
2022-01-05T05:00:00Z, 7.99, 8.16, 7.66, 7.66, 7.66, 3789867
2022-01-04T05:00:00Z, 7.93, 8.06, 7.85, 8, 8, 4669402
2022-01-03T05:00:00Z, 7.68, 7.915, 7.6, 7.82, 7.82, 4002959
2021-12-31T05:00:00Z, 7.66, 7.74, 7.53, 7.6, 7.6, 3806470
2021-12-30T05:00:00Z, 7.74, 7.91, 7.69, 7.72, 7.72, 2959590
2021-12-29T05:00:00Z, 7.66, 7.76, 7.55, 7.69, 7.69, 2760774
2021-12-28T05:00:00Z, 7.76, 7.925, 7.655, 7.68, 7.68, 3624884
2021-12-27T05:00:00Z, 7.61, 7.825, 7.57, 7.8, 7.8, 3323303
2021-12-23T05:00:00Z, 7.29, 7.685, 7.26, 7.66, 7.66, 3843543
2021-12-22T05:00:00Z, 7.05, 7.39, 7, 7.38, 7.38, 4806190
2021-12-21T05:00:00Z, 6.95, 7.1961, 6.94, 7.09, 7.09, 4656028
2021-12-20T05:00:00Z, 7.27, 7.38, 6.735, 6.87, 6.87, 7130899
2021-12-17T05:00:00Z, 7.55, 7.875, 7.41, 7.67, 7.67, 8501630
2021-12-16T05:00:00Z, 7.815, 7.86, 7.49, 7.59, 7.59, 4269954
2021-12-15T05:00:00Z, 7.81, 7.9, 7.46, 7.69, 7.69, 3738179
2021-12-14T05:00:00Z, 7.84, 8.015, 7.72, 7.77, 7.77, 3637893
2021-12-13T05:00:00Z, 7.95, 8.12, 7.855, 7.91, 7.91, 4476650
2021-12-10T05:00:00Z, 8.25, 8.33, 7.91, 7.99, 7.99, 6127378
2021-12-09T05:00:00Z, 8.32, 8.48, 8.115, 8.12, 8.12, 3893181
2021-12-08T05:00:00Z, 8.4, 8.55, 8.34, 8.35, 8.35, 4072531
2021-12-07T05:00:00Z, 8.35, 8.555, 8.28, 8.38, 8.38, 3470299
2021-12-06T05:00:00Z, 8.02, 8.34, 7.95, 8.14, 8.14, 4750375
2021-12-03T05:00:00Z, 7.99, 8.14, 7.895, 7.96, 7.96, 5069910
2021-12-02T05:00:00Z, 7.69, 8.02, 7.66, 7.91, 7.91, 5584185
