Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 16.26, 16.87, 16.03, 16.65, 16.65, 5157341
2022-02-07T05:00:00Z, 16.47, 17.42, 16.305, 16.38, 16.38, 5553092
2022-02-04T05:00:00Z, 15.87, 16.5091, 15.64, 16.42, 16.42, 7379053
2022-02-03T05:00:00Z, 16.12, 16.98, 15.865, 15.99, 15.99, 6812002
2022-02-02T05:00:00Z, 17.68, 17.8, 16.38, 16.7, 16.7, 7552554
2022-02-01T05:00:00Z, 16.9, 17.615, 16.17, 17.54, 17.54, 10747918
2022-01-31T05:00:00Z, 14.93, 16.77, 14.597, 16.69, 16.69, 10692478
2022-01-28T05:00:00Z, 14, 14.53, 13.43, 14.42, 14.42, 10524687
2022-01-27T05:00:00Z, 15.94, 15.93, 14.02, 14.11, 14.11, 12991688
2022-01-26T05:00:00Z, 15.8, 16.89, 15.28, 15.48, 15.48, 10698249
2022-01-25T05:00:00Z, 15.66, 16.127, 14.9, 15.31, 15.31, 7499485
2022-01-24T05:00:00Z, 14.745, 15.89, 13.76, 15.89, 15.89, 16367870
2022-01-21T05:00:00Z, 16.99, 17, 15.64, 15.72, 15.72, 14917654
2022-01-20T05:00:00Z, 18.17, 18.83, 17.21, 17.3, 17.3, 10243212
2022-01-19T05:00:00Z, 19.61, 19.84, 17.9, 17.92, 17.92, 16228571
2022-01-18T05:00:00Z, 20.2, 20.2878, 19.4201, 19.5, 19.5, 8408728
2022-01-14T05:00:00Z, 20.38, 21.06, 19.93, 20.68, 20.68, 7220210
2022-01-13T05:00:00Z, 21.12, 21.59, 20.31, 20.59, 20.59, 10334196
2022-01-12T05:00:00Z, 21.57, 21.81, 20.6, 20.94, 20.94, 5644702
2022-01-11T05:00:00Z, 20.17, 21.59, 19.885, 21.3, 21.3, 8029722
2022-01-10T05:00:00Z, 20.73, 20.78, 19.21, 20.23, 20.23, 10471923
2022-01-07T05:00:00Z, 20.93, 21.7699, 20.5, 21.01, 21.01, 5931990
2022-01-06T05:00:00Z, 21.52, 21.8099, 20, 20.75, 20.75, 8983812
2022-01-05T05:00:00Z, 22.72, 23.35, 21.4, 21.51, 21.51, 7777176
2022-01-04T05:00:00Z, 23.24, 23.33, 22, 22.97, 22.97, 7524910
2022-01-03T05:00:00Z, 22.85, 23.68, 22.4, 23.22, 23.22, 6998309
2021-12-31T05:00:00Z, 22.78, 23.5, 22.14, 22.19, 22.19, 6848294
2021-12-30T05:00:00Z, 22.01, 23.78, 21.95, 23.15, 23.15, 7983735
2021-12-29T05:00:00Z, 22.76, 22.922, 21.52, 22.03, 22.03, 8655734
2021-12-28T05:00:00Z, 23.79, 23.98, 22.75, 22.9, 22.9, 6657303
2021-12-27T05:00:00Z, 24.36, 24.77, 23.81, 23.97, 23.97, 6427228
2021-12-23T05:00:00Z, 24.12, 24.97, 23.6, 24.57, 24.57, 6440293
2021-12-22T05:00:00Z, 23.63, 24.45, 23.02, 24.24, 24.24, 6525717
2021-12-21T05:00:00Z, 23.03, 23.8, 22.74, 23.65, 23.65, 7288565
2021-12-20T05:00:00Z, 22.87, 23.4, 22.16, 22.65, 22.65, 8602682
2021-12-17T05:00:00Z, 23, 24.07, 21.83, 23.78, 23.78, 13446720
2021-12-16T05:00:00Z, 24.84, 25.1, 22.73, 23.04, 23.04, 8561693
2021-12-15T05:00:00Z, 23.54, 24.47, 22.3, 23.98, 23.98, 10046725
2021-12-14T05:00:00Z, 23.11, 24.48, 22.7919, 23.67, 23.67, 8688406
2021-12-13T05:00:00Z, 23.7, 24.68, 22.62, 23.37, 23.37, 8145584
2021-12-10T05:00:00Z, 24.32, 25.35, 23.66, 23.9, 23.9, 8259292
2021-12-09T05:00:00Z, 26, 26.4, 24.025, 24.33, 24.33, 9690515
2021-12-08T05:00:00Z, 25.3, 26.4, 24.8, 26.24, 26.24, 9171106
2021-12-07T05:00:00Z, 25.76, 26.6884, 25.66, 26.21, 26.21, 8534816
2021-12-06T05:00:00Z, 23.99, 25.18, 23.05, 24.82, 24.82, 9189028
2021-12-03T05:00:00Z, 26.71, 26.9599, 23.9101, 24.55, 24.55, 13860827
2021-12-02T05:00:00Z, 27.25, 28.55, 26.56, 27.35, 27.35, 8596427
2021-12-01T05:00:00Z, 29.37, 29.9, 27.22, 27.31, 27.31, 8419598
2021-11-30T05:00:00Z, 30.02, 30, 27.8101, 28.84, 28.84, 12090103
2021-11-29T05:00:00Z, 31.4, 31.59, 29.88, 30.32, 30.32, 7424748
2021-11-26T05:00:00Z, 31.13, 32.27, 29.87, 30.64, 30.64, 7234557
2021-11-24T05:00:00Z, 32.05, 33.24, 30.73, 32.2, 32.2, 5370457
2021-11-23T05:00:00Z, 32.99, 34.6, 31.65, 32.37, 32.37, 8032783
2021-11-22T05:00:00Z, 35.05, 36.74, 32.58, 33.62, 33.62, 11360067
2021-11-19T05:00:00Z, 33.925, 36.17, 33.76, 34.66, 34.66, 10165657
2021-11-18T05:00:00Z, 36, 36.1, 32.62, 33.86, 33.86, 14144964
2021-11-17T05:00:00Z, 36.3, 38.5, 35.4, 35.78, 35.78, 12377524
2021-11-16T05:00:00Z, 38.31, 38.7799, 34.87, 36.91, 36.91, 26171011
2021-11-15T05:00:00Z, 38.78, 43.08, 38.75, 40.58, 40.58, 23861093
2021-11-12T05:00:00Z, 38.6, 39.06, 37.17, 38.81, 38.81, 13789149
2021-11-11T05:00:00Z, 35.19, 39.9, 34.5, 39.7, 39.7, 22333730
2021-11-10T05:00:00Z, 35.28, 36.54, 33.63, 34.19, 34.19, 11962505
2021-11-09T05:00:00Z, 38.02, 38.3747, 34.51, 36.74, 36.74, 17505897
2021-11-08T05:00:00Z, 31.67, 38.68, 31.59, 37.63, 37.63, 37937383
2021-11-05T04:00:00Z, 31.67, 31.82, 30.37, 31.02, 31.02, 9033341
2021-11-04T04:00:00Z, 32, 34.17, 30.8, 31.56, 31.56, 20431869
2021-11-03T04:00:00Z, 29.2, 31.85, 29.16, 31.64, 31.64, 19088061
2021-11-02T04:00:00Z, 29.89, 29.87, 27.32, 29.11, 29.11, 13967723
2021-11-01T04:00:00Z, 28.96, 30.65, 28.09, 29.77, 29.77, 19181906
2021-10-29T04:00:00Z, 25.23, 29.74, 25.16, 28.94, 28.94, 45305842
2021-10-28T04:00:00Z, 23.6, 25.72, 23.4613, 25.4, 25.4, 11468896
2021-10-27T04:00:00Z, 25.165, 25.42, 23.2338, 23.44, 23.44, 11529093
2021-10-26T04:00:00Z, 25.9, 26.8655, 25.3, 25.63, 25.63, 11442265
2021-10-25T04:00:00Z, 23.37, 25.705, 23.29, 25.53, 25.53, 11960511
2021-10-22T04:00:00Z, 24.84, 24.9, 22.75, 23.1, 23.1, 10610679
2021-10-21T04:00:00Z, 25.29, 26.17, 24.82, 24.91, 24.91, 5709888
2021-10-20T04:00:00Z, 25.3, 25.35, 24.6, 25.14, 25.14, 4425868
2021-10-19T04:00:00Z, 24.88, 25.36, 24.28, 25.33, 25.33, 5718999
2021-10-18T04:00:00Z, 24.07, 24.85, 23.8, 24.68, 24.68, 4840608
2021-10-15T04:00:00Z, 25.02, 25.18, 24.08, 24.11, 24.11, 4794711
2021-10-14T04:00:00Z, 24.51, 24.8, 23.9, 24.61, 24.61, 5335592
2021-10-13T04:00:00Z, 24.66, 25.32, 23.95, 24.3, 24.3, 8195450
2021-10-12T04:00:00Z, 23.49, 24.58, 23.25, 24.39, 24.39, 5559286
2021-10-11T04:00:00Z, 23.23, 23.77, 22.9, 23.21, 23.21, 3793580
2021-10-08T04:00:00Z, 23.16, 24.5, 23.12, 23.26, 23.26, 8962580
2021-10-07T04:00:00Z, 22.67, 23.29, 22.41, 22.82, 22.82, 5325742
2021-10-06T04:00:00Z, 22.25, 22.87, 21.96, 22.48, 22.48, 5096152
2021-10-05T04:00:00Z, 23.03, 23.5, 22.33, 22.62, 22.62, 7129159
2021-10-04T04:00:00Z, 24.25, 24.32, 22.7012, 22.96, 22.96, 7366713
2021-10-01T04:00:00Z, 24.47, 24.885, 23.76, 24.51, 24.51, 5749827
2021-09-30T04:00:00Z, 25.49, 25.63, 24.07, 24.54, 24.54, 8546301
2021-09-29T04:00:00Z, 25.6, 27.08, 25.35, 25.46, 25.46, 10288677
2021-09-28T04:00:00Z, 26.28, 26.6, 24.93, 25.27, 25.27, 11503092
2021-09-27T04:00:00Z, 27.3, 28.05, 25.92, 26.82, 26.82, 13302282
2021-09-24T04:00:00Z, 26.5, 28.74, 26.15, 27, 27, 28841136
2021-09-23T04:00:00Z, 23.77, 27.66, 23.74, 27.05, 27.05, 34953725
2021-09-22T04:00:00Z, 24.03, 24.44, 23.13, 23.61, 23.61, 14032459
2021-09-21T04:00:00Z, 23.47, 24.56, 22.51, 24.12, 24.12, 44788649
2021-09-20T04:00:00Z, 20.95, 21.33, 20.34, 20.79, 20.79, 7035971
2021-09-17T04:00:00Z, 21.29, 21.82, 21.1799, 21.8, 21.8, 14090643
2021-09-16T04:00:00Z, 20.51, 21.51, 20.37, 21.34, 21.34, 6063113
2021-09-15T04:00:00Z, 20.92, 21.28, 20.5016, 20.61, 20.61, 6763206
2021-09-14T04:00:00Z, 21.21, 21.68, 20.55, 20.86, 20.86, 4575118
2021-09-13T04:00:00Z, 21, 21.68, 20.41, 21.15, 21.15, 4545831
2021-09-10T04:00:00Z, 21.38, 21.98, 20.99, 21.08, 21.08, 4985697
2021-09-09T04:00:00Z, 20.7, 21.6838, 20.6, 21.39, 21.39, 4286197
2021-09-08T04:00:00Z, 21.98, 22.02, 20.53, 20.74, 20.74, 9746855
2021-09-07T04:00:00Z, 22.12, 22.3838, 21.91, 22.18, 22.18, 6189217
2021-09-03T04:00:00Z, 22.71, 22.8, 21.8114, 22.45, 22.45, 4255072
2021-09-02T04:00:00Z, 22.25, 23.36, 22.08, 22.46, 22.46, 7476259
2021-09-01T04:00:00Z, 21.92, 22.54, 21.66, 22.2, 22.2, 5814206
2021-08-31T04:00:00Z, 21.4, 22.2998, 21.35, 22, 22, 4620465
2021-08-30T04:00:00Z, 21.505, 21.7399, 20.76, 21.4, 21.4, 4004687
2021-08-27T04:00:00Z, 21.27, 22.09, 21.03, 21.48, 21.48, 5073034
2021-08-26T04:00:00Z, 21.25, 22.55, 21.1, 21.27, 21.27, 7286654
2021-08-25T04:00:00Z, 20.92, 21.57, 20.36, 21.25, 21.25, 5631937
2021-08-24T04:00:00Z, 20.85, 21.405, 20.79, 21.3, 21.3, 5520817
