Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 12.34, 12.56, 12.1975, 12.52, 12.52, 3479331
2022-02-07T05:00:00Z, 12.05, 12.43, 11.99, 12.29, 12.29, 5549208
2022-02-04T05:00:00Z, 11.77, 12.13, 11.44, 11.92, 11.92, 6708536
2022-02-03T05:00:00Z, 11.98, 12.11, 11.73, 11.83, 11.83, 5545817
2022-02-02T05:00:00Z, 12.24, 12.3, 11.96, 12.2, 12.2, 5103347
2022-02-01T05:00:00Z, 12.57, 12.7, 11.84, 12.35, 12.35, 11211681
2022-01-31T05:00:00Z, 12.29, 12.64, 11.94, 12.64, 12.64, 5897363
2022-01-28T05:00:00Z, 12.27, 12.395, 11.95, 12.37, 12.37, 4528209
2022-01-27T05:00:00Z, 12.71, 12.945, 12.27, 12.38, 12.38, 3468000
2022-01-26T05:00:00Z, 13.24, 13.475, 12.35, 12.63, 12.63, 6019124
2022-01-25T05:00:00Z, 12.75, 13.33, 12.665, 13.08, 13.08, 4828990
2022-01-24T05:00:00Z, 12.49, 12.99, 12.07, 12.96, 12.96, 6536133
2022-01-21T05:00:00Z, 13, 13.15, 12.62, 12.92, 12.92, 3995801
2022-01-20T05:00:00Z, 13.405, 13.735, 13.09, 13.11, 13.11, 4570963
2022-01-19T05:00:00Z, 13.48, 13.76, 13.22, 13.26, 13.26, 5805988
2022-01-18T05:00:00Z, 13.13, 13.38, 12.945, 12.98, 12.98, 3507737
2022-01-14T05:00:00Z, 13.72, 13.8436, 13.09, 13.42, 13.42, 9256620
2022-01-13T05:00:00Z, 14.31, 14.31, 13.85, 13.86, 13.86, 5585788
2022-01-12T05:00:00Z, 14.25, 14.53, 14.08, 14.29, 14.29, 3436761
2022-01-11T05:00:00Z, 13.92, 14.36, 13.78, 14.17, 14.17, 3783042
2022-01-10T05:00:00Z, 14.19, 14.2782, 13.69, 13.99, 13.99, 5240881
2022-01-07T05:00:00Z, 14.26, 14.415, 13.99, 14.16, 14.16, 4282308
2022-01-06T05:00:00Z, 14.25, 14.5787, 13.9, 14.01, 14.01, 4645330
2022-01-05T05:00:00Z, 14.85, 14.9799, 14.165, 14.18, 14.18, 4026033
2022-01-04T05:00:00Z, 14.75, 15.2636, 14.61, 14.98, 14.98, 5537723
2022-01-03T05:00:00Z, 14.24, 14.91, 14.19, 14.73, 14.73, 4982583
2021-12-31T05:00:00Z, 14.6, 14.9101, 13.84, 14, 14, 9743758
2021-12-30T05:00:00Z, 14.29, 14.93, 14.28, 14.69, 14.69, 5764702
2021-12-29T05:00:00Z, 14.66, 14.6771, 14.26, 14.29, 14.29, 4172572
2021-12-28T05:00:00Z, 15.03, 15.11, 14.71, 14.71, 14.71, 3272025
2021-12-27T05:00:00Z, 15.23, 15.3, 15.02, 15.08, 15.08, 2854832
2021-12-23T05:00:00Z, 15.05, 15.38, 15.03, 15.27, 15.27, 2491320
2021-12-22T05:00:00Z, 14.875, 15.21, 14.76, 15.12, 15.12, 3308286
2021-12-21T05:00:00Z, 14.47, 14.975, 14.315, 14.82, 14.82, 4327501
2021-12-20T05:00:00Z, 15.21, 15.28, 14.0711, 14.46, 14.46, 9418660
2021-12-17T05:00:00Z, 15.57, 15.705, 15.02, 15.43, 15.43, 5728263
2021-12-16T05:00:00Z, 15.52, 16.03, 15.34, 15.58, 15.58, 3823045
2021-12-15T05:00:00Z, 15.99, 16.014, 15.16, 15.62, 15.62, 4525854
2021-12-14T05:00:00Z, 15.825, 16.455, 15.75, 15.92, 15.92, 3847504
2021-12-13T05:00:00Z, 16.1, 16.2, 15.695, 15.9, 15.9, 3759258
2021-12-10T05:00:00Z, 16.3, 16.44, 16.11, 16.16, 16.16, 3494593
2021-12-09T05:00:00Z, 16.26, 16.5196, 16.125, 16.31, 16.31, 3149054
2021-12-08T05:00:00Z, 16.26, 16.65, 16.12, 16.38, 16.38, 2412089
2021-12-07T05:00:00Z, 16.12, 16.6, 16.06, 16.31, 16.31, 3993892
2021-12-06T05:00:00Z, 15.55, 16.22, 15.215, 15.89, 15.89, 4588615
2021-12-03T05:00:00Z, 15.81, 15.9, 15.44, 15.7, 15.7, 3082013
2021-12-02T05:00:00Z, 15.37, 16.0241, 15.28, 15.89, 15.89, 3681350
2021-12-01T05:00:00Z, 15.57, 16.29, 15.26, 15.32, 15.32, 4729143
2021-11-30T05:00:00Z, 15.47, 16, 15.305, 15.5, 15.5, 4556786
2021-11-29T05:00:00Z, 15.72, 16.145, 15.2521, 15.73, 15.73, 4485788
2021-11-26T05:00:00Z, 15.49, 15.965, 15.43, 15.69, 15.69, 2966937
2021-11-24T05:00:00Z, 15.42, 15.885, 15.35, 15.74, 15.74, 2541722
2021-11-23T05:00:00Z, 15.46, 15.53, 15.06, 15.42, 15.42, 2685428
2021-11-22T05:00:00Z, 15.445, 15.59, 14.94, 15.41, 15.41, 4372210
2021-11-19T05:00:00Z, 15.58, 15.9, 15.405, 15.42, 15.42, 3379369
2021-11-18T05:00:00Z, 15.5, 15.69, 15.08, 15.61, 15.61, 5455748
2021-11-17T05:00:00Z, 16.3, 16.33, 15.43, 15.59, 15.59, 7343991
2021-11-16T05:00:00Z, 16.4, 16.615, 16.18, 16.48, 16.48, 3518736
2021-11-15T05:00:00Z, 16.77, 17.08, 16.48, 16.48, 16.48, 3026170
