Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 14.37, 14.695, 14.26, 14.6, 14.6, 1737354
2022-02-07T05:00:00Z, 14.19, 14.49, 14.05, 14.27, 14.27, 1352548
2022-02-04T05:00:00Z, 13.63, 14.17, 13.54, 14.03, 14.03, 1376682
2022-02-03T05:00:00Z, 13.73, 14.055, 13.64, 13.75, 13.75, 1034148
2022-02-02T05:00:00Z, 14.13, 14.19, 13.71, 13.85, 13.85, 1423869
2022-02-01T05:00:00Z, 13.855, 14.32, 13.67, 14.13, 14.13, 1586819
2022-01-31T05:00:00Z, 13.11, 13.85, 13.11, 13.85, 13.85, 1642308
2022-01-28T05:00:00Z, 13.04, 13.42, 12.665, 13.42, 13.42, 1416985
2022-01-27T05:00:00Z, 13.83, 14.01, 12.98, 13.11, 13.11, 1409765
2022-01-26T05:00:00Z, 14.18, 14.45, 13.595, 13.73, 13.73, 1748165
2022-01-25T05:00:00Z, 13.825, 14.15, 13.48, 14.03, 14.03, 1281897
2022-01-24T05:00:00Z, 13.56, 14.05, 13.39, 13.98, 13.98, 2218318
2022-01-21T05:00:00Z, 13.92, 14.135, 13.75, 13.91, 13.91, 1480908
2022-01-20T05:00:00Z, 14.47, 14.59, 13.955, 14, 14, 1327910
2022-01-19T05:00:00Z, 14.49, 14.66, 14.315, 14.38, 14.38, 1384705
2022-01-18T05:00:00Z, 14.72, 14.9, 14.5, 14.51, 14.51, 1539670
2022-01-14T05:00:00Z, 14.75, 14.79, 14.45, 14.73, 14.73, 1500448
2022-01-13T05:00:00Z, 14.52, 14.71, 14.44, 14.56, 14.56, 737634
2022-01-12T05:00:00Z, 14.75, 14.81, 14.41, 14.41, 14.41, 862263
2022-01-11T05:00:00Z, 14.35, 14.68, 14.14, 14.58, 14.58, 1004760
2022-01-10T05:00:00Z, 14.515, 14.56, 14.18, 14.29, 14.29, 1216057
2022-01-07T05:00:00Z, 14.32, 14.77, 14.21, 14.48, 14.48, 1600103
2022-01-06T05:00:00Z, 14.13, 14.22, 13.915, 14.1, 14.1, 1337801
2022-01-05T05:00:00Z, 14.29, 14.49, 13.87, 13.95, 13.95, 1360393
2022-01-04T05:00:00Z, 14.3, 14.5, 14.18, 14.19, 14.19, 1105003
2022-01-03T05:00:00Z, 14.17, 14.37, 14.005, 14.09, 14.09, 758391
2021-12-31T05:00:00Z, 14.01, 14.07, 13.82, 13.93, 13.93, 817895
2021-12-30T05:00:00Z, 13.95, 14.145, 13.84, 13.94, 13.94, 763014
2021-12-29T05:00:00Z, 13.84, 13.995, 13.72, 13.92, 13.92, 852199
2021-12-28T05:00:00Z, 13.945, 14.255, 13.88, 13.97, 13.97, 1206101
2021-12-27T05:00:00Z, 13.92, 14.11, 13.79, 14.07, 14.07, 1159238
2021-12-23T05:00:00Z, 13.95, 14.19, 13.93, 14.04, 14.04, 1104748
2021-12-22T05:00:00Z, 13.74, 14.059, 13.695, 13.96, 13.96, 1722232
2021-12-21T05:00:00Z, 12.765, 13.81, 12.73, 13.79, 13.79, 2958461
2021-12-20T05:00:00Z, 12.28, 12.685, 12.1, 12.62, 12.62, 2390114
2021-12-17T05:00:00Z, 12.29, 12.94, 12.15, 12.82, 12.82, 5809845
2021-12-16T05:00:00Z, 12.56, 12.76, 12.37, 12.41, 12.41, 2008755
2021-12-15T05:00:00Z, 12.45, 12.67, 12.16, 12.55, 12.55, 2130614
2021-12-14T05:00:00Z, 12.84, 13.09, 12.55, 12.61, 12.61, 1505714
2021-12-13T05:00:00Z, 13.21, 13.34, 12.745, 12.79, 12.79, 1208680
2021-12-10T05:00:00Z, 13.5, 13.67, 13.235, 13.4, 13.4, 1408807
2021-12-09T05:00:00Z, 13.3, 13.675, 13.29, 13.52, 13.52, 1585253
2021-12-08T05:00:00Z, 13.13, 13.73, 13.05, 13.56, 13.56, 2697076
2021-12-07T05:00:00Z, 13.34, 13.42, 13.03, 13.22, 13.22, 2491565
2021-12-06T05:00:00Z, 12.7, 13.55, 12.65, 13.16, 13.16, 2723010
2021-12-03T05:00:00Z, 12.52, 12.67, 12.29, 12.46, 12.46, 1247125
2021-12-02T05:00:00Z, 12, 12.86, 11.92, 12.62, 12.62, 1296551
2021-12-01T05:00:00Z, 12.82, 13.05, 12.01, 12.01, 12.01, 2191830
2021-11-30T05:00:00Z, 12.55, 12.74, 12.49, 12.59, 12.59, 1775820
2021-11-29T05:00:00Z, 12.94, 13, 12.48, 12.91, 12.91, 1406116
2021-11-26T05:00:00Z, 12.975, 13.05, 12.085, 12.75, 12.75, 1302382
2021-11-24T05:00:00Z, 13.47, 13.81, 13.435, 13.78, 13.78, 749616
2021-11-23T05:00:00Z, 13.38, 13.78, 13.32, 13.69, 13.69, 1951226
2021-11-22T05:00:00Z, 13.72, 13.78, 13.395, 13.44, 13.44, 1402577
2021-11-19T05:00:00Z, 13.35, 13.76, 13.155, 13.69, 13.69, 1752312
2021-11-18T05:00:00Z, 13.985, 14.08, 13.53, 13.64, 13.64, 1677683
2021-11-17T05:00:00Z, 13.83, 14, 13.58, 13.89, 13.89, 1548542
2021-11-16T05:00:00Z, 14.09, 14.245, 13.83, 13.96, 13.96, 3368363
2021-11-15T05:00:00Z, 14.4, 14.44, 14.22, 14.31, 14.31, 895327
2021-11-12T05:00:00Z, 14.46, 14.64, 14.25, 14.29, 14.29, 629024
2021-11-11T05:00:00Z, 14.78, 14.92, 14.385, 14.49, 14.49, 606473
2021-11-10T05:00:00Z, 15.02, 15.14, 14.81, 14.81, 14.81, 935098
2021-11-09T05:00:00Z, 15.06, 15.23, 14.94, 15.11, 15.11, 1115535
2021-11-08T05:00:00Z, 15.62, 15.809, 14.955, 15.07, 15.07, 1614045
2021-11-05T04:00:00Z, 15.52, 16.22, 15.18, 15.52, 15.52, 1308245
2021-11-04T04:00:00Z, 15.71, 15.96, 15.05, 15.19, 15.19, 3933866
2021-11-03T04:00:00Z, 15.24, 15.975, 15.14, 15.91, 15.91, 3202616
2021-11-02T04:00:00Z, 15.05, 15.32, 14.84, 15.16, 15.16, 2964214
2021-11-01T04:00:00Z, 14.43, 15.06, 14.34, 15.01, 15.01, 2333694
2021-10-29T04:00:00Z, 14.43, 14.615, 14.275, 14.42, 14.42, 1031246
