Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 12.83, 12.9, 12.5525, 12.68, 12.68, 1079114
2022-02-07T05:00:00Z, 12.65, 12.86, 12.56, 12.78, 12.78, 1105581
2022-02-04T05:00:00Z, 12.9, 12.97, 12.55, 12.7, 12.7, 1560854
2022-02-03T05:00:00Z, 12.84, 12.88, 12.65, 12.83, 12.83, 1033156
2022-02-02T05:00:00Z, 12.87, 12.96, 12.63, 12.89, 12.89, 1756901
2022-02-01T05:00:00Z, 12.66, 12.94, 12.6097, 12.91, 12.91, 1369814
2022-01-31T05:00:00Z, 12.57, 12.8022, 12.415, 12.72, 12.72, 1465867
2022-01-28T05:00:00Z, 12.75, 12.935, 12.59, 12.93, 12.93, 1379697
2022-01-27T05:00:00Z, 13.05, 13.11, 12.66, 12.77, 12.77, 1813957
2022-01-26T05:00:00Z, 12.96, 13.23, 12.76, 12.85, 12.85, 1224459
2022-01-25T05:00:00Z, 12.44, 12.98, 12.19, 12.91, 12.91, 1064593
2022-01-24T05:00:00Z, 12.09, 12.49, 12, 12.45, 12.45, 1880059
2022-01-21T05:00:00Z, 12.85, 12.945, 12.52, 12.69, 12.69, 1877691
2022-01-20T05:00:00Z, 12.81, 13.3, 12.7502, 13.05, 13.05, 942255
2022-01-19T05:00:00Z, 13.37, 13.4, 13.07, 13.13, 13.13, 1303816
2022-01-18T05:00:00Z, 13.19, 13.56, 13.0727, 13.33, 13.33, 1676890
2022-01-14T05:00:00Z, 12.78, 13.1, 12.75, 13.09, 13.09, 1009257
2022-01-13T05:00:00Z, 13.24, 13.33, 12.81, 12.82, 12.82, 1805606
2022-01-12T05:00:00Z, 13.04, 13.25, 12.91, 13.25, 13.25, 1295611
2022-01-11T05:00:00Z, 12.81, 13.005, 12.81, 12.93, 12.93, 1181219
2022-01-10T05:00:00Z, 12.63, 12.8, 12.23, 12.8, 12.8, 1677518
2022-01-07T05:00:00Z, 12.2, 12.42, 12.15, 12.42, 12.42, 778471
2022-01-06T05:00:00Z, 12.08, 12.26, 11.97, 12.12, 12.12, 879599
2022-01-05T05:00:00Z, 12.29, 12.38, 11.96, 11.97, 11.97, 1452832
2022-01-04T05:00:00Z, 11.96, 12.28, 11.885, 12.18, 12.18, 906538
2022-01-03T05:00:00Z, 11.57, 11.949, 11.52, 11.83, 11.83, 916346
2021-12-31T05:00:00Z, 11.37, 11.56, 11.3201, 11.52, 11.52, 771546
2021-12-30T05:00:00Z, 11.42, 11.4999, 11.35, 11.37, 11.37, 634403
2021-12-29T05:00:00Z, 11.37, 11.415, 11.26, 11.37, 11.37, 863351
2021-12-28T05:00:00Z, 11.46, 11.5, 11.34, 11.4, 11.4, 728184
2021-12-27T05:00:00Z, 10.88, 11.35, 10.83, 11.33, 11.33, 1425491
2021-12-23T05:00:00Z, 11, 11.0401, 10.86, 10.86, 10.86, 2330817
2021-12-22T05:00:00Z, 11.01, 11.0285, 10.87, 10.96, 10.96, 1138550
2021-12-21T05:00:00Z, 11.06, 11.21, 10.88, 10.98, 10.98, 1762625
2021-12-20T05:00:00Z, 10.89, 10.98, 10.76, 10.94, 10.94, 1273894
2021-12-17T05:00:00Z, 11.09, 11.1, 10.82, 11.03, 11.03, 1980621
2021-12-16T05:00:00Z, 11.25, 11.29, 10.98, 11.05, 11.05, 1785134
2021-12-15T05:00:00Z, 11.13, 11.28, 11.01, 11.13, 11.13, 867655
2021-12-14T05:00:00Z, 11.32, 11.41, 11.1, 11.12, 11.12, 654083
2021-12-13T05:00:00Z, 11.56, 11.57, 11.223, 11.32, 11.32, 808009
2021-12-10T05:00:00Z, 11.49, 11.54, 11.3, 11.48, 11.48, 984090
2021-12-09T05:00:00Z, 11.47, 11.59, 11.431, 11.54, 11.54, 1017969
2021-12-08T05:00:00Z, 11.73, 11.76, 11.58, 11.71, 11.71, 660427
2021-12-07T05:00:00Z, 11.47, 11.76, 11.4, 11.65, 11.65, 871735
2021-12-06T05:00:00Z, 11.27, 11.6, 11.16, 11.42, 11.42, 643991
2021-12-03T05:00:00Z, 11.49, 11.64, 11.22, 11.32, 11.32, 1176329
2021-12-02T05:00:00Z, 11.02, 11.54, 11, 11.44, 11.44, 874852
2021-12-01T05:00:00Z, 11.59, 11.68, 11, 11, 11, 1415332
2021-11-30T05:00:00Z, 11.3, 11.42, 11.01, 11.4, 11.4, 1583555
2021-11-29T05:00:00Z, 11.83, 11.85, 11.32, 11.41, 11.41, 1874507
2021-11-26T05:00:00Z, 11.69, 11.74, 11.365, 11.66, 11.66, 1351019
2021-11-24T05:00:00Z, 11.8, 12.06, 11.74, 12.06, 12.06, 552217
2021-11-23T05:00:00Z, 11.74, 11.89, 11.63, 11.81, 11.81, 621029
2021-11-22T05:00:00Z, 11.75, 11.785, 11.65, 11.66, 11.66, 1211527
2021-11-19T05:00:00Z, 12.01, 12.14, 11.67, 11.79, 11.79, 1339073
