Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 5.145, 5.27, 5.12, 5.27, 5.27, 2775429
2022-02-07T05:00:00Z, 5.1, 5.225, 5.055, 5.19, 5.19, 3890890
2022-02-04T05:00:00Z, 4.91, 4.975, 4.8517, 4.96, 4.96, 2444747
2022-02-03T05:00:00Z, 5.02, 5.1, 4.95, 4.96, 4.96, 2991940
2022-02-02T05:00:00Z, 5.06, 5.1, 4.97, 5.06, 5.06, 2522939
2022-02-01T05:00:00Z, 4.79, 5.06, 4.78, 5.06, 5.06, 3104098
2022-01-31T05:00:00Z, 4.74, 4.79, 4.69, 4.77, 4.77, 2629152
2022-01-28T05:00:00Z, 4.85, 4.89, 4.64, 4.72, 4.72, 5885980
2022-01-27T05:00:00Z, 4.865, 4.945, 4.69, 4.78, 4.78, 4681455
2022-01-26T05:00:00Z, 4.705, 4.91, 4.67, 4.75, 4.75, 4923321
2022-01-25T05:00:00Z, 4.68, 4.7, 4.535, 4.65, 4.65, 4137386
2022-01-24T05:00:00Z, 4.56, 4.685, 4.485, 4.68, 4.68, 6687803
2022-01-21T05:00:00Z, 4.82, 4.83, 4.66, 4.68, 4.68, 6036123
2022-01-20T05:00:00Z, 4.95, 4.97, 4.78, 4.79, 4.79, 3855192
2022-01-19T05:00:00Z, 4.81, 4.872, 4.75, 4.79, 4.79, 2859014
2022-01-18T05:00:00Z, 4.595, 4.64, 4.505, 4.57, 4.57, 2939861
2022-01-14T05:00:00Z, 4.59, 4.665, 4.57, 4.62, 4.62, 2276022
2022-01-13T05:00:00Z, 4.73, 4.78, 4.665, 4.69, 4.69, 2465279
2022-01-12T05:00:00Z, 4.59, 4.75, 4.5301, 4.73, 4.73, 4100800
2022-01-11T05:00:00Z, 4.46, 4.47, 4.36, 4.43, 4.43, 2151456
2022-01-10T05:00:00Z, 4.38, 4.4, 4.259, 4.34, 4.34, 2702135
2022-01-07T05:00:00Z, 4.06, 4.255, 4.04, 4.25, 4.25, 1910536
2022-01-06T05:00:00Z, 4.17, 4.19, 4.06, 4.06, 4.06, 2573607
2022-01-05T05:00:00Z, 4.18, 4.29, 4.1, 4.11, 4.11, 4842236
2022-01-04T05:00:00Z, 4.25, 4.285, 4.19, 4.23, 4.23, 2493119
2022-01-03T05:00:00Z, 4.4, 4.43, 4.29, 4.31, 4.31, 2155425
2021-12-31T05:00:00Z, 4.43, 4.46, 4.35, 4.44, 4.44, 1120397
2021-12-30T05:00:00Z, 4.42, 4.4899, 4.41, 4.45, 4.45, 2122840
2021-12-29T05:00:00Z, 4.37, 4.4, 4.315, 4.33, 4.33, 1802454
2021-12-28T05:00:00Z, 4.34, 4.42, 4.32, 4.38, 4.38, 2091947
2021-12-27T05:00:00Z, 4.32, 4.38, 4.27, 4.38, 4.38, 2134013
2021-12-23T05:00:00Z, 4.295, 4.33, 4.2343, 4.31, 4.31, 1547364
2021-12-22T05:00:00Z, 4.24, 4.33, 4.211, 4.32, 4.32, 1906741
2021-12-21T05:00:00Z, 4.17, 4.3, 4.16, 4.28, 4.28, 2149420
2021-12-20T05:00:00Z, 4.2, 4.21, 4.07, 4.08, 4.08, 4934955
2021-12-17T05:00:00Z, 4.42, 4.4799, 4.35, 4.43, 4.43, 3588790
2021-12-16T05:00:00Z, 4.345, 4.51, 4.33, 4.48, 4.48, 4392363
2021-12-15T05:00:00Z, 4.345, 4.345, 4.12, 4.23, 4.23, 5161520
2021-12-14T05:00:00Z, 4.37, 4.405, 4.24, 4.25, 4.25, 2971492
2021-12-13T05:00:00Z, 4.44, 4.45, 4.27, 4.36, 4.36, 3190809
2021-12-10T05:00:00Z, 4.28, 4.32, 4.21, 4.31, 4.31, 2739900
2021-12-09T05:00:00Z, 4.28, 4.4, 4.27, 4.37, 4.37, 2275644
2021-12-08T05:00:00Z, 4.435, 4.4768, 4.34, 4.37, 4.37, 1920121
2021-12-07T05:00:00Z, 4.41, 4.445, 4.325, 4.35, 4.35, 4699541
2021-12-06T05:00:00Z, 4.12, 4.245, 4.035, 4.21, 4.21, 2997999
2021-12-03T05:00:00Z, 4.13, 4.22, 3.99, 4.08, 4.08, 3387045
2021-12-02T05:00:00Z, 3.88, 4.13, 3.875, 4.12, 4.12, 4185623
2021-12-01T05:00:00Z, 3.93, 4.04, 3.77, 3.78, 3.78, 5469772
2021-11-30T05:00:00Z, 3.98, 4.045, 3.79, 3.84, 3.84, 3980593
2021-11-29T05:00:00Z, 4.11, 4.1299, 3.99, 4, 4, 3097079
2021-11-26T05:00:00Z, 4.015, 4.02, 3.9, 4, 4, 3035627
2021-11-24T05:00:00Z, 4.06, 4.15, 4.035, 4.1, 4.1, 2567222
2021-11-23T05:00:00Z, 4.09, 4.11, 3.954, 4.04, 4.04, 3984868
2021-11-22T05:00:00Z, 3.88, 3.995, 3.86, 3.88, 3.88, 3553095
2021-11-19T05:00:00Z, 3.785, 3.85, 3.68, 3.8, 3.8, 4813909
2021-11-18T05:00:00Z, 3.68, 3.72, 3.56, 3.57, 3.57, 4391936
2021-11-17T05:00:00Z, 3.87, 3.93, 3.76, 3.8, 3.8, 4889007
2021-11-16T05:00:00Z, 4.01, 4.01, 3.85, 3.86, 3.86, 3956401
2021-11-15T05:00:00Z, 4.15, 4.16, 4.01, 4.06, 4.06, 1673064
2021-11-12T05:00:00Z, 4.12, 4.2785, 4.11, 4.14, 4.14, 2701975
2021-11-11T05:00:00Z, 4.11, 4.25, 4.1, 4.19, 4.19, 5281541
2021-11-10T05:00:00Z, 3.92, 3.93, 3.8, 3.85, 3.85, 3285688
2021-11-09T05:00:00Z, 4, 4.05, 3.855, 3.91, 3.91, 3716718
2021-11-08T05:00:00Z, 3.875, 4.035, 3.87, 3.94, 3.94, 3436536
2021-11-05T04:00:00Z, 3.81, 3.88, 3.78, 3.87, 3.87, 4138632
2021-11-04T04:00:00Z, 3.85, 3.85, 3.68, 3.82, 3.82, 6743107
2021-11-03T04:00:00Z, 3.95, 4.025, 3.87, 3.94, 3.94, 6823712
2021-11-02T04:00:00Z, 4.02, 4.05, 3.91, 3.98, 3.98, 4486348
2021-11-01T04:00:00Z, 4.08, 4.155, 4.02, 4.1, 4.1, 4863424
2021-10-29T04:00:00Z, 4.18, 4.2, 4.05, 4.08, 4.08, 6182377
2021-10-28T04:00:00Z, 4.34, 4.38, 4.27, 4.29, 4.29, 4078946
2021-10-27T04:00:00Z, 4.5, 4.55, 4.38, 4.4, 4.4, 5534100
2021-10-26T04:00:00Z, 4.61, 4.61, 4.37, 4.39, 4.39, 5901756
2021-10-25T04:00:00Z, 4.515, 4.73, 4.49, 4.72, 4.72, 4215241
2021-10-22T04:00:00Z, 4.48, 4.51, 4.275, 4.46, 4.46, 6098294
2021-10-21T04:00:00Z, 4.43, 4.45, 4.245, 4.42, 4.42, 5481884
2021-10-20T04:00:00Z, 4.57, 4.69, 4.54, 4.62, 4.62, 5236544
2021-10-19T04:00:00Z, 4.76, 4.77, 4.55, 4.62, 4.62, 5685674
2021-10-18T04:00:00Z, 4.84, 4.87, 4.75, 4.81, 4.81, 3679928
2021-10-15T04:00:00Z, 4.96, 5.12, 4.94, 5.05, 5.05, 3379100
2021-10-14T04:00:00Z, 5.05, 5.08, 4.88, 4.93, 4.93, 3022036
2021-10-13T04:00:00Z, 4.99, 5.06, 4.96, 5.01, 5.01, 4153336
2021-10-12T04:00:00Z, 5.1, 5.155, 5.025, 5.09, 5.09, 1891399
2021-10-11T04:00:00Z, 5.26, 5.315, 5.09, 5.09, 5.09, 3138888
2021-10-08T04:00:00Z, 5.2, 5.2975, 5.15, 5.16, 5.16, 4680654
2021-10-07T04:00:00Z, 5.01, 5.18, 4.99, 5.01, 5.01, 6356258
2021-10-06T04:00:00Z, 4.92, 5.1, 4.87, 5.09, 5.09, 6473110
2021-10-05T04:00:00Z, 5.13, 5.21, 5.02, 5.11, 5.11, 4755686
2021-10-04T04:00:00Z, 5.29, 5.36, 5.09, 5.1, 5.1, 3577700
2021-10-01T04:00:00Z, 5.34, 5.49, 5.27, 5.45, 5.45, 5107307
2021-09-30T04:00:00Z, 5.39, 5.47, 5.26, 5.26, 5.26, 6132066
2021-09-29T04:00:00Z, 5.19, 5.225, 5.06, 5.14, 5.14, 5582793
2021-09-28T04:00:00Z, 5.455, 5.49, 5.1, 5.11, 5.11, 6460225
2021-09-27T04:00:00Z, 5.4, 5.66, 5.385, 5.58, 5.58, 3984103
2021-09-24T04:00:00Z, 5.45, 5.545, 5.4, 5.43, 5.43, 3412304
2021-09-23T04:00:00Z, 5.43, 5.75, 5.43, 5.64, 5.64, 4445096
2021-09-22T04:00:00Z, 5.79, 5.89, 5.485, 5.54, 5.54, 6731573
2021-09-21T04:00:00Z, 5.37, 5.445, 5.205, 5.41, 5.41, 4129800
2021-09-20T04:00:00Z, 5.42, 5.48, 5.24, 5.43, 5.43, 5191880
2021-09-17T04:00:00Z, 5.78, 5.8, 5.59, 5.64, 5.64, 3749554
2021-09-16T04:00:00Z, 6.09, 6.13, 5.915, 5.93, 5.93, 3722917
2021-09-15T04:00:00Z, 6.29, 6.43, 6.24, 6.36, 6.36, 3419324
2021-09-14T04:00:00Z, 6.46, 6.4796, 6.255, 6.31, 6.31, 2352400
2021-09-13T04:00:00Z, 6.56, 6.56, 6.39, 6.41, 6.41, 3017273
2021-09-10T04:00:00Z, 6.63, 6.77, 6.41, 6.42, 6.42, 3370159
2021-09-09T04:00:00Z, 6.43, 6.61, 6.28, 6.56, 6.56, 8662623
2021-09-08T04:00:00Z, 6.42, 6.445, 6.255, 6.27, 6.27, 4789475
2021-09-07T04:00:00Z, 6.67, 6.765, 6.54, 6.54, 6.54, 1857762
2021-09-03T04:00:00Z, 6.77, 6.79, 6.6001, 6.66, 6.66, 3176787
2021-09-02T04:00:00Z, 6.8, 6.83, 6.61, 6.62, 6.62, 4377716
