Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 15.57, 16.11, 15.545, 16.1, 16.1, 2509942
2022-02-07T05:00:00Z, 15.87, 16.27, 15.38, 15.62, 15.62, 2245839
2022-02-04T05:00:00Z, 15.2, 16.01, 15.1, 15.86, 15.86, 2713701
2022-02-03T05:00:00Z, 15.27, 15.81, 14.79, 15.09, 15.09, 3971287
2022-02-02T05:00:00Z, 16.74, 16.75, 15.605, 15.76, 15.76, 2411663
2022-02-01T05:00:00Z, 16.81, 17, 16.23, 16.55, 16.55, 2542431
2022-01-31T05:00:00Z, 15.61, 16.785, 15.45, 16.78, 16.78, 4777778
2022-01-28T05:00:00Z, 15.09, 15.48, 14.57, 15.33, 15.33, 3377030
2022-01-27T05:00:00Z, 16.31, 16.4, 15.09, 15.12, 15.12, 2991312
2022-01-26T05:00:00Z, 16.88, 17.35, 15.84, 15.99, 15.99, 4099891
2022-01-25T05:00:00Z, 16.14, 16.78, 15.96, 16.28, 16.28, 3431005
2022-01-24T05:00:00Z, 14.7, 16.78, 14.32, 16.71, 16.71, 7108582
2022-01-21T05:00:00Z, 18.02, 18.425, 15.7, 15.795, 15.795, 11407240
2022-01-20T05:00:00Z, 19.26, 20.18, 19.005, 19.02, 19.02, 2766805
2022-01-19T05:00:00Z, 19.34, 19.73, 18.89, 18.92, 18.92, 2546992
2022-01-18T05:00:00Z, 19.5, 20.13, 19.31, 19.34, 19.34, 2621266
2022-01-14T05:00:00Z, 19.86, 20.56, 19.74, 20.16, 20.16, 2226669
2022-01-13T05:00:00Z, 21, 21.49, 20.04, 20.11, 20.11, 2952468
2022-01-12T05:00:00Z, 20.65, 21.247, 20.365, 20.38, 20.38, 2879572
2022-01-11T05:00:00Z, 19.62, 20.4699, 19.38, 20.31, 20.31, 2765157
2022-01-10T05:00:00Z, 19.01, 19.64, 18.63, 19.62, 19.62, 2288997
2022-01-07T05:00:00Z, 19.29, 20.0283, 19.0314, 19.38, 19.38, 2508268
2022-01-06T05:00:00Z, 19.84, 19.8557, 18.55, 19.15, 19.15, 4643853
2022-01-05T05:00:00Z, 21.35, 21.47, 19.685, 19.78, 19.78, 4304965
2022-01-04T05:00:00Z, 22.27, 22.35, 20.64, 21.53, 21.53, 3730291
2022-01-03T05:00:00Z, 21.14, 21.71, 20.41, 21.55, 21.55, 3109793
