Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 11.68, 11.72, 10.885, 10.91, 10.91, 1277935
2022-02-07T05:00:00Z, 11.47, 11.72, 11.34, 11.63, 11.63, 1107688
2022-02-04T05:00:00Z, 11.38, 12.01, 11.33, 11.63, 11.63, 1258638
2022-02-03T05:00:00Z, 11.08, 11.385, 10.885, 11.17, 11.17, 1129163
2022-02-02T05:00:00Z, 11.32, 11.3877, 10.82, 11.35, 11.35, 1114942
2022-02-01T05:00:00Z, 10.7, 11.315, 10.53, 11.29, 11.29, 1063069
2022-01-31T05:00:00Z, 10.17, 10.79, 10.15, 10.64, 10.64, 908581
2022-01-28T05:00:00Z, 10.26, 10.37, 9.84, 10.3, 10.3, 1285940
2022-01-27T05:00:00Z, 10.43, 10.6, 10.02, 10.24, 10.24, 1378950
2022-01-26T05:00:00Z, 10.67, 10.86, 10.11, 10.19, 10.19, 1054211
2022-01-25T05:00:00Z, 10.04, 10.58, 9.58, 10.47, 10.47, 934666
2022-01-24T05:00:00Z, 9.46, 10.18, 9.08, 10.13, 10.13, 1586900
2022-01-21T05:00:00Z, 10.07, 10.2, 9.65, 9.78, 9.78, 1730632
2022-01-20T05:00:00Z, 10.79, 11.195, 10.22, 10.23, 10.23, 1046806
2022-01-19T05:00:00Z, 11.22, 11.34, 10.87, 11.02, 11.02, 930921
2022-01-18T05:00:00Z, 11.58, 11.75, 10.92, 11.07, 11.07, 1135379
2022-01-14T05:00:00Z, 11.17, 11.37, 10.91, 11.31, 11.31, 1063182
2022-01-13T05:00:00Z, 11.28, 11.57, 11.01, 11.05, 11.05, 536696
2022-01-12T05:00:00Z, 11.52, 11.675, 11.26, 11.43, 11.43, 1125960
2022-01-11T05:00:00Z, 10.86, 11.49, 10.43, 11.42, 11.42, 1851818
2022-01-10T05:00:00Z, 10.6, 10.69, 10.13, 10.34, 10.34, 1522048
2022-01-07T05:00:00Z, 10.93, 11.02, 10.37, 10.93, 10.93, 3008141
2022-01-06T05:00:00Z, 11.15, 11.3629, 10.84, 10.88, 10.88, 1667461
2022-01-05T05:00:00Z, 10.93, 11.31, 10.615, 10.76, 10.76, 2997621
2022-01-04T05:00:00Z, 10.3, 10.8, 10.08, 10.76, 10.76, 2051060
2022-01-03T05:00:00Z, 10.05, 10.25, 9.825, 10.15, 10.15, 2365703
2021-12-31T05:00:00Z, 9.88, 10.06, 9.66, 9.8, 9.8, 946433
2021-12-30T05:00:00Z, 10.2, 10.32, 10.04, 10.07, 10.07, 1101048
2021-12-29T05:00:00Z, 9.84, 10.06, 9.76, 10.02, 10.02, 1011097
2021-12-28T05:00:00Z, 10.36, 10.6, 9.96, 9.99, 9.99, 1171919
2021-12-27T05:00:00Z, 9.75, 10.32, 9.52, 10.31, 10.31, 812239
2021-12-23T05:00:00Z, 10.05, 10.1, 9.81, 9.82, 9.82, 595867
2021-12-22T05:00:00Z, 9.87, 10.105, 9.71, 10.02, 10.02, 740752
2021-12-21T05:00:00Z, 9.17, 10.04, 9, 10, 10, 1153398
2021-12-20T05:00:00Z, 8.89, 9.0187, 8.57, 8.94, 8.94, 1211950
2021-12-17T05:00:00Z, 9.18, 9.4, 8.9103, 9.32, 9.32, 2716864
2021-12-16T05:00:00Z, 9.66, 9.88, 9.255, 9.34, 9.34, 983042
2021-12-15T05:00:00Z, 9.57, 9.72, 9.092, 9.51, 9.51, 1267198
2021-12-14T05:00:00Z, 9.49, 9.8708, 9.36, 9.73, 9.73, 1166104
2021-12-13T05:00:00Z, 9.84, 9.8854, 9.3002, 9.61, 9.61, 1269725
2021-12-10T05:00:00Z, 10.39, 10.425, 9.6, 10, 10, 1377600
2021-12-09T05:00:00Z, 10.61, 10.66, 10.24, 10.29, 10.29, 1130594
2021-12-08T05:00:00Z, 10.88, 11.03, 10.67, 10.87, 10.87, 688586
2021-12-07T05:00:00Z, 10.85, 11.17, 10.71, 10.88, 10.88, 817730
2021-12-06T05:00:00Z, 10.02, 10.68, 9.84, 10.5, 10.5, 840105
2021-12-03T05:00:00Z, 10.19, 10.2, 9.71, 9.89, 9.89, 902704
2021-12-02T05:00:00Z, 9.41, 10.02, 9.24, 9.86, 9.86, 1178340
2021-12-01T05:00:00Z, 10.27, 10.45, 9.48, 9.48, 9.48, 1515234
2021-11-30T05:00:00Z, 10.15, 10.2064, 9.7563, 9.97, 9.97, 1293108
2021-11-29T05:00:00Z, 10.77, 10.77, 10.265, 10.37, 10.37, 1370456
2021-11-26T05:00:00Z, 9.98, 10.26, 9.66, 10.25, 10.25, 1232452
2021-11-24T05:00:00Z, 10.84, 11.15, 10.61, 10.98, 10.98, 979226
2021-11-23T05:00:00Z, 10.5, 10.71, 10.24, 10.62, 10.62, 1983251
2021-11-22T05:00:00Z, 10.31, 10.63, 10.17, 10.25, 10.25, 1742785
2021-11-19T05:00:00Z, 9.83, 9.9726, 9.47, 9.65, 9.65, 1973148
2021-11-18T05:00:00Z, 10.47, 10.619, 10.13, 10.21, 10.21, 1173019
2021-11-17T05:00:00Z, 10.64, 10.99, 10.36, 10.47, 10.47, 1497193
2021-11-16T05:00:00Z, 11.01, 11.3, 10.85, 11, 11, 1574746
2021-11-15T05:00:00Z, 10.63, 11.025, 10.25, 10.84, 10.84, 1575346
2021-11-12T05:00:00Z, 10.57, 10.65, 10.34, 10.5, 10.5, 1446764
2021-11-11T05:00:00Z, 10.84, 11.09, 10.61, 10.76, 10.76, 943312
2021-11-10T05:00:00Z, 11.53, 11.62, 10.68, 10.84, 10.84, 1527383
2021-11-09T05:00:00Z, 12, 12.07, 11.185, 11.59, 11.59, 3449995
2021-11-08T05:00:00Z, 13.29, 13.36, 12.8501, 13.05, 13.05, 542260
2021-11-05T04:00:00Z, 13.03, 13.25, 12.64, 13.01, 13.01, 641986
2021-11-04T04:00:00Z, 13.34, 13.86, 12.68, 12.88, 12.88, 854884
2021-11-03T04:00:00Z, 13.21, 13.57, 13.01, 13.22, 13.22, 614109
2021-11-02T04:00:00Z, 13.54, 13.55, 13.04, 13.27, 13.27, 568368
