Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 7.59, 7.9, 7.25, 7.72, 7.72, 3803484
2022-02-07T05:00:00Z, 7.7, 8.07, 7.6, 7.69, 7.69, 1669848
2022-02-04T05:00:00Z, 7.92, 7.96, 7.39, 7.7, 7.7, 1176788
2022-02-03T05:00:00Z, 8.4, 8.93, 7.89, 7.91, 7.91, 1375790
2022-02-02T05:00:00Z, 9.65, 9.72, 8.47, 8.72, 8.72, 1029233
2022-02-01T05:00:00Z, 9.27, 9.74, 8.98, 9.64, 9.64, 646417
2022-01-31T05:00:00Z, 8.37, 9.28, 8.21, 9.27, 9.27, 996467
2022-01-28T05:00:00Z, 8.24, 8.29, 7.66, 8.28, 8.28, 771489
2022-01-27T05:00:00Z, 8.66, 8.845, 8.02, 8.08, 8.08, 701010
2022-01-26T05:00:00Z, 9.01, 9.5717, 8.25, 8.35, 8.35, 947793
2022-01-25T05:00:00Z, 9.21, 9.41, 8.51, 8.71, 8.71, 638860
2022-01-24T05:00:00Z, 8.75, 9.5, 8.235, 9.42, 9.42, 1069506
2022-01-21T05:00:00Z, 9.2, 9.5, 9.01, 9.06, 9.06, 1317317
2022-01-20T05:00:00Z, 9.93, 10.59, 9.315, 9.4, 9.4, 707324
2022-01-19T05:00:00Z, 10.15, 10.26, 9.67, 9.82, 9.82, 640788
2022-01-18T05:00:00Z, 10.48, 10.55, 9.88, 9.93, 9.93, 645628
2022-01-14T05:00:00Z, 10.88, 11.22, 10.11, 10.76, 10.76, 933949
2022-01-13T05:00:00Z, 11.22, 11.51, 10.86, 10.88, 10.88, 677243
2022-01-12T05:00:00Z, 12.08, 12.0884, 11, 11.21, 11.21, 1054759
2022-01-11T05:00:00Z, 11.19, 11.93, 10.8922, 11.84, 11.84, 712828
2022-01-10T05:00:00Z, 11.47, 11.54, 10.55, 11.22, 11.22, 783486
2022-01-07T05:00:00Z, 11.62, 12.41, 11.53, 11.7, 11.7, 491710
2022-01-06T05:00:00Z, 11.9, 12.09, 11.31, 11.83, 11.83, 671929
2022-01-05T05:00:00Z, 12.45, 12.98, 11.86, 11.9, 11.9, 908364
2022-01-04T05:00:00Z, 13.64, 13.69, 12.31, 12.41, 12.41, 898824
2022-01-03T05:00:00Z, 13.03, 13.86, 12.53, 13.67, 13.67, 762506
2021-12-31T05:00:00Z, 13.35, 13.5, 12.445, 12.76, 12.76, 847282
2021-12-30T05:00:00Z, 12.81, 13.6, 12.805, 13.26, 13.26, 741303
2021-12-29T05:00:00Z, 12.79, 13.04, 12.6, 12.91, 12.91, 520475
2021-12-28T05:00:00Z, 13.63, 13.81, 12.87, 12.95, 12.95, 534611
2021-12-27T05:00:00Z, 13.45, 13.88, 13.265, 13.74, 13.74, 823133
2021-12-23T05:00:00Z, 13.15, 13.35, 12.75, 13.29, 13.29, 529660
2021-12-22T05:00:00Z, 13.16, 13.4, 12.85, 13.14, 13.14, 594754
