Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 6.02, 6.26, 5.92, 6.25, 6.25, 12631202
2022-02-07T05:00:00Z, 5.99, 6.23, 5.91, 6.03, 6.03, 14831145
2022-02-04T05:00:00Z, 5.65, 6.02, 5.63, 5.95, 5.95, 14269006
2022-02-03T05:00:00Z, 5.88, 5.92, 5.63, 5.65, 5.65, 11664858
2022-02-02T05:00:00Z, 6.17, 6.25, 5.89, 5.98, 5.98, 15220252
2022-02-01T05:00:00Z, 6.03, 6.36, 5.84, 6.22, 6.22, 20377065
2022-01-31T05:00:00Z, 5.49, 6.01, 5.47, 5.96, 5.96, 18646955
2022-01-28T05:00:00Z, 5.22, 5.52, 5.15, 5.48, 5.48, 19725963
2022-01-27T05:00:00Z, 5.57, 5.625, 5.15, 5.22, 5.22, 23923404
2022-01-26T05:00:00Z, 5.84, 5.87, 5.46, 5.56, 5.56, 20686619
2022-01-25T05:00:00Z, 5.69, 5.87, 5.55, 5.72, 5.72, 15220462
2022-01-24T05:00:00Z, 5.5, 5.85, 5.2, 5.84, 5.84, 28762102
2022-01-21T05:00:00Z, 5.82, 6.08, 5.7, 5.79, 5.79, 25096790
2022-01-20T05:00:00Z, 6, 6.34, 5.9, 5.92, 5.92, 24200165
2022-01-19T05:00:00Z, 6.33, 6.405, 5.94, 5.97, 5.97, 25164673
2022-01-18T05:00:00Z, 6.7, 6.79, 6.27, 6.29, 6.29, 21705913
2022-01-14T05:00:00Z, 6.78, 6.95, 6.63, 6.86, 6.86, 18046111
2022-01-13T05:00:00Z, 7.19, 7.31, 6.85, 6.87, 6.87, 16637743
2022-01-12T05:00:00Z, 7.46, 7.7, 7.07, 7.15, 7.15, 23451043
2022-01-11T05:00:00Z, 6.96, 7.56, 6.8, 7.38, 7.38, 33490314
2022-01-10T05:00:00Z, 7.12, 7.84, 6.95, 7.29, 7.29, 107111417
2022-01-07T05:00:00Z, 6.49, 6.77, 6.29, 6.42, 6.42, 27443494
2022-01-06T05:00:00Z, 6.66, 6.84, 6.355, 6.44, 6.44, 27289772
2022-01-05T05:00:00Z, 7.08, 7.29, 6.61, 6.63, 6.63, 30008984
2022-01-04T05:00:00Z, 7.4, 7.48, 6.96, 7.11, 7.11, 24622695
2022-01-03T05:00:00Z, 7.19, 7.695, 7.08, 7.39, 7.39, 21604683
2021-12-31T05:00:00Z, 7.21, 7.485, 7.03, 7.03, 7.03, 20255941
2021-12-30T05:00:00Z, 7.02, 7.56, 7, 7.28, 7.28, 28740237
2021-12-29T05:00:00Z, 7.27, 7.38, 6.97, 7.05, 7.05, 23466358
2021-12-28T05:00:00Z, 7.53, 7.68, 7.25, 7.28, 7.28, 18199257
2021-12-27T05:00:00Z, 7.82, 7.85, 7.525, 7.61, 7.61, 16313018
2021-12-23T05:00:00Z, 7.76, 7.955, 7.53, 7.84, 7.84, 16615833
2021-12-22T05:00:00Z, 7.75, 7.89, 7.58, 7.74, 7.74, 12365288
2021-12-21T05:00:00Z, 7.5, 7.93, 7.47, 7.85, 7.85, 19968669
2021-12-20T05:00:00Z, 7.73, 7.825, 7.31, 7.46, 7.46, 22864614
2021-12-17T05:00:00Z, 7.7, 8.11, 7.4, 7.98, 7.98, 27190492
2021-12-16T05:00:00Z, 8.19, 8.395, 7.76, 7.88, 7.88, 18539309
2021-12-15T05:00:00Z, 8.05, 8.23, 7.67, 8.14, 8.14, 22434696
2021-12-14T05:00:00Z, 8.06, 8.435, 7.94, 8.05, 8.05, 16314038
2021-12-13T05:00:00Z, 8.5, 8.58, 8.08, 8.29, 8.29, 20168910
2021-12-10T05:00:00Z, 8.97, 9.0682, 8.51, 8.62, 8.62, 20137403
2021-12-09T05:00:00Z, 9.49, 9.75, 8.92, 8.94, 8.94, 19084090
2021-12-08T05:00:00Z, 9.5, 9.935, 9.23, 9.61, 9.61, 16711285
2021-12-07T05:00:00Z, 9.3, 9.6379, 9.25, 9.44, 9.44, 16522497
2021-12-06T05:00:00Z, 8.795, 9.35, 8.44, 9.15, 9.15, 18876344
2021-12-03T05:00:00Z, 9.52, 9.5473, 8.69, 8.95, 8.95, 25994484
2021-12-02T05:00:00Z, 9.26, 9.6, 9.1, 9.54, 9.54, 21362165
2021-12-01T05:00:00Z, 10.2, 10.26, 9.1334, 9.27, 9.27, 29300374
2021-11-30T05:00:00Z, 10.22, 10.5107, 9.65, 10.12, 10.12, 21883241
2021-11-29T05:00:00Z, 10.59, 10.62, 10.03, 10.25, 10.25, 20591637
2021-11-26T05:00:00Z, 10.4, 10.73, 10.3, 10.57, 10.57, 12161838
2021-11-24T05:00:00Z, 10.53, 11.05, 10.32, 10.9, 10.9, 15538081
2021-11-23T05:00:00Z, 10.47, 10.91, 10.24, 10.5, 10.5, 18232493
2021-11-22T05:00:00Z, 11.06, 11.2, 10.22, 10.49, 10.49, 23342270
2021-11-19T05:00:00Z, 11.14, 11.4, 10.7, 10.93, 10.93, 24093818
2021-11-18T05:00:00Z, 11.92, 12.14, 10.7, 10.9, 10.9, 42784276
2021-11-17T05:00:00Z, 12.73, 13.15, 12.3, 12.34, 12.34, 16253453
2021-11-16T05:00:00Z, 12.78, 13.3, 12.26, 12.97, 12.97, 28667776
2021-11-15T05:00:00Z, 13.35, 13.95, 12.97, 13.03, 13.03, 61288417
2021-11-12T05:00:00Z, 12.56, 13.07, 12.11, 12.94, 12.94, 56200474
2021-11-11T05:00:00Z, 11.67, 12.125, 11.57, 11.86, 11.86, 17104047
2021-11-10T05:00:00Z, 11.96, 12.4501, 11.4, 11.52, 11.52, 21169908
2021-11-09T05:00:00Z, 12.15, 12.705, 11.51, 12.38, 12.38, 33212700
2021-11-08T05:00:00Z, 10.72, 12.57, 10.685, 12.37, 12.37, 48925876
2021-11-05T04:00:00Z, 10.74, 10.77, 10.16, 10.7, 10.7, 24611244
2021-11-04T04:00:00Z, 11.13, 11.28, 10.695, 10.81, 10.81, 14915359
2021-11-03T04:00:00Z, 10.38, 11.09, 10.315, 10.86, 10.86, 17924252
2021-11-02T04:00:00Z, 10.7, 10.725, 10.235, 10.42, 10.42, 14972534
2021-11-01T04:00:00Z, 10.22, 10.88, 10.1, 10.75, 10.75, 17391050
2021-10-29T04:00:00Z, 10.46, 10.64, 10.22, 10.3, 10.3, 11160882
2021-10-28T04:00:00Z, 10.33, 10.57, 10.19, 10.5, 10.5, 11161962
2021-10-27T04:00:00Z, 10.7, 10.83, 10.29, 10.3, 10.3, 15019022
2021-10-26T04:00:00Z, 11.07, 11.14, 10.58, 10.71, 10.71, 15129839
