Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 22.8, 22.96, 22.585, 22.74, 22.74, 1595677
2022-02-07T05:00:00Z, 23.13, 23.33, 22.95, 23.28, 23.28, 1957081
2022-02-04T05:00:00Z, 23.62, 23.76, 23.06, 23.17, 23.17, 2754768
2022-02-03T05:00:00Z, 23.93, 24.46, 23.78, 24.3, 24.3, 1680769
2022-02-02T05:00:00Z, 24.72, 25.5499, 24.68, 24.84, 24.84, 2337809
2022-02-01T05:00:00Z, 24.865, 24.93, 24.24, 24.57, 24.57, 2280296
2022-01-31T05:00:00Z, 24.71, 25.13, 24.6, 24.82, 24.82, 2357665
2022-01-28T05:00:00Z, 24.66, 25.4, 24.55, 25.23, 25.23, 1843869
2022-01-27T05:00:00Z, 24.84, 25.35, 24.82, 25.19, 25.19, 2939254
2022-01-26T05:00:00Z, 24.83, 24.96, 23.89, 23.92, 23.92, 4301437
2022-01-25T05:00:00Z, 25.23, 25.565, 24.575, 24.75, 24.75, 2054795
2022-01-24T05:00:00Z, 25.89, 25.9393, 24.88, 24.92, 24.92, 4349323
2022-01-21T05:00:00Z, 25.42, 25.79, 25.03, 25.59, 25.59, 3329685
2022-01-20T05:00:00Z, 24.38, 24.68, 24.225, 24.67, 24.67, 1951980
2022-01-19T05:00:00Z, 23.935, 24.53, 23.83, 24.25, 24.25, 2096428
2022-01-18T05:00:00Z, 24.18, 24.36, 23.68, 23.68, 23.68, 2622999
2022-01-14T05:00:00Z, 25.49, 25.518, 24.61, 24.8, 24.8, 2756060
2022-01-13T05:00:00Z, 25.47, 26.025, 25.2962, 25.98, 25.98, 2375410
2022-01-12T05:00:00Z, 25.78, 25.81, 25.27, 25.27, 25.27, 2650135
2022-01-11T05:00:00Z, 25.21, 25.6, 25.12, 25.54, 25.54, 1827735
2022-01-10T05:00:00Z, 24.55, 25.19, 24.42, 25.08, 25.08, 2550793
2022-01-07T05:00:00Z, 25.38, 25.4198, 24.52, 24.93, 24.93, 1955292
2022-01-06T05:00:00Z, 25.06, 25.525, 24.93, 25.44, 25.44, 2811996
2022-01-05T05:00:00Z, 25.92, 25.92, 25.155, 25.3, 25.3, 2680704
2022-01-04T05:00:00Z, 25.63, 25.9059, 25.15, 25.68, 25.68, 2962179
2022-01-03T05:00:00Z, 27.235, 27.51, 26, 26.02, 26.02, 4191167
2021-12-31T05:00:00Z, 28.03, 28.71, 27.79, 28.14, 28.14, 2196825
2021-12-30T05:00:00Z, 27.7, 28.12, 27.2525, 28.08, 28.08, 2027180
2021-12-29T05:00:00Z, 27.525, 27.74, 27.2377, 27.35, 27.35, 2216882
2021-12-28T05:00:00Z, 29.075, 29.15, 28.15, 28.33, 28.33, 1508415
2021-12-27T05:00:00Z, 28.43, 28.72, 28.325, 28.62, 28.62, 1508428
2021-12-23T05:00:00Z, 29.06, 29.09, 28.165, 28.48, 28.48, 1246617
2021-12-22T05:00:00Z, 29.165, 29.24, 28.77, 29.22, 29.22, 1289243
2021-12-21T05:00:00Z, 28.22, 28.86, 27.93, 28.82, 28.82, 2100742
2021-12-20T05:00:00Z, 29.79, 29.93, 29.09, 29.18, 29.18, 1508527
2021-12-17T05:00:00Z, 29.56, 29.92, 29.44, 29.75, 29.75, 1682795
2021-12-16T05:00:00Z, 28.66, 29.28, 28.62, 28.85, 28.85, 2034829
2021-12-15T05:00:00Z, 29.05, 29.72, 28.755, 28.83, 28.83, 2523502
2021-12-14T05:00:00Z, 29.46, 29.8, 28.855, 29.67, 29.67, 1099441
2021-12-13T05:00:00Z, 29.52, 30.02, 29.458, 29.87, 29.87, 1738881
2021-12-10T05:00:00Z, 29.21, 29.42, 28.59, 28.6, 28.6, 1425339
2021-12-09T05:00:00Z, 28.905, 29.19, 28.41, 28.87, 28.87, 2222927
2021-12-08T05:00:00Z, 29.58, 29.6, 28.34, 28.34, 28.34, 2548558
2021-12-07T05:00:00Z, 30.32, 30.814, 29.82, 29.91, 29.91, 1423911
2021-12-06T05:00:00Z, 31.78, 31.98, 30.48, 30.66, 30.66, 2046645
2021-12-03T05:00:00Z, 30.35, 32.435, 30.1596, 31.99, 31.99, 2129900
2021-12-02T05:00:00Z, 31.11, 31.1565, 30.295, 30.89, 30.89, 1302510
2021-12-01T05:00:00Z, 29.66, 30.79, 29.2498, 30.75, 30.75, 2562475
2021-11-30T05:00:00Z, 29.79, 30.475, 29.42, 30.22, 30.22, 2835111
2021-11-29T05:00:00Z, 28.28, 29.07, 28.21, 28.89, 28.89, 1322593
2021-11-26T05:00:00Z, 28.64, 29.65, 28.56, 29.41, 29.41, 1661748
2021-11-24T05:00:00Z, 26.51, 27.52, 26.41, 27.49, 27.49, 886689
2021-11-23T05:00:00Z, 27.05, 27.15, 26.27, 26.29, 26.29, 1176348
2021-11-22T05:00:00Z, 27.91, 28.0392, 27.18, 27.46, 27.46, 1060919
2021-11-19T05:00:00Z, 28.03, 28.585, 28.015, 28.47, 28.47, 1124601
2021-11-18T05:00:00Z, 27.14, 27.63, 27.1, 27.52, 27.52, 869032
2021-11-17T05:00:00Z, 26.345, 27.3, 26.2999, 27.3, 27.3, 1459371
2021-11-16T05:00:00Z, 26.96, 27.34, 26.5, 26.65, 26.65, 1226389
2021-11-15T05:00:00Z, 27.635, 27.6999, 26.705, 26.86, 26.86, 1422585
2021-11-12T05:00:00Z, 28.31, 28.56, 27.56, 27.9, 27.9, 811148
2021-11-11T05:00:00Z, 28.565, 28.655, 28.2201, 28.3, 28.3, 519615
2021-11-10T05:00:00Z, 29.965, 30.03, 27.7, 28.41, 28.41, 2449298
2021-11-09T05:00:00Z, 29.97, 30.51, 29.86, 30.03, 30.03, 1168224
2021-11-08T05:00:00Z, 28.88, 29.07, 28.63, 28.95, 28.95, 1037314
2021-11-05T04:00:00Z, 28.64, 29.2411, 28.43, 29.06, 29.06, 1031679
2021-11-04T04:00:00Z, 27.165, 27.99, 27.1505, 27.82, 27.82, 1338002
2021-11-03T04:00:00Z, 28.29, 28.36, 27, 27.01, 27.01, 1355884
2021-11-02T04:00:00Z, 27.535, 28.1327, 27.52, 27.84, 27.84, 926843
2021-11-01T04:00:00Z, 27.13, 27.6601, 27.08, 27.49, 27.49, 1162416
2021-10-29T04:00:00Z, 27.43, 28.27, 27.32, 28.14, 28.14, 1448357
2021-10-28T04:00:00Z, 28.19, 28.48, 27.64, 27.82, 27.82, 1369150
2021-10-27T04:00:00Z, 27.425, 28.37, 27.15, 28.14, 28.14, 1150188
2021-10-26T04:00:00Z, 26.4, 26.69, 25.96, 26.69, 26.69, 546995
2021-10-25T04:00:00Z, 25.89, 26.25, 25.89, 26.02, 26.02, 604836
2021-10-22T04:00:00Z, 25.8, 26.3, 25.68, 26.12, 26.12, 969338
2021-10-21T04:00:00Z, 25.58, 25.64, 25.15, 25.36, 25.36, 1319571
2021-10-20T04:00:00Z, 25.71, 25.93, 25.31, 25.42, 25.42, 1534715
2021-10-19T04:00:00Z, 26.44, 26.51, 25.93, 25.99, 25.99, 765808
2021-10-18T04:00:00Z, 26.68, 27.23, 26.43, 27.03, 27.03, 580716
2021-10-15T04:00:00Z, 26.69, 26.741, 26.38, 26.72, 26.72, 516691
2021-10-14T04:00:00Z, 26.89, 27.21, 26.6501, 27.17, 27.17, 689947
2021-10-13T04:00:00Z, 26.52, 26.97, 26.46, 26.88, 26.88, 1668964
2021-10-12T04:00:00Z, 25.41, 26.15, 25.3499, 26.09, 26.09, 1997639
2021-10-11T04:00:00Z, 24.85, 25.025, 24.805, 24.84, 24.84, 1480186
2021-10-08T04:00:00Z, 25.16, 25.27, 24.84, 25.01, 25.01, 1308218
2021-10-07T04:00:00Z, 25.73, 25.8, 25.4001, 25.57, 25.57, 1217732
2021-10-06T04:00:00Z, 26.34, 26.57, 26.205, 26.37, 26.37, 902002
2021-10-05T04:00:00Z, 26.51, 26.56, 25.89, 25.99, 25.99, 1028087
2021-10-04T04:00:00Z, 26.53, 26.99, 26.24, 26.72, 26.72, 1540380
2021-10-01T04:00:00Z, 26.61, 26.97, 26.31, 26.91, 26.91, 1464085
2021-09-30T04:00:00Z, 26.16, 26.37, 25.9211, 26.28, 26.28, 2268097
2021-09-29T04:00:00Z, 26.51, 26.87, 25.96, 26.33, 26.33, 1881590
2021-09-28T04:00:00Z, 26.285, 26.71, 25.91, 26.15, 26.15, 2017282
2021-09-27T04:00:00Z, 27.255, 27.72, 27.17, 27.47, 27.47, 1388584
2021-09-24T04:00:00Z, 28.27, 28.31, 27.65, 27.77, 27.77, 1526156
2021-09-23T04:00:00Z, 29.83, 29.86, 28.59, 28.59, 28.59, 2207393
2021-09-22T04:00:00Z, 30.09, 30.67, 29.88, 30.65, 30.65, 2200603
2021-09-21T04:00:00Z, 30.02, 30.19, 29.73, 30.16, 30.16, 1052811
2021-09-20T04:00:00Z, 29.97, 30.43, 29.76, 30.24, 30.24, 1967720
2021-09-17T04:00:00Z, 29.12, 29.25, 28.87, 29.14, 29.14, 824760
2021-09-16T04:00:00Z, 29.43, 29.9, 29.34, 29.6, 29.6, 957459
2021-09-15T04:00:00Z, 30.3, 30.3888, 29.6, 29.99, 29.99, 1101419
2021-09-14T04:00:00Z, 29.49, 30.57, 29.41, 30.29, 30.29, 1388011
2021-09-13T04:00:00Z, 29.09, 29.35, 29.0312, 29.29, 29.29, 998526
2021-09-10T04:00:00Z, 29.03, 29.18, 28.58, 28.74, 28.74, 1095931
2021-09-09T04:00:00Z, 28.62, 29.6, 28.4215, 29.5, 29.5, 1359795
2021-09-08T04:00:00Z, 28.33, 28.62, 28.17, 28.49, 28.49, 952332
2021-09-07T04:00:00Z, 28.11, 28.2483, 27.76, 27.92, 27.92, 1390925
2021-09-03T04:00:00Z, 28.65, 28.82, 28.5, 28.67, 28.67, 884315
2021-09-02T04:00:00Z, 29.29, 29.445, 28.98, 29.43, 29.43, 898653
2021-09-01T04:00:00Z, 29.295, 29.34, 28.81, 29.05, 29.05, 1254328
2021-08-31T04:00:00Z, 29.41, 29.66, 28.7399, 28.96, 28.96, 1762433
2021-08-30T04:00:00Z, 29.015, 29.55, 28.9887, 29.51, 29.51, 1141949
2021-08-27T04:00:00Z, 28.77, 29.31, 28.64, 29.25, 29.25, 1743123
2021-08-26T04:00:00Z, 28.415, 28.77, 28.16, 28.77, 28.77, 3203318
2021-08-25T04:00:00Z, 29.19, 29.26, 28.205, 28.47, 28.47, 1204681
2021-08-24T04:00:00Z, 29.49, 29.68, 29.22, 29.24, 29.24, 1227042
2021-08-23T04:00:00Z, 29.76, 29.9387, 29.6, 29.89, 29.89, 1094349
2021-08-20T04:00:00Z, 30, 30.13, 29.713, 29.98, 29.98, 1382841
2021-08-19T04:00:00Z, 29.83, 29.93, 29.5475, 29.93, 29.93, 2245342
2021-08-18T04:00:00Z, 28.91, 29.34, 28.7486, 29.29, 29.29, 2033144
2021-08-17T04:00:00Z, 29.01, 29.3439, 28.872, 29, 29, 1189033
2021-08-16T04:00:00Z, 29.19, 29.67, 28.96, 28.99, 28.99, 1284739
2021-08-13T04:00:00Z, 27.85, 28.81, 27.835, 28.79, 28.79, 2081651
2021-08-12T04:00:00Z, 27.36, 27.62, 27.05, 27.55, 27.55, 1983333
2021-08-11T04:00:00Z, 27.63, 28.07, 27.21, 27.63, 27.63, 2739818
2021-08-10T04:00:00Z, 28.24, 28.27, 27.6954, 27.71, 27.71, 1757804
2021-08-09T04:00:00Z, 28.62, 28.845, 28.08, 28.09, 28.09, 1966964
2021-08-06T04:00:00Z, 28.71, 28.98, 28.35, 28.42, 28.42, 3063153
2021-08-05T04:00:00Z, 30.17, 30.28, 29.74, 29.91, 29.91, 1441556
2021-08-04T04:00:00Z, 30.63, 30.82, 29.56, 30.36, 30.36, 1886069
2021-08-03T04:00:00Z, 30.16, 30.47, 29.97, 30.18, 30.18, 1758992
2021-08-02T04:00:00Z, 29.425, 30.46, 29.27, 30.11, 30.11, 2320398
2021-07-30T04:00:00Z, 29.13, 29.47, 29.1, 29.36, 29.36, 2846230
2021-07-29T04:00:00Z, 28.93, 29.18, 28.78, 28.95, 28.95, 1489478
2021-07-28T04:00:00Z, 28.87, 29.445, 28.67, 29.44, 29.44, 2375459
2021-07-27T04:00:00Z, 29.28, 29.47, 29.065, 29.45, 29.45, 1971569
2021-07-26T04:00:00Z, 29.07, 29.115, 28.43, 28.55, 28.55, 1474683
2021-07-23T04:00:00Z, 28.45, 28.8786, 28.42, 28.81, 28.81, 1330737
2021-07-22T04:00:00Z, 28.54, 29.55, 28.5364, 29.33, 29.33, 1699149
2021-07-21T04:00:00Z, 28.61, 28.8, 28.06, 28.57, 28.57, 1974111
2021-07-20T04:00:00Z, 31.23, 31.359, 29.5567, 29.71, 29.71, 2049240
2021-07-19T04:00:00Z, 30.295, 30.87, 30.1, 30.57, 30.57, 4548734
2021-07-16T04:00:00Z, 28.17, 28.7799, 28.185, 28.73, 28.73, 1237853
2021-07-15T04:00:00Z, 28.57, 28.93, 28.04, 28.82, 28.82, 1426603
2021-07-14T04:00:00Z, 27.48, 27.96, 27.36, 27.94, 27.94, 1422574
2021-07-13T04:00:00Z, 27.94, 28.3, 26.73, 26.98, 26.98, 1755700
2021-07-12T04:00:00Z, 28.08, 28.16, 27.563, 27.67, 27.67, 1400130
2021-07-09T04:00:00Z, 27.96, 28.03, 27.74, 27.78, 27.78, 1611022
2021-07-08T04:00:00Z, 29.11, 29.47, 28.74, 29.01, 29.01, 1931097
2021-07-07T04:00:00Z, 28.38, 28.96, 28.2, 28.66, 28.66, 1773333
2021-07-06T04:00:00Z, 27.37, 28.05, 27.34, 27.89, 27.89, 2000036
2021-07-02T04:00:00Z, 26.53, 26.97, 26.47, 26.96, 26.96, 771765
2021-07-01T04:00:00Z, 26.385, 26.57, 26.14, 26.48, 26.48, 1216302
2021-06-30T04:00:00Z, 26.44, 26.8, 26.34, 26.47, 26.47, 1901370
2021-06-29T04:00:00Z, 25.84, 26.17, 25.81, 26.17, 26.17, 941182
2021-06-28T04:00:00Z, 25.61, 26.19, 25.6, 25.83, 25.83, 1578986
2021-06-25T04:00:00Z, 25.95, 26.01, 24.8814, 25.28, 25.28, 1203041
2021-06-24T04:00:00Z, 26, 26.26, 25.96, 26.05, 26.05, 896684
2021-06-23T04:00:00Z, 25.825, 26.04, 25.62, 25.93, 25.93, 1348489
2021-06-22T04:00:00Z, 25.32, 26.14, 25.3, 26.09, 26.09, 1200565
2021-06-21T04:00:00Z, 26.58, 26.63, 25.8, 25.97, 25.97, 1883180
2021-06-18T04:00:00Z, 26.56, 27.49, 26.46, 27.28, 27.28, 1905781
2021-06-17T04:00:00Z, 25.2, 26.88, 25.1308, 25.87, 25.87, 2539497
2021-06-16T04:00:00Z, 25, 25.15, 24.38, 24.61, 24.61, 1477856
2021-06-15T04:00:00Z, 24.685, 24.84, 24.53, 24.84, 24.84, 1158812
2021-06-14T04:00:00Z, 25.36, 25.38, 24.805, 24.93, 24.93, 804085
2021-06-11T04:00:00Z, 25.52, 25.55, 25.2536, 25.49, 25.49, 495666
2021-06-10T04:00:00Z, 24.72, 25.66, 24.64, 25.65, 25.65, 1323660
2021-06-09T04:00:00Z, 25.2, 25.42, 24.955, 25.18, 25.18, 614054
2021-06-08T04:00:00Z, 24.63, 24.65, 24.4201, 24.52, 24.52, 780882
2021-06-07T04:00:00Z, 24.08, 24.135, 23.96, 24.01, 24.01, 447603
2021-06-04T04:00:00Z, 23.58, 24.25, 23.56, 24.2, 24.2, 663160
2021-06-03T04:00:00Z, 23.56, 23.56, 23.22, 23.29, 23.29, 612531
2021-06-02T04:00:00Z, 23.57, 23.6988, 23.46, 23.58, 23.58, 346229
2021-06-01T04:00:00Z, 23.21, 23.46, 22.91, 23.42, 23.42, 610169
2021-05-28T04:00:00Z, 23.48, 23.85, 23.36, 23.36, 23.36, 516841
2021-05-27T04:00:00Z, 23.47, 23.55, 23.19, 23.55, 23.55, 442094
2021-05-26T04:00:00Z, 24.05, 24.16, 23.65, 23.81, 23.81, 1100112
2021-05-25T04:00:00Z, 23.52, 23.97, 23.52, 23.97, 23.97, 413929
2021-05-24T04:00:00Z, 23.18, 23.5093, 23.16, 23.27, 23.27, 360257
2021-05-21T04:00:00Z, 23.05, 23.07, 22.77, 23.06, 23.06, 349453
2021-05-20T04:00:00Z, 22.61, 22.95, 22.5505, 22.85, 22.85, 544176
2021-05-19T04:00:00Z, 22.5, 22.86, 22.04, 22.29, 22.29, 781197
2021-05-18T04:00:00Z, 22.44, 22.51, 22.27, 22.45, 22.45, 426956
2021-05-17T04:00:00Z, 22.63, 22.8, 22.52, 22.61, 22.61, 650239
2021-05-14T04:00:00Z, 22.48, 22.75, 22.35, 22.74, 22.74, 631224
2021-05-13T04:00:00Z, 22.2, 22.41, 22.06, 22.13, 22.13, 587374
2021-05-12T04:00:00Z, 22.58, 22.64, 21.93, 22.08, 22.08, 895459
2021-05-11T04:00:00Z, 22.84, 22.98, 22.62, 22.67, 22.67, 772262
2021-05-10T04:00:00Z, 23.75, 23.9, 23.11, 23.19, 23.19, 1095007
2021-05-07T04:00:00Z, 24.31, 24.61, 23.749, 23.89, 23.89, 1904370
2021-05-06T04:00:00Z, 23.9, 24.39, 23.8799, 24.24, 24.24, 469943
2021-05-05T04:00:00Z, 23.78, 24.205, 23.73, 24.12, 24.12, 545677
2021-05-04T04:00:00Z, 24.04, 24.37, 23.86, 23.99, 23.99, 983213
2021-05-03T04:00:00Z, 23.64, 24.1, 23.43, 23.54, 23.54, 1064630
2021-04-30T04:00:00Z, 23.44, 23.53, 23.165, 23.44, 23.44, 720237
2021-04-29T04:00:00Z, 22.89, 23.36, 22.7334, 23.34, 23.34, 887180
2021-04-28T04:00:00Z, 23.49, 23.6103, 23.18, 23.53, 23.53, 852027
2021-04-27T04:00:00Z, 23.98, 24.11, 23.44, 23.52, 23.52, 996487
2021-04-26T04:00:00Z, 24.275, 24.47, 24.12, 24.12, 24.12, 607813
2021-04-23T04:00:00Z, 24.435, 24.455, 23.95, 24.22, 24.22, 442790
2021-04-22T04:00:00Z, 24.26, 24.42, 23.81, 24.42, 24.42, 630997
2021-04-21T04:00:00Z, 24.01, 24.1786, 23.75, 24.1, 24.1, 827440
