Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 24.11, 24.215, 24.07, 24.14, 24.14, 1541591
2022-02-07T05:00:00Z, 24.17, 24.27, 24.03, 24.18, 24.18, 1543886
2022-02-04T05:00:00Z, 23.985, 24.26, 23.94, 24.16, 24.16, 1411538
2022-02-03T05:00:00Z, 23.86, 24.25, 23.76, 24.12, 24.12, 2730907
2022-02-02T05:00:00Z, 23.7, 23.99, 23.62, 23.89, 23.89, 1469829
2022-02-01T05:00:00Z, 23.53, 23.66, 23.38, 23.59, 23.59, 2251312
2022-01-31T05:00:00Z, 23.39, 23.61, 23.31, 23.53, 23.53, 1064923
2022-01-28T05:00:00Z, 23.09, 23.4175, 23.03, 23.41, 23.41, 1452584
2022-01-27T05:00:00Z, 23.38, 23.515, 23.16, 23.17, 23.17, 1318017
2022-01-26T05:00:00Z, 23.52, 23.84, 23.18, 23.31, 23.31, 2120986
2022-01-25T05:00:00Z, 22.96, 23.575, 22.81, 23.41, 23.41, 1471823
2022-01-24T05:00:00Z, 23.14, 23.24, 22.74, 23.14, 23.14, 1555744
2022-01-21T05:00:00Z, 23.62, 23.65, 23.26, 23.33, 23.33, 1253349
2022-01-20T05:00:00Z, 23.82, 23.985, 23.65, 23.66, 23.66, 928968
2022-01-19T05:00:00Z, 23.89, 23.99, 23.71, 23.79, 23.79, 1407018
2022-01-18T05:00:00Z, 23.745, 24, 23.67, 23.91, 23.91, 919179
2022-01-14T05:00:00Z, 23.81, 23.84, 23.59, 23.76, 23.76, 1446909
2022-01-13T05:00:00Z, 23.74, 23.955, 23.67, 23.81, 23.81, 846203
2022-01-12T05:00:00Z, 23.65, 23.78, 23.6, 23.67, 23.67, 1199433
2022-01-11T05:00:00Z, 23.43, 23.65, 23.2073, 23.56, 23.56, 875708
2022-01-10T05:00:00Z, 23.42, 23.44, 23.135, 23.25, 23.25, 1051437
2022-01-07T05:00:00Z, 23.27, 23.5072, 23.16, 23.45, 23.45, 752759
2022-01-06T05:00:00Z, 23.29, 23.47, 23.2, 23.39, 23.39, 777796
2022-01-05T05:00:00Z, 23.4, 23.605, 23.3, 23.31, 23.31, 1313972
2022-01-04T05:00:00Z, 23.55, 23.65, 23.41, 23.44, 23.44, 1197988
2022-01-03T05:00:00Z, 23.59, 23.74, 23.555, 23.59, 23.59, 404720
2021-12-31T05:00:00Z, 23.43, 23.61, 23.38, 23.57, 23.57, 893465
2021-12-30T05:00:00Z, 23.395, 23.43, 23.23, 23.38, 23.38, 676766
2021-12-29T05:00:00Z, 23.3, 23.38, 23.21, 23.33, 23.33, 849939
2021-12-28T05:00:00Z, 23.43, 23.51, 23.345, 23.36, 23.36, 648334
2021-12-27T05:00:00Z, 23.31, 23.48, 23.1863, 23.47, 23.47, 442104
2021-12-23T05:00:00Z, 23.29, 23.36, 23.21, 23.23, 23.23, 589067
2021-12-22T05:00:00Z, 23.13, 23.29, 23.01, 23.28, 23.28, 698713
2021-12-21T05:00:00Z, 23.07, 23.18, 22.98, 23.01, 23.01, 1015011
2021-12-20T05:00:00Z, 22.73, 22.98, 22.66, 22.97, 22.97, 982626
2021-12-17T05:00:00Z, 22.65, 23.13, 22.48, 22.92, 22.92, 1217563
2021-12-16T05:00:00Z, 22.89, 23.035, 22.84, 22.96, 22.96, 822961
2021-12-15T05:00:00Z, 22.73, 22.895, 22.61, 22.81, 22.81, 1035735
2021-12-14T05:00:00Z, 22.79, 22.9, 22.59, 22.72, 22.72, 914290
2021-12-13T05:00:00Z, 23.03, 23.12, 22.785, 22.85, 22.85, 1117812
2021-12-10T05:00:00Z, 22.92, 23.2, 22.8, 23.11, 23.11, 1319466
2021-12-09T05:00:00Z, 22.925, 23.02, 22.81, 22.86, 22.86, 865552
2021-12-08T05:00:00Z, 23.62, 23.67, 23.285, 23.33, 23.33, 943413
2021-12-07T05:00:00Z, 23.53, 23.725, 23.5, 23.62, 23.62, 1056888
2021-12-06T05:00:00Z, 23.2, 23.39, 23.15, 23.34, 23.34, 1376691
2021-12-03T05:00:00Z, 23.01, 23.13, 22.925, 23.02, 23.02, 725811
2021-12-02T05:00:00Z, 22.89, 23.14, 22.82, 22.97, 22.97, 1024133
2021-12-01T05:00:00Z, 23.06, 23.24, 22.84, 22.84, 22.84, 964905
2021-11-30T05:00:00Z, 23.08, 23.08, 22.7, 22.86, 22.86, 1393453
2021-11-29T05:00:00Z, 23.15, 23.16, 22.91, 23.13, 23.13, 944761
2021-11-26T05:00:00Z, 22.93, 23.12, 22.84, 22.98, 22.98, 664916
2021-11-24T05:00:00Z, 23, 23.33, 22.94, 23.3, 23.3, 912894
2021-11-23T05:00:00Z, 22.915, 23.08, 22.78, 23.06, 23.06, 863573
2021-11-22T05:00:00Z, 23.04, 23.12, 22.87, 22.9, 22.9, 980885
2021-11-19T05:00:00Z, 23.035, 23.06, 22.915, 23.01, 23.01, 660969
2021-11-18T05:00:00Z, 22.95, 23.08, 22.83, 23.03, 23.03, 735882
2021-11-17T05:00:00Z, 22.91, 22.92, 22.77, 22.92, 22.92, 887629
2021-11-16T05:00:00Z, 23.08, 23.16, 22.97, 22.97, 22.97, 632842
2021-11-15T05:00:00Z, 23.2, 23.24, 23.04, 23.06, 23.06, 558120
2021-11-12T05:00:00Z, 22.99, 23.15, 22.95, 23.12, 23.12, 815828
2021-11-11T05:00:00Z, 23.23, 23.37, 22.88, 23, 23, 1788965
2021-11-10T05:00:00Z, 23.5, 23.655, 23.39, 23.39, 23.39, 819504
2021-11-09T05:00:00Z, 23.42, 23.51, 23.36, 23.5, 23.5, 850863
2021-11-08T05:00:00Z, 23.38, 23.56, 23.26, 23.42, 23.42, 886714
2021-11-05T04:00:00Z, 22.795, 23.34, 22.69, 23.25, 23.25, 1226915
