Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 16.92, 17.405, 16.89, 17.28, 17.28, 2037312
2022-02-07T05:00:00Z, 17.13, 17.18, 16.845, 16.89, 16.89, 2473365
2022-02-04T05:00:00Z, 17.09, 17.25, 16.35, 17.03, 17.03, 3898214
2022-02-03T05:00:00Z, 16, 16.27, 15.525, 15.64, 15.64, 3640597
2022-02-02T05:00:00Z, 16.21, 16.415, 16.13, 16.35, 16.35, 1483491
2022-02-01T05:00:00Z, 16.47, 16.47, 16.04, 16.33, 16.33, 2116848
2022-01-31T05:00:00Z, 15.61, 16.48, 15.27, 16.46, 16.46, 3047259
2022-01-28T05:00:00Z, 15.67, 15.71, 15.14, 15.63, 15.63, 2659667
2022-01-27T05:00:00Z, 16.12, 16.235, 15.6, 15.64, 15.64, 3331036
2022-01-26T05:00:00Z, 16.21, 16.435, 15.895, 15.98, 15.98, 2624729
2022-01-25T05:00:00Z, 16.37, 16.61, 15.845, 16.09, 16.09, 3027782
2022-01-24T05:00:00Z, 16.29, 16.645, 16.14, 16.57, 16.57, 3366442
2022-01-21T05:00:00Z, 16.88, 17.08, 16.51, 16.52, 16.52, 2979396
2022-01-20T05:00:00Z, 16.735, 17.33, 16.71, 16.98, 16.98, 2634653
2022-01-19T05:00:00Z, 16.61, 16.92, 16.535, 16.78, 16.78, 2418634
2022-01-18T05:00:00Z, 16.735, 16.86, 16.55, 16.7, 16.7, 2209704
2022-01-14T05:00:00Z, 16.91, 16.985, 16.74, 16.94, 16.94, 1790792
2022-01-13T05:00:00Z, 17.24, 17.4, 16.97, 16.99, 16.99, 3220856
2022-01-12T05:00:00Z, 17.47, 17.57, 17.225, 17.25, 17.25, 1615188
2022-01-11T05:00:00Z, 17.31, 17.4709, 17.165, 17.42, 17.42, 1100539
2022-01-10T05:00:00Z, 17, 17.305, 16.8399, 17.29, 17.29, 1409265
2022-01-07T05:00:00Z, 17.15, 17.47, 16.9571, 17.08, 17.08, 1225151
2022-01-06T05:00:00Z, 17.39, 17.615, 17.36, 17.44, 17.44, 1186344
2022-01-05T05:00:00Z, 17.88, 18.14, 17.51, 17.52, 17.52, 2418215
2022-01-04T05:00:00Z, 17.8, 18.09, 17.73, 17.9, 17.9, 2693606
2022-01-03T05:00:00Z, 17.7, 17.87, 17.295, 17.83, 17.83, 1705513
2021-12-31T05:00:00Z, 17.63, 17.79, 17.424, 17.62, 17.62, 1245222
2021-12-30T05:00:00Z, 17.77, 17.925, 17.65, 17.66, 17.66, 967495
2021-12-29T05:00:00Z, 17.55, 17.835, 17.52, 17.73, 17.73, 1361701
2021-12-28T05:00:00Z, 17.35, 17.665, 17.32, 17.6, 17.6, 1935507
2021-12-27T05:00:00Z, 17.16, 17.36, 17.1, 17.34, 17.34, 753312
2021-12-23T05:00:00Z, 17.06, 17.28, 17.0391, 17.1, 17.1, 1171219
2021-12-22T05:00:00Z, 16.71, 17.05, 16.605, 17.04, 17.04, 1371108
2021-12-21T05:00:00Z, 16.64, 16.88, 16.385, 16.74, 16.74, 1892456
2021-12-20T05:00:00Z, 16.59, 16.63, 16.18, 16.52, 16.52, 2292972
2021-12-17T05:00:00Z, 16.56, 16.95, 16.45, 16.69, 16.69, 9452155
2021-12-16T05:00:00Z, 16.99, 17, 16.545, 16.57, 16.57, 2447382
2021-12-15T05:00:00Z, 16.56, 17, 16.4, 16.95, 16.95, 2829176
2021-12-14T05:00:00Z, 16.47, 16.6927, 16.35, 16.55, 16.55, 1715308
2021-12-13T05:00:00Z, 16.55, 16.66, 16.39, 16.52, 16.52, 1773981
2021-12-10T05:00:00Z, 16.21, 16.58, 16.21, 16.52, 16.52, 1935567
2021-12-09T05:00:00Z, 16.18, 16.52, 16.17, 16.17, 16.17, 1631072
2021-12-08T05:00:00Z, 16.13, 16.32, 16.08, 16.13, 16.13, 1911732
2021-12-07T05:00:00Z, 16.2, 16.5, 16.135, 16.21, 16.21, 1490391
2021-12-06T05:00:00Z, 15.58, 16.06, 15.52, 16.04, 16.04, 3355050
2021-12-03T05:00:00Z, 15.24, 15.55, 15.13, 15.54, 15.54, 2789436
