Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 7.67, 7.91, 7.51, 7.57, 7.57, 2452466
2022-02-07T05:00:00Z, 8, 8.16, 7.64, 7.65, 7.65, 1977900
2022-02-04T05:00:00Z, 8.49, 8.535, 8.06, 8.07, 8.07, 2514452
2022-02-03T05:00:00Z, 8.85, 8.965, 8.35, 8.42, 8.42, 1798441
2022-02-02T05:00:00Z, 9.79, 10, 9.1, 9.11, 9.11, 1402797
2022-02-01T05:00:00Z, 9.93, 10.06, 9.7, 10.01, 10.01, 1271124
2022-01-31T05:00:00Z, 8.71, 9.925, 8.69, 9.92, 9.92, 2754460
2022-01-28T05:00:00Z, 8.545, 8.545, 7.87, 8.51, 8.51, 3826477
2022-01-27T05:00:00Z, 8.23, 8.65, 8.01, 8.14, 8.14, 2597912
2022-01-26T05:00:00Z, 8.41, 8.66, 8.11, 8.16, 8.16, 2420605
2022-01-25T05:00:00Z, 8.51, 8.8, 8.16, 8.27, 8.27, 3278255
2022-01-24T05:00:00Z, 8.34, 8.49, 7.83, 8.37, 8.37, 3367923
2022-01-21T05:00:00Z, 9.45, 9.72, 8.65, 8.68, 8.68, 2968622
2022-01-20T05:00:00Z, 9.8, 10.29, 9.5, 9.53, 9.53, 3303171
2022-01-19T05:00:00Z, 9.34, 9.625, 9.07, 9.31, 9.31, 1550564
2022-01-18T05:00:00Z, 9.13, 9.7, 8.94, 9.19, 9.19, 2437523
2022-01-14T05:00:00Z, 8.95, 9.39, 8.95, 9.24, 9.24, 2335838
2022-01-13T05:00:00Z, 9.23, 9.59, 8.95, 8.99, 8.99, 3309864
2022-01-12T05:00:00Z, 9.53, 9.74, 9.17, 9.28, 9.28, 5138023
2022-01-11T05:00:00Z, 9.22, 9.75, 8.98, 9.19, 9.19, 2810884
2022-01-10T05:00:00Z, 8.79, 9.2, 8.5, 9.18, 9.18, 1350373
2022-01-07T05:00:00Z, 8.49, 9.15, 8.38, 8.74, 8.74, 1726663
2022-01-06T05:00:00Z, 8.38, 8.62, 7.725, 8.37, 8.37, 1696688
2022-01-05T05:00:00Z, 8.38, 8.68, 8.08, 8.24, 8.24, 1602263
2022-01-04T05:00:00Z, 9.03, 9.075, 8.19, 8.37, 8.37, 1726276
2022-01-03T05:00:00Z, 9.05, 9.27, 8.71, 9.01, 9.01, 1316530
2021-12-31T05:00:00Z, 8.92, 9.26, 8.82, 9.03, 9.03, 1337290
2021-12-30T05:00:00Z, 7.93, 9.28, 7.91, 8.98, 8.98, 2178438
2021-12-29T05:00:00Z, 8.72, 8.73, 7.9, 8.06, 8.06, 2256871
2021-12-28T05:00:00Z, 8.83, 9.1, 8.7, 8.71, 8.71, 1250210
2021-12-27T05:00:00Z, 9.15, 9.27, 8.735, 8.83, 8.83, 919846
2021-12-23T05:00:00Z, 9.09, 9.4, 8.73, 9.15, 9.15, 2624596
2021-12-22T05:00:00Z, 9.12, 9.39, 8.85, 9.09, 9.09, 862807
2021-12-21T05:00:00Z, 8.54, 9.55, 8.48, 9.34, 9.34, 2128179
2021-12-20T05:00:00Z, 8.55, 8.68, 8.01, 8.19, 8.19, 1379239
2021-12-17T05:00:00Z, 8.21, 8.96, 7.93, 8.94, 8.94, 2075292
2021-12-16T05:00:00Z, 8.4, 8.69, 7.28, 8.49, 8.49, 3114164
2021-12-15T05:00:00Z, 8.13, 8.27, 7.77, 8.14, 8.14, 2799640
2021-12-14T05:00:00Z, 8.03, 8.39, 7.56, 8.21, 8.21, 2871495
2021-12-13T05:00:00Z, 8.56, 8.71, 8.13, 8.21, 8.21, 2062057
2021-12-10T05:00:00Z, 9.05, 9.1418, 8.15, 8.51, 8.51, 2250035
