Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 4.24, 4.41, 4.19, 4.37, 4.37, 1180786
2022-02-07T05:00:00Z, 4.09, 4.31, 4.02, 4.23, 4.23, 1043864
2022-02-04T05:00:00Z, 4.08, 4.17, 3.97, 4.11, 4.11, 1478207
2022-02-03T05:00:00Z, 4.23, 4.23, 4.075, 4.09, 4.09, 1194827
2022-02-02T05:00:00Z, 4.4, 4.4, 4.27, 4.27, 4.27, 1108142
2022-02-01T05:00:00Z, 4.34, 4.435, 4.23, 4.35, 4.35, 1497615
2022-01-31T05:00:00Z, 4.13, 4.375, 4.1, 4.35, 4.35, 1424794
2022-01-28T05:00:00Z, 4.09, 4.15, 3.95, 4.1, 4.1, 2012912
2022-01-27T05:00:00Z, 4.31, 4.39, 4.05, 4.06, 4.06, 1363857
2022-01-26T05:00:00Z, 4.46, 4.52, 4.26, 4.29, 4.29, 1092360
2022-01-25T05:00:00Z, 4.51, 4.59, 4.26, 4.41, 4.41, 1704451
2022-01-24T05:00:00Z, 4.37, 4.48, 4.175, 4.46, 4.46, 1919835
2022-01-21T05:00:00Z, 4.52, 4.64, 4.4, 4.45, 4.45, 1063017
2022-01-20T05:00:00Z, 4.71, 4.81, 4.53, 4.56, 4.56, 952769
2022-01-19T05:00:00Z, 4.55, 4.63, 4.47, 4.55, 4.55, 963262
2022-01-18T05:00:00Z, 4.75, 4.76, 4.54, 4.57, 4.57, 778302
2022-01-14T05:00:00Z, 4.86, 4.89, 4.6, 4.77, 4.77, 1271060
2022-01-13T05:00:00Z, 5.01, 5.095, 4.84, 4.84, 4.84, 1009343
2022-01-12T05:00:00Z, 5.02, 5.14, 4.89, 5.01, 5.01, 1124645
2022-01-11T05:00:00Z, 5.1, 5.33, 4.945, 5, 5, 1306593
2022-01-10T05:00:00Z, 4.65, 4.96, 4.57, 4.96, 4.96, 2068278
2022-01-07T05:00:00Z, 4.92, 4.97, 4.54, 4.71, 4.71, 2623976
2022-01-06T05:00:00Z, 5.12, 5.15, 4.85, 5, 5, 1200315
2022-01-05T05:00:00Z, 5.63, 5.66, 5.105, 5.15, 5.15, 1096997
2022-01-04T05:00:00Z, 5.8, 5.863, 5.54, 5.68, 5.68, 731962
2022-01-03T05:00:00Z, 5.54, 5.87, 5.48, 5.83, 5.83, 1401158
2021-12-31T05:00:00Z, 5.38, 5.5563, 5.315, 5.51, 5.51, 1607950
2021-12-30T05:00:00Z, 5.3, 5.41, 5.26, 5.32, 5.32, 1107316
2021-12-29T05:00:00Z, 5.28, 5.35, 5.19, 5.29, 5.29, 489531
2021-12-28T05:00:00Z, 5.39, 5.44, 5.25, 5.29, 5.29, 703595
2021-12-27T05:00:00Z, 5.48, 5.545, 5.35, 5.44, 5.44, 894784
2021-12-23T05:00:00Z, 5.4, 5.51, 5.35, 5.46, 5.46, 595958
2021-12-22T05:00:00Z, 5.31, 5.47, 5.26, 5.47, 5.47, 733229
2021-12-21T05:00:00Z, 5.26, 5.39, 5.23, 5.39, 5.39, 1178519
2021-12-20T05:00:00Z, 5.27, 5.305, 5.05, 5.19, 5.19, 1368505
2021-12-17T05:00:00Z, 5.145, 5.45, 5.08, 5.42, 5.42, 1936225
2021-12-16T05:00:00Z, 5.18, 5.35, 5.1, 5.17, 5.17, 1007778
2021-12-15T05:00:00Z, 5.06, 5.25, 4.925, 5.25, 5.25, 1349345
2021-12-14T05:00:00Z, 5.21, 5.29, 5.03, 5.04, 5.04, 929620
2021-12-13T05:00:00Z, 5.41, 5.425, 5.125, 5.35, 5.35, 1145378
2021-12-10T05:00:00Z, 5.55, 5.63, 5.35, 5.41, 5.41, 1190213
2021-12-09T05:00:00Z, 5.67, 5.73, 5.54, 5.58, 5.58, 1354945
2021-12-08T05:00:00Z, 5.33, 5.99, 5.25, 5.71, 5.71, 3330315
2021-12-07T05:00:00Z, 5.14, 5.46, 5, 5.33, 5.33, 1587759
2021-12-06T05:00:00Z, 4.93, 5.01, 4.84, 4.89, 4.89, 1245903
2021-12-03T05:00:00Z, 5.2, 5.21, 4.805, 4.97, 4.97, 1148346
2021-12-02T05:00:00Z, 4.95, 5.22, 4.88, 5.18, 5.18, 1600876
2021-12-01T05:00:00Z, 5.23, 5.27, 4.88, 4.89, 4.89, 1382520
2021-11-30T05:00:00Z, 5.28, 5.35, 4.99, 5.14, 5.14, 2432003
2021-11-29T05:00:00Z, 5.48, 5.58, 5.23, 5.25, 5.25, 1799073
2021-11-26T05:00:00Z, 5.51, 5.65, 5.4, 5.58, 5.58, 1104653
2021-11-24T05:00:00Z, 5.51, 5.82, 5.48, 5.78, 5.78, 1879423
2021-11-23T05:00:00Z, 5.54, 5.61, 5.3301, 5.58, 5.58, 2589601
2021-11-22T05:00:00Z, 5.82, 5.91, 5.585, 5.59, 5.59, 1943520
2021-11-19T05:00:00Z, 5.47, 5.9279, 5.37, 5.71, 5.71, 3631690
2021-11-18T05:00:00Z, 5.56, 5.61, 5.41, 5.51, 5.51, 1886704
2021-11-17T05:00:00Z, 5.75, 5.925, 5.3, 5.62, 5.62, 8456553
2021-11-16T05:00:00Z, 6.13, 6.275, 6.03, 6.2, 6.2, 826245
2021-11-15T05:00:00Z, 6.51, 6.55, 6.12, 6.19, 6.19, 1206007
2021-11-12T05:00:00Z, 6.7, 6.72, 6.49, 6.51, 6.51, 898913
2021-11-11T05:00:00Z, 6.75, 6.92, 6.52, 6.56, 6.56, 1289329
2021-11-10T05:00:00Z, 6.92, 7.13, 6.755, 6.79, 6.79, 1268639
2021-11-09T05:00:00Z, 7.14, 7.22, 6.93, 7.05, 7.05, 889720
2021-11-08T05:00:00Z, 7.61, 7.68, 7.14, 7.17, 7.17, 922106
2021-11-05T04:00:00Z, 7.94, 8.25, 7.4, 7.59, 7.59, 1200098
2021-11-04T04:00:00Z, 7.53, 7.64, 7.405, 7.58, 7.58, 684377
2021-11-03T04:00:00Z, 7.28, 7.57, 7.2052, 7.53, 7.53, 547494
2021-11-02T04:00:00Z, 7.43, 7.45, 7.28, 7.41, 7.41, 492459
2021-11-01T04:00:00Z, 7.3, 7.63, 7.25, 7.45, 7.45, 983688
2021-10-29T04:00:00Z, 7.14, 7.345, 7.08, 7.31, 7.31, 980520
2021-10-28T04:00:00Z, 6.9, 7.2, 6.868, 7.15, 7.15, 865501
2021-10-27T04:00:00Z, 6.9, 6.9, 6.71, 6.82, 6.82, 810397
2021-10-26T04:00:00Z, 7, 7.03, 6.84, 6.94, 6.94, 582446
2021-10-25T04:00:00Z, 6.86, 7.145, 6.85, 7, 7, 787054
2021-10-22T04:00:00Z, 6.72, 6.82, 6.64, 6.81, 6.81, 398114
2021-10-21T04:00:00Z, 6.88, 6.91, 6.705, 6.73, 6.73, 668081
2021-10-20T04:00:00Z, 6.75, 7, 6.662, 6.88, 6.88, 1082879
2021-10-19T04:00:00Z, 6.05, 6.82, 6.0373, 6.72, 6.72, 2006626
2021-10-18T04:00:00Z, 6.06, 6.14, 5.95, 5.96, 5.96, 614091
2021-10-15T04:00:00Z, 6.06, 6.17, 5.98, 6.06, 6.06, 757412
2021-10-14T04:00:00Z, 6.36, 6.3932, 6, 6.02, 6.02, 811963
