Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 6.98, 7.38, 6.89, 7.25, 7.25, 2921526
2022-02-07T05:00:00Z, 7.37, 7.72, 6.94, 7.04, 7.04, 3702194
2022-02-04T05:00:00Z, 7.34, 7.47, 6.96, 7.27, 7.27, 4261442
2022-02-03T05:00:00Z, 7.37, 7.88, 7.15, 7.19, 7.19, 3257828
2022-02-02T05:00:00Z, 8.52, 8.62, 7.65, 7.68, 7.68, 3413714
2022-02-01T05:00:00Z, 8.04, 8.58, 7.87, 8.41, 8.41, 3315873
2022-01-31T05:00:00Z, 7.04, 8.115, 7.04, 8.02, 8.02, 4249624
2022-01-28T05:00:00Z, 7.27, 7.2658, 6.4075, 7.06, 7.06, 4340696
2022-01-27T05:00:00Z, 7.12, 7.41, 6.75, 6.82, 6.82, 3842782
2022-01-26T05:00:00Z, 7.95, 8.0799, 7.035, 7.05, 7.05, 4985367
2022-01-25T05:00:00Z, 7.715, 7.995, 7.21, 7.75, 7.75, 4081382
2022-01-24T05:00:00Z, 7.09, 8.02, 6.87, 7.99, 7.99, 5241112
2022-01-21T05:00:00Z, 7.48, 7.58, 6.91, 7.31, 7.31, 6955847
2022-01-20T05:00:00Z, 7.89, 8.54, 7.68, 7.7, 7.7, 7319438
2022-01-19T05:00:00Z, 7.65, 7.85, 7.19, 7.36, 7.36, 5110867
2022-01-18T05:00:00Z, 7.84, 7.9725, 7.44, 7.6, 7.6, 4922124
2022-01-14T05:00:00Z, 8.5, 8.68, 7.69, 8.02, 8.02, 5911547
2022-01-13T05:00:00Z, 9.29, 9.36, 8.64, 8.66, 8.66, 3606011
2022-01-12T05:00:00Z, 9.76, 9.79, 9.17, 9.27, 9.27, 2224041
2022-01-11T05:00:00Z, 9.14, 9.89, 9.08, 9.7, 9.7, 2327557
2022-01-10T05:00:00Z, 9.5, 9.535, 8.77, 9.22, 9.22, 3094798
2022-01-07T05:00:00Z, 9.64, 10.045, 9.46, 9.73, 9.73, 2980377
2022-01-06T05:00:00Z, 9.71, 9.89, 9.03, 9.63, 9.63, 3916897
2022-01-05T05:00:00Z, 10.78, 11.09, 9.71, 9.78, 9.78, 5133941
2022-01-04T05:00:00Z, 11.41, 11.9, 10.74, 10.94, 10.94, 4013440
2022-01-03T05:00:00Z, 10.97, 11.4541, 10.82, 11.17, 11.17, 3210881
2021-12-31T05:00:00Z, 11.02, 11.3527, 10.7, 10.79, 10.79, 2498203
2021-12-30T05:00:00Z, 10.2, 11.47, 10.18, 11.11, 11.11, 3920896
2021-12-29T05:00:00Z, 10.5, 10.585, 10.13, 10.2, 10.2, 2428810
2021-12-28T05:00:00Z, 10.7, 10.97, 10.48, 10.54, 10.54, 2158838
2021-12-27T05:00:00Z, 11, 11.08, 10.5, 10.7, 10.7, 1827813
2021-12-23T05:00:00Z, 10.9, 11.22, 10.6175, 11, 11, 2202851
2021-12-22T05:00:00Z, 11.23, 11.43, 10.62, 10.84, 10.84, 2695973
2021-12-21T05:00:00Z, 10.55, 11.19, 10.55, 11.16, 11.16, 3910834
2021-12-20T05:00:00Z, 11.2, 11.46, 10.21, 10.36, 10.36, 4579188
2021-12-17T05:00:00Z, 10.47, 11.41, 10.1187, 11.33, 11.33, 5244203
