Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 20.215, 20.5868, 19.41, 19.5, 19.5, 41507455
2022-02-07T05:00:00Z, 20.46, 20.74, 19.97, 20.42, 20.42, 44641492
2022-02-04T05:00:00Z, 21.52, 22.16, 20.3, 21, 21, 64892288
2022-02-03T05:00:00Z, 20.66, 21.97, 20.095, 21.78, 21.78, 69927699
2022-02-02T05:00:00Z, 19.7, 20.23, 19.3, 19.42, 19.42, 44248207
2022-02-01T05:00:00Z, 21.01, 21.62, 19.795, 19.84, 19.84, 53242526
2022-01-31T05:00:00Z, 23.21, 23.4, 21.41, 21.41, 21.41, 62737079
2022-01-28T05:00:00Z, 24.01, 25.04, 22.83, 22.95, 22.95, 101958671
2022-01-27T05:00:00Z, 23.09, 25.13, 22.635, 24.49, 24.49, 119833251
2022-01-26T05:00:00Z, 23, 24.865, 21.76, 24.32, 24.32, 144652013
2022-01-25T05:00:00Z, 25.35, 26.26, 23.15, 23.86, 23.86, 142055336
2022-01-24T05:00:00Z, 25.09, 27.84, 23.2712, 23.72, 23.72, 186076493
2022-01-21T05:00:00Z, 21.63, 23.23, 21.15, 23.2, 23.2, 135883753
2022-01-20T05:00:00Z, 19.86, 21.39, 19.08, 21.24, 21.24, 70148888
2022-01-19T05:00:00Z, 19.49, 20.54, 19.375, 20.36, 20.36, 71095913
2022-01-18T05:00:00Z, 19.25, 20.04, 19.21, 19.89, 19.89, 68830892
2022-01-14T05:00:00Z, 19.38, 19.465, 18.295, 18.45, 18.45, 86433384
2022-01-13T05:00:00Z, 17.57, 18.8895, 17.4, 18.74, 18.74, 58806776
2022-01-12T05:00:00Z, 17.56, 17.98, 17.295, 17.63, 17.63, 43235091
2022-01-11T05:00:00Z, 18.7, 19.12, 17.77, 17.82, 17.82, 52551301
2022-01-10T05:00:00Z, 19.55, 20.605, 18.41, 18.47, 18.47, 91719965
2022-01-07T05:00:00Z, 19.315, 19.86, 18.73, 18.82, 18.82, 52176913
