Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 22.62, 23.0398, 22.61, 22.82, 22.82, 1635717
2022-02-07T05:00:00Z, 22.78, 22.92, 22.43, 22.53, 22.53, 2610413
2022-02-04T05:00:00Z, 22.53, 22.855, 22.32, 22.69, 22.69, 1308196
2022-02-03T05:00:00Z, 22.83, 23.12, 22.57, 22.6, 22.6, 2276462
2022-02-02T05:00:00Z, 23.15, 23.45, 22.77, 22.86, 22.86, 3007933
2022-02-01T05:00:00Z, 23.07, 23.19, 22.85, 23.15, 23.15, 1674939
2022-01-31T05:00:00Z, 22.5, 23.03, 22.345, 23.03, 23.03, 1823876
2022-01-28T05:00:00Z, 22.13, 22.63, 21.845, 22.61, 22.61, 1761056
2022-01-27T05:00:00Z, 22.37, 22.61, 22.085, 22.17, 22.17, 1620087
2022-01-26T05:00:00Z, 22.36, 22.73, 22.025, 22.21, 22.21, 1947361
2022-01-25T05:00:00Z, 22.18, 22.51, 21.77, 22.25, 22.25, 2016460
2022-01-24T05:00:00Z, 21.77, 22.44, 21.52, 22.41, 22.41, 3852380
2022-01-21T05:00:00Z, 22.12, 22.28, 21.96, 21.98, 21.98, 2413258
2022-01-20T05:00:00Z, 23.21, 23.34, 22.17, 22.18, 22.18, 2139808
2022-01-19T05:00:00Z, 23.01, 23.24, 22.91, 23.19, 23.19, 2439334
2022-01-18T05:00:00Z, 23.21, 23.29, 22.81, 22.91, 22.91, 1941414
2022-01-14T05:00:00Z, 23.44, 23.64, 23.065, 23.32, 23.32, 1850960
2022-01-13T05:00:00Z, 23.65, 23.85, 23.535, 23.6, 23.6, 1685913
2022-01-12T05:00:00Z, 23.84, 23.99, 23.4, 23.55, 23.55, 2234126
2022-01-11T05:00:00Z, 23.84, 24, 23.68, 23.89, 23.89, 1873052
2022-01-10T05:00:00Z, 24.02, 24.06, 23.71, 23.97, 23.97, 2049813
2022-01-07T05:00:00Z, 24.11, 24.48, 24.06, 24.07, 24.07, 2305944
2022-01-06T05:00:00Z, 23.87, 24.31, 23.83, 24.06, 24.06, 2155974
2022-01-05T05:00:00Z, 24.1, 24.22, 23.775, 23.85, 23.85, 3270955
2022-01-04T05:00:00Z, 24.09, 24.14, 23.79, 23.87, 23.87, 3093139
2022-01-03T05:00:00Z, 23.87, 24.065, 23.55, 23.89, 23.89, 2117414
2021-12-31T05:00:00Z, 23.98, 24.195, 23.825, 23.85, 23.85, 1300496
2021-12-30T05:00:00Z, 23.95, 24.19, 23.855, 23.87, 23.87, 1588337
2021-12-29T05:00:00Z, 23.67, 24.16, 23.56, 23.84, 23.84, 1901337
2021-12-28T05:00:00Z, 23.56, 23.87, 23.35, 23.67, 23.67, 1491232
2021-12-27T05:00:00Z, 23.3, 23.64, 23.21, 23.6, 23.6, 1165362
2021-12-23T05:00:00Z, 23.03, 23.36, 22.98, 23.33, 23.33, 1191897
2021-12-22T05:00:00Z, 22.9, 23.105, 22.8207, 22.98, 22.98, 1765197
2021-12-21T05:00:00Z, 22.86, 23.08, 22.77, 22.9, 22.9, 2023997
2021-12-20T05:00:00Z, 22.26, 22.725, 22.11, 22.68, 22.68, 1895299
2021-12-17T05:00:00Z, 22.25, 22.68, 22.05, 22.46, 22.46, 3605792
2021-12-16T05:00:00Z, 22.41, 22.49, 22.165, 22.19, 22.19, 1726208
2021-12-15T05:00:00Z, 22.1, 22.4, 21.965, 22.31, 22.31, 1913006
2021-12-14T05:00:00Z, 21.91, 22.2, 21.82, 22.07, 22.07, 2409781
2021-12-13T05:00:00Z, 22.31, 22.38, 21.95, 22.1, 22.1, 1341777
2021-12-10T05:00:00Z, 22.42, 22.47, 22.13, 22.32, 22.32, 1512946
2021-12-09T05:00:00Z, 22.2, 22.44, 22.19, 22.25, 22.25, 1360373
2021-12-08T05:00:00Z, 22.25, 22.445, 22.15, 22.24, 22.24, 1340082
2021-12-07T05:00:00Z, 22.1, 22.33, 22.03, 22.14, 22.14, 2477705
2021-12-06T05:00:00Z, 21.34, 22.17, 21.325, 21.9, 21.9, 3090680
2021-12-03T05:00:00Z, 21.16, 21.3, 21, 21.16, 21.16, 2573242
2021-12-02T05:00:00Z, 20.48, 21.199, 20.45, 21.06, 21.06, 2058367
2021-12-01T05:00:00Z, 20.82, 21.34, 20.37, 20.38, 20.38, 2491670
2021-11-30T05:00:00Z, 21.07, 21.12, 20.53, 20.58, 20.58, 2934944
2021-11-29T05:00:00Z, 21.5, 21.57, 21.15, 21.24, 21.24, 1911523
2021-11-26T05:00:00Z, 21.54, 21.63, 21.22, 21.32, 21.32, 1404937
2021-11-24T05:00:00Z, 21.78, 22.02, 21.67, 21.9, 21.9, 1530318
2021-11-23T05:00:00Z, 21.83, 21.95, 21.5133, 21.88, 21.88, 1853606
2021-11-22T05:00:00Z, 22.02, 22.29, 21.795, 21.88, 21.88, 2102097
2021-11-19T05:00:00Z, 21.74, 22.13, 21.58, 21.94, 21.94, 3366852
2021-11-18T05:00:00Z, 22.11, 22.245, 21.505, 21.78, 21.78, 3630130
2021-11-17T05:00:00Z, 21.71, 22.35, 21.71, 22.13, 22.13, 2818629
2021-11-16T05:00:00Z, 21.76, 22, 21.7, 21.76, 21.76, 3285157
2021-11-15T05:00:00Z, 21.74, 22.27, 21.675, 21.94, 21.94, 2948733
2021-11-12T05:00:00Z, 21.64, 21.91, 21.445, 21.74, 21.74, 2598810
2021-11-11T05:00:00Z, 21.38, 22, 21.11, 21.64, 21.64, 3187013
2021-11-10T05:00:00Z, 21.75, 21.99, 20.53, 21.4, 21.4, 9982551
2021-11-09T05:00:00Z, 23.06, 23.16, 22.85, 23.04, 23.04, 4859832
2021-11-08T05:00:00Z, 22.78, 23.175, 22.62, 22.93, 22.93, 3221462
2021-11-05T04:00:00Z, 22.88, 23.04, 22.65, 22.73, 22.73, 2069421
2021-11-04T04:00:00Z, 22.46, 22.835, 22.44, 22.59, 22.59, 1684704
2021-11-03T04:00:00Z, 22.4, 22.575, 22.3101, 22.49, 22.49, 2183924
2021-11-02T04:00:00Z, 22.8, 22.88, 22.22, 22.48, 22.48, 1450596
2021-11-01T04:00:00Z, 22.22, 22.93, 22.21, 22.8, 22.8, 1741619
2021-10-29T04:00:00Z, 22.09, 22.32, 22.04, 22.3, 22.3, 1756010
2021-10-28T04:00:00Z, 22.04, 22.295, 21.935, 22.27, 22.27, 1114852
2021-10-27T04:00:00Z, 22.22, 22.39, 22.01, 22.01, 22.01, 1466124
2021-10-26T04:00:00Z, 22.42, 22.515, 21.81, 22.13, 22.13, 1923595
2021-10-25T04:00:00Z, 22.6, 22.79, 22.32, 22.34, 22.34, 2117129
2021-10-22T04:00:00Z, 22.44, 22.65, 22.37, 22.59, 22.59, 1687229
2021-10-21T04:00:00Z, 22.31, 22.53, 22.17, 22.42, 22.42, 1633077
2021-10-20T04:00:00Z, 21.96, 22.8201, 21.93, 22.38, 22.38, 4140729
2021-10-19T04:00:00Z, 22.07, 22.14, 21.95, 22.09, 22.09, 1408350
2021-10-18T04:00:00Z, 22.06, 22.16, 21.92, 22.14, 22.14, 1690533
2021-10-15T04:00:00Z, 22.39, 22.46, 22.1, 22.14, 22.14, 1721332
2021-10-14T04:00:00Z, 21.97, 22.43, 21.92, 22.32, 22.32, 2086179
2021-10-13T04:00:00Z, 21.7, 22.03, 21.44, 22.01, 22.01, 3178692
2021-10-12T04:00:00Z, 22.04, 22.13, 21.68, 21.73, 21.73, 1314914
2021-10-11T04:00:00Z, 22.23, 22.39, 21.95, 21.95, 21.95, 1242668
2021-10-08T04:00:00Z, 22.38, 22.51, 22.15, 22.15, 22.15, 1097646
2021-10-07T04:00:00Z, 22.12, 22.42, 22.1, 22.27, 22.27, 1607988
2021-10-06T04:00:00Z, 22.08, 22.28, 21.87, 22.18, 22.18, 1868597
2021-10-05T04:00:00Z, 22.14, 22.35, 21.83, 22.04, 22.04, 2710289
2021-10-04T04:00:00Z, 22.3, 22.61, 21.991, 22.19, 22.19, 2354833
2021-10-01T04:00:00Z, 21.9, 22.36, 21.715, 22.3, 22.3, 2413276
2021-09-30T04:00:00Z, 21.93, 22.07, 21.65, 21.68, 21.68, 2795002
2021-09-29T04:00:00Z, 21.99, 22.15, 21.77, 21.87, 21.87, 2056919
2021-09-28T04:00:00Z, 22.56, 22.73, 21.875, 21.89, 21.89, 1948138
2021-09-27T04:00:00Z, 22.75, 23.16, 22.63, 22.71, 22.71, 1874211
2021-09-24T04:00:00Z, 22.47, 23.09, 22.38, 22.83, 22.83, 2887571
2021-09-23T04:00:00Z, 21.95, 22.47, 21.89, 22.42, 22.42, 2675961
2021-09-22T04:00:00Z, 21.84, 22.14, 21.8, 21.84, 21.84, 1428764
2021-09-21T04:00:00Z, 21.81, 22.005, 21.63, 21.79, 21.79, 1973396
2021-09-20T04:00:00Z, 22.1, 22.3, 21.64, 21.89, 21.89, 2184868
2021-09-17T04:00:00Z, 22.54, 22.6, 22.315, 22.39, 22.39, 2100226
2021-09-16T04:00:00Z, 22.44, 22.5525, 22.305, 22.52, 22.52, 1356665
2021-09-15T04:00:00Z, 22.41, 22.46, 22.23, 22.44, 22.44, 1453793
2021-09-14T04:00:00Z, 22.48, 22.51, 22.25, 22.46, 22.46, 1637782
2021-09-13T04:00:00Z, 22.57, 22.6, 22.29, 22.46, 22.46, 1606661
2021-09-10T04:00:00Z, 22.8, 22.81, 22.36, 22.4, 22.4, 2062564
2021-09-09T04:00:00Z, 22.852, 23.1, 22.72, 22.82, 22.82, 1541343
2021-09-08T04:00:00Z, 22.76, 22.99, 22.74, 22.92, 22.92, 1647244
2021-09-07T04:00:00Z, 22.9, 22.95, 22.67, 22.71, 22.71, 3705193
2021-09-03T04:00:00Z, 22.97, 22.97, 22.68, 22.9, 22.9, 1646219
2021-09-02T04:00:00Z, 23.14, 23.36, 23, 23.02, 23.02, 1634932
2021-09-01T04:00:00Z, 23, 23.23, 22.92, 23.14, 23.14, 1511814
2021-08-31T04:00:00Z, 22.7, 23.09, 22.59, 23.02, 23.02, 2048938
2021-08-30T04:00:00Z, 23.28, 23.34, 22.77, 22.81, 22.81, 3199095
2021-08-27T04:00:00Z, 23.12, 23.46, 23.03, 23.34, 23.34, 1998703
2021-08-26T04:00:00Z, 23.31, 23.37, 23.03, 23.18, 23.18, 1308478
2021-08-25T04:00:00Z, 23.2, 23.54, 22.95, 23.37, 23.37, 2253381
2021-08-24T04:00:00Z, 23.76, 23.8, 23.21, 23.26, 23.26, 3528555
2021-08-23T04:00:00Z, 23.74, 23.915, 23.595, 23.77, 23.77, 1606870
2021-08-20T04:00:00Z, 23.75, 23.83, 23.55, 23.72, 23.72, 3302109
2021-08-19T04:00:00Z, 23.85, 24.255, 23.755, 23.77, 23.77, 3024611
2021-08-18T04:00:00Z, 24.2, 24.4012, 23.87, 24.04, 24.04, 3676442
2021-08-17T04:00:00Z, 23.47, 23.66, 23.29, 23.65, 23.65, 1685919
2021-08-16T04:00:00Z, 23.71, 23.87, 23.57, 23.67, 23.67, 2865162
2021-08-13T04:00:00Z, 23.52, 23.75, 23.19, 23.7, 23.7, 2575919
2021-08-12T04:00:00Z, 23.22, 23.895, 23.17, 23.5, 23.5, 5215408
2021-08-11T04:00:00Z, 22.85, 22.99, 22.35, 22.85, 22.85, 7898777
2021-08-10T04:00:00Z, 22.1, 22.255, 21.77, 22.03, 22.03, 4000796
