Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 17.93, 18.04, 17.1, 17.15, 17.15, 1216828
2022-02-07T05:00:00Z, 17.56, 17.7985, 17.34, 17.56, 17.56, 1003734
2022-02-04T05:00:00Z, 17.81, 17.91, 17.12, 17.29, 17.29, 996669
2022-02-03T05:00:00Z, 17.92, 18.05, 17.36, 17.66, 17.66, 1098018
2022-02-02T05:00:00Z, 16.8, 17.87, 16.79, 17.51, 17.51, 1615847
2022-02-01T05:00:00Z, 17.27, 17.74, 17.03, 17.09, 17.09, 1127136
2022-01-31T05:00:00Z, 19.14, 19.25, 17.37, 17.37, 17.37, 1648072
2022-01-28T05:00:00Z, 20.56, 21.27, 20.3, 20.33, 20.33, 1783362
2022-01-27T05:00:00Z, 19.51, 20.17, 19.4, 20.13, 20.13, 1563692
2022-01-26T05:00:00Z, 17.79, 19.18, 17.78, 19.07, 19.07, 2108691
2022-01-25T05:00:00Z, 18.32, 18.5, 17.7, 18.01, 18.01, 2058706
2022-01-24T05:00:00Z, 17.97, 19.13, 17.88, 18.09, 18.09, 3196927
2022-01-21T05:00:00Z, 16.38, 17.3627, 16.31, 17.32, 17.32, 2352605
2022-01-20T05:00:00Z, 15.83, 16.48, 15.285, 16.37, 16.37, 2636807
2022-01-19T05:00:00Z, 17.94, 18.19, 17.6874, 18.01, 18.01, 1680868
2022-01-18T05:00:00Z, 18.77, 18.87, 18.01, 18.21, 18.21, 1406291
2022-01-14T05:00:00Z, 17.84, 18.08, 17.52, 17.64, 17.64, 1340402
2022-01-13T05:00:00Z, 17.45, 18.24, 17.38, 18.21, 18.21, 1485955
2022-01-12T05:00:00Z, 17.09, 17.52, 16.76, 17.04, 17.04, 1917895
2022-01-11T05:00:00Z, 19.67, 19.96, 18.19, 18.24, 18.24, 1813962
2022-01-10T05:00:00Z, 19.94, 20.5931, 19.6799, 20.14, 20.14, 1608378
2022-01-07T05:00:00Z, 20.5, 20.72, 19.82, 20.21, 20.21, 1290194
2022-01-06T05:00:00Z, 22.13, 22.41, 21.14, 21.53, 21.53, 1645000
2022-01-05T05:00:00Z, 22.44, 22.78, 21.38, 22.78, 22.78, 1861715
2022-01-04T05:00:00Z, 20.94, 21.81, 20.9, 21.57, 21.57, 1525905
2022-01-03T05:00:00Z, 20.65, 21.34, 20.4, 20.47, 20.47, 1403526
2021-12-31T05:00:00Z, 20.22, 20.46, 19.63, 20.27, 20.27, 964537
2021-12-30T05:00:00Z, 21.99, 22, 19.4201, 19.76, 19.76, 1657016
2021-12-29T05:00:00Z, 21.9, 22.67, 21.79, 22.16, 22.16, 927456
2021-12-28T05:00:00Z, 21, 21.52, 21, 21.42, 21.42, 892212
2021-12-27T05:00:00Z, 20.86, 20.87, 20.175, 20.73, 20.73, 836698
2021-12-23T05:00:00Z, 21.03, 21.34, 20.4801, 20.61, 20.61, 802266
2021-12-22T05:00:00Z, 21.245, 21.48, 20.6677, 20.72, 20.72, 1157281
2021-12-21T05:00:00Z, 21.81, 21.9, 20.52, 20.54, 20.54, 1272733
2021-12-20T05:00:00Z, 22.24, 22.93, 22.1911, 22.65, 22.65, 1550777
2021-12-17T05:00:00Z, 21.46, 21.76, 20.86, 21.25, 21.25, 1813157
2021-12-16T05:00:00Z, 19.82, 20.59, 19.4, 20.56, 20.56, 1434359
2021-12-15T05:00:00Z, 20.42, 21.55, 20.31, 20.75, 20.75, 2475726
2021-12-14T05:00:00Z, 19.86, 19.868, 19.1, 19.13, 19.13, 1176041
2021-12-13T05:00:00Z, 18.6, 19.28, 18.52, 19.05, 19.05, 925188
2021-12-10T05:00:00Z, 18.16, 18.34, 17.89, 18.07, 18.07, 616129
2021-12-09T05:00:00Z, 18.22, 18.28, 17.68, 18.14, 18.14, 912183
2021-12-08T05:00:00Z, 18.47, 18.67, 17.85, 18.1, 18.1, 1113170
2021-12-07T05:00:00Z, 18.2, 18.51, 18.06, 18.32, 18.32, 979320
2021-12-06T05:00:00Z, 20.47, 20.729, 19.1, 19.1, 19.1, 1255504
2021-12-03T05:00:00Z, 19.11, 20.79, 19, 20.27, 20.27, 2446972
2021-12-02T05:00:00Z, 18.68, 19.4, 18.17, 18.98, 18.98, 1675014
2021-12-01T05:00:00Z, 18.58, 19.37, 18.025, 19.33, 19.33, 1224396
2021-11-30T05:00:00Z, 19.055, 19.74, 18.695, 19.19, 19.19, 1390004
2021-11-29T05:00:00Z, 18.295, 19.04, 18.24, 18.88, 18.88, 1102808
2021-11-26T05:00:00Z, 18.13, 18.71, 18.06, 18.38, 18.38, 1347794
2021-11-24T05:00:00Z, 17.32, 17.52, 16.905, 16.95, 16.95, 1001164
2021-11-23T05:00:00Z, 16.87, 17.2552, 16.59, 17.09, 17.09, 995809
2021-11-22T05:00:00Z, 16.4, 17.06, 16.285, 16.84, 16.84, 922763
2021-11-19T05:00:00Z, 16.2, 16.28, 15.845, 16.25, 16.25, 830526
2021-11-18T05:00:00Z, 16.24, 16.7411, 16.17, 16.52, 16.52, 1422450
2021-11-17T05:00:00Z, 14.87, 15.58, 14.85, 15.51, 15.51, 841797
2021-11-16T05:00:00Z, 14.92, 15.26, 14.8, 15.02, 15.02, 845616
2021-11-15T05:00:00Z, 15.22, 15.58, 15.17, 15.52, 15.52, 730886
2021-11-12T05:00:00Z, 15.59, 15.66, 15.19, 15.24, 15.24, 587904
2021-11-11T05:00:00Z, 16.01, 16.11, 15.27, 15.3, 15.3, 1470618
2021-11-10T05:00:00Z, 17.37, 17.65, 16.88, 17.31, 17.31, 1481348
2021-11-09T05:00:00Z, 17.66, 17.95, 17.33, 17.8, 17.8, 775985
2021-11-08T05:00:00Z, 17.5, 17.74, 17.345, 17.39, 17.39, 782263
2021-11-05T04:00:00Z, 17.2, 18.105, 17.2, 18, 18, 1032655
2021-11-04T04:00:00Z, 16.47, 17.185, 16.45, 17.07, 17.07, 914425
2021-11-03T04:00:00Z, 17.08, 17.3199, 16.7401, 16.83, 16.83, 915166
2021-11-02T04:00:00Z, 16.91, 17.29, 16.86, 17.23, 17.23, 1132617
2021-11-01T04:00:00Z, 16.96, 17.03, 15.915, 15.92, 15.92, 1376030
2021-10-29T04:00:00Z, 16.53, 17.035, 16.4, 16.85, 16.85, 1218531
2021-10-28T04:00:00Z, 16.25, 16.51, 15.93, 15.97, 15.97, 1131805
2021-10-27T04:00:00Z, 16.06, 16.16, 15.6, 16.08, 16.08, 1514564
2021-10-26T04:00:00Z, 14.9, 15.629, 14.88, 15.58, 15.58, 1491175
2021-10-25T04:00:00Z, 14.63, 14.93, 14.595, 14.7, 14.7, 644023
2021-10-22T04:00:00Z, 14.58, 14.95, 14.275, 14.83, 14.83, 1782096
2021-10-21T04:00:00Z, 15, 15.08, 14.75, 14.87, 14.87, 806562
2021-10-20T04:00:00Z, 14.59, 15.03, 14.54, 14.78, 14.78, 1347876
2021-10-19T04:00:00Z, 15.56, 15.665, 14.87, 14.96, 14.96, 1785291
2021-10-18T04:00:00Z, 16.58, 16.61, 16.125, 16.29, 16.29, 687047
2021-10-15T04:00:00Z, 16.87, 17.01, 16.37, 16.55, 16.55, 997547
2021-10-14T04:00:00Z, 16.93, 17.46, 16.8, 17.13, 17.13, 1192222
2021-10-13T04:00:00Z, 17.33, 17.35, 16.78, 16.86, 16.86, 1460599
2021-10-12T04:00:00Z, 17.53, 17.97, 17.3099, 17.95, 17.95, 1356332
