Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 8.27, 8.86, 8.24, 8.75, 8.75, 3404288
2022-02-07T05:00:00Z, 8.37, 8.62, 8.17, 8.31, 8.31, 3651145
2022-02-04T05:00:00Z, 8.02, 8.34, 7.72, 8.24, 8.24, 2674859
2022-02-03T05:00:00Z, 8.15, 8.3, 7.97, 7.99, 7.99, 1382091
2022-02-02T05:00:00Z, 8.94, 8.97, 8.29, 8.44, 8.44, 1464253
2022-02-01T05:00:00Z, 8.48, 8.9, 8.38, 8.78, 8.78, 2341486
2022-01-31T05:00:00Z, 7.61, 8.51, 7.46, 8.47, 8.47, 4091129
2022-01-28T05:00:00Z, 7.3, 7.55, 7.09, 7.45, 7.45, 2478461
2022-01-27T05:00:00Z, 7.88, 7.96, 7.45, 7.49, 7.49, 3790611
2022-01-26T05:00:00Z, 8.38, 8.55, 7.88, 7.96, 7.96, 2219598
2022-01-25T05:00:00Z, 8.46, 8.56, 7.85, 8.08, 8.08, 3021913
2022-01-24T05:00:00Z, 8.65, 8.74, 8.14, 8.7, 8.7, 5402360
2022-01-21T05:00:00Z, 8.84, 9.175, 8.54, 9.02, 9.02, 8429452
2022-01-20T05:00:00Z, 9.06, 9.79, 8.61, 9.23, 9.23, 9703820
2022-01-19T05:00:00Z, 8.62, 8.73, 8.22, 8.32, 8.32, 5935297
2022-01-18T05:00:00Z, 8.83, 8.9, 8.34, 8.37, 8.37, 3494099
2022-01-14T05:00:00Z, 8.99, 9.38, 8.63, 8.86, 8.86, 3397525
2022-01-13T05:00:00Z, 9.36, 9.81, 9, 9.02, 9.02, 3907738
2022-01-12T05:00:00Z, 9.5, 9.72, 9.23, 9.55, 9.55, 5832093
2022-01-11T05:00:00Z, 8.5, 9.27, 8.38, 9.16, 9.16, 7125986
2022-01-10T05:00:00Z, 8.29, 8.565, 8.125, 8.52, 8.52, 5048236
2022-01-07T05:00:00Z, 8.07, 8.635, 7.951, 8.3, 8.3, 8505891
2022-01-06T05:00:00Z, 7.56, 8.24, 7.155, 8.07, 8.07, 11666969
2022-01-05T05:00:00Z, 7.7, 7.87, 7.35, 7.37, 7.37, 7255857
2022-01-04T05:00:00Z, 8.33, 8.44, 7.625, 7.8, 7.8, 14392892
2022-01-03T05:00:00Z, 8.54, 8.73, 8.215, 8.3, 8.3, 6430326
2021-12-31T05:00:00Z, 8.61, 8.9, 8.33, 8.37, 8.37, 8187857
2021-12-30T05:00:00Z, 8.24, 8.92, 8.15, 8.69, 8.69, 17915302
2021-12-29T05:00:00Z, 8.74, 8.88, 8.12, 8.15, 8.15, 9884664
2021-12-28T05:00:00Z, 8.49, 8.97, 8.49, 8.89, 8.89, 8585607
2021-12-27T05:00:00Z, 8.34, 8.52, 8.24, 8.47, 8.47, 8919310
2021-12-23T05:00:00Z, 8.6, 8.65, 8, 8.3, 8.3, 10472096
2021-12-22T05:00:00Z, 9, 9.09, 8.24, 8.58, 8.58, 14757558
2021-12-21T05:00:00Z, 9.12, 9.22, 8.84, 9.22, 9.22, 7286469
2021-12-20T05:00:00Z, 9.36, 9.45, 8.76, 8.98, 8.98, 9212866
2021-12-17T05:00:00Z, 9.67, 10.25, 9.65, 10.01, 10.01, 8596910
2021-12-16T05:00:00Z, 10.7, 11.02, 9.82, 10.14, 10.14, 5108887
2021-12-15T05:00:00Z, 10.79, 10.99, 9.96, 10.32, 10.32, 5759675
2021-12-14T05:00:00Z, 10.67, 11.06, 10.19, 10.87, 10.87, 7163391
2021-12-13T05:00:00Z, 11.24, 12.05, 10.71, 10.78, 10.78, 7153285
2021-12-10T05:00:00Z, 10.62, 11.86, 10.39, 11.78, 11.78, 12163301
2021-12-09T05:00:00Z, 11.17, 11.31, 10.11, 10.24, 10.24, 3382101
2021-12-08T05:00:00Z, 11.11, 11.51, 10.725, 11.15, 11.15, 2709991
2021-12-07T05:00:00Z, 11.5, 12.09, 11.31, 11.56, 11.56, 2031722
2021-12-06T05:00:00Z, 10.58, 10.995, 10.22, 10.94, 10.94, 4640996
2021-12-03T05:00:00Z, 11.38, 11.49, 10, 10.83, 10.83, 5533496
2021-12-02T05:00:00Z, 12.02, 12.67, 11.27, 11.89, 11.89, 4016589
2021-12-01T05:00:00Z, 12.47, 13.2, 11.75, 11.84, 11.84, 2493538
2021-11-30T05:00:00Z, 12.68, 13.28, 12.18, 12.51, 12.51, 2379077
2021-11-29T05:00:00Z, 12.82, 13.06, 12.42, 12.77, 12.77, 1178987
2021-11-26T05:00:00Z, 11.98, 12.98, 11.8, 12.87, 12.87, 3118575
2021-11-24T05:00:00Z, 12.48, 12.9, 12.27, 12.83, 12.83, 2525798
2021-11-23T05:00:00Z, 13.29, 13.4, 12.14, 12.38, 12.38, 2960149
2021-11-22T05:00:00Z, 14.15, 14.24, 12.46, 13.06, 13.06, 4069667
2021-11-19T05:00:00Z, 15, 15.35, 13.68, 14.02, 14.02, 4303530
